rank	username	minecraft:used/minecraft:mangrove_log
1	Huwulling	414
2	Smoke____	108
3	Mattesco	105
4	Merv__	93
5	pintsizedrogue	90
6	Steelynan	71
7	Legendosh	66
8	ZoomieZoomie	60
9	Soplight	50
10	Touched_Bread	30
11	Mahoose	27
12	xxPipperDipperxx	20
13	Mr_Byzantine	13
14	luseis	10
14	UCP_TheKingK	10
16	EngagedGrub41	9
17	SteveCraftBlocks	6
18	DinoDoctor_	5
18	corvidpartyfor6	5
18	Smashic	5
18	YungMaki	5
22	RealGroot	4
23	Spacewardharpy7	3
24	FazeObama69	1
24	Secret_Canary	1
24	TheDankPlatypus	1
24	Jonafrog99	1
24	Kowcio_	1
24	Enderxz3	1
24	Jimb0nat0r	1
