rank	username	minecraft:used/minecraft:weeping_vines
1	Jackattack53	1407
2	_Dean_123	360
3	djancak	131
4	6king6colt6	80
5	Winklepicker279	62
6	Fullut	61
7	Blackberry1310	60
8	PazinGaming	58
9	Yatitay	57
10	k_ce	52
11	ShedJr_	51
12	TheWildMateo	48
13	Lez_	46
13	TheSecondLord	46
15	Cowison	42
16	CliffEmAll	41
17	noam464	37
17	Steelynan	37
19	beeperbeeper5	33
20	thewindmillman	32
21	Jimb0nat0r	30
22	Frozil20	28
23	Historical_Sand	27
23	shadowthemonkey	27
25	weabis	25
25	monky_irl	25
27	Blaiku	24
28	jessewegottacook	21
28	Luigipunch989	21
30	Kubeusz2010	20
31	Snowflowe	17
31	FreakGenius	17
33	RatatJuice	16
33	Di_infiri	16
33	SammiWolfGirl	16
36	Kubelz	14
36	KartivGal	14
38	Chromary	13
38	ooga47	13
38	luseis	13
38	Enderxz3	13
38	AdmiralSmoke	13
43	pintsizedrogue	12
43	athereall	12
43	PlasticOtari	12
46	kekhon	11
46	ApophisNova	11
46	MyNamaSheff	11
46	diggydog67	11
50	joethahobo	10
51	CoffeeNoir	9
51	Arceus1975	9
53	eitanzaki	8
53	BasedEphex	8
53	lizardfightclub	8
53	Soplight	8
57	Druid95	7
58	Inchef	6
58	burbankbuilder28	6
58	Gryglu583	6
58	Eraxa	6
62	Hpdinosaur	5
62	Mahoose	5
62	NomadicRobin_	5
62	Manaateee	5
62	Segotep999	5
62	anbbang	5
68	Lumien_	4
68	Marbz_	4
68	Hoxy	4
68	lillips	4
68	mobunni	4
68	cichy096	4
68	RadarHz	4
75	AuroraValkyrie	3
75	12Magner05	3
75	lorpus	3
75	ROY4LE	3
75	Norrhede	3
75	Eon_57	3
75	MirielThePastor	3
82	Wooptey	2
82	500am	2
82	trixterrx	2
82	0Vyp_	2
82	masskedman	2
82	Fuad_R	2
82	SingedBread	2
82	TheEnderMan548	2
82	EcksD	2
82	Legendosh	2
82	trexgb	2
93	KarlKaek	1
93	NieToksikpl	1
93	bloodbiter	1
93	Master_Kol	1
93	set67	1
93	UncreativeArtist	1
93	paranoid_plant	1
93	M_Patata	1
93	Rebytre	1
93	Akoot_	1
93	EveryonesUncle	1
93	HellsSponge	1
93	wwwwinnebagoooo	1
93	_Mythic____	1
93	pixelviolin	1
93	YungMaki	1
93	Hermanni__	1
93	ConnorDanky_	1
