rank	username	minecraft:used/minecraft:rabbit
1	EtherealEspresso	18
2	claivin	9
3	Xclax101	6
4	xyct	5
4	Hpdinosaur	5
4	Lez_	5
4	DarlaMeow	5
8	noam464	4
8	FelixPSY375	4
8	Enderxz3	4
8	UrbanPlanningEx	4
12	eitanzaki	3
12	ROY4LE	3
12	Di_infiri	3
15	beeperbeeper5	2
15	Ardennes	2
15	Fullut	2
15	Jackattack53	2
15	Skylord_Luke	2
15	ooga47	2
15	HellsSponge	2
15	C0oOK13M0N5T3R	2
15	Blu3beast	2
15	pixelviolin	2
15	LeeMcGee30	2
15	Legendosh	2
15	xolstoi	2
28	pintsizedrogue	1
28	Groovy_MoonBird	1
28	fanofbands101	1
28	PazinGaming	1
28	Furiuosbeast0404	1
28	Wooptey	1
28	ThiccExotic	1
28	Mahoose	1
28	ITDV	1
28	FirsTimeGamingTV	1
28	rarrq	1
28	Prodiginus	1
28	Koffeeinz	1
28	Blackberry1310	1
28	bloodbiter	1
28	12Magner05	1
28	corvidpartyfor6	1
28	mwrty	1
28	eviltunix	1
28	shadowthemonkey	1
28	CollinMH06	1
28	GOOBERGABE04	1
28	thewindmillman	1
28	_Boipl_	1
28	Felenov	1
28	ItsAki_	1
28	SaintJosie	1
28	St4nLe7	1
28	Akoot_	1
28	Purplera	1
28	420BreadLizard	1
28	XxCookiequeenxX	1
28	RoofTyler	1
28	FreakGenius	1
28	El_Jalapeno	1
28	GravitySaint	1
28	SingedBread	1
28	SkateboardR6	1
28	Spacewardharpy7	1
28	_Ruzeeq_	1
28	BuildTheGondola	1
28	Eraxa	1
28	Kowcio_	1
28	YungMaki	1
28	lcvezra	1
28	Nekomin0	1
28	alderban107	1
28	Jimb0nat0r	1
28	bladeefan2009	1
28	NoobyandApple	1
28	Smoke____	1
28	00000000-0000-0000-0009-01ff0c3e5e4f	1
