rank	username	minecraft:used/minecraft:dead_tube_coral_fan
1	noam464	84
2	Jackattack53	59
3	PigDab	54
4	joethahobo	50
5	thewindmillman	47
6	Spacewardharpy7	45
7	HellsSponge	28
8	EcksD	18
9	mihimihimihi	15
10	oscminus	11
11	_Mythic____	5
11	PlasticOtari	5
13	pintsizedrogue	3
13	gamerlord1324	3
13	groofles	3
13	Shogunite	3
13	Gus2005	3
13	Yamdalorian	3
19	eitanzaki	2
19	Mahoose	2
19	skroobiez	2
19	Di_infiri	2
19	Hyp3rion_	2
19	Onennon	2
19	NameGenerat0r	2
19	FishisTTV	2
27	Apollo_993	1
27	12Magner05	1
27	MattieHD	1
27	ROY4LE	1
27	KeruNatsema	1
27	Manaateee	1
27	Factoroni	1
27	PortlyPete69	1
