rank	username	minecraft:used/minecraft:ink_sac
1	beeperbeeper5	7
2	joethahobo	1
2	SteveCraftBlocks	1
2	Smashic	1
2	thewindmillman	1
2	pixelviolin	1
2	Kowcio_	1
