rank	username	minecraft:used/minecraft:stripped_spruce_log
147	Rumpletaezer	9
147	YoshikageBites	9
151	seanitoo	8
151	Jeteight	8
151	RodSerlingCringe	8
151	_Bguette_	8
151	Spacewardharpy7	8
151	SexcMf	8
157	Krimys	7
157	Adlair	7
157	TTNG	7
157	MineMaster0012	7
157	diggydog67	7
162	Guillemet	6
162	thewindmillman	6
162	CruncyIsTaken	6
162	Drewen24	6
162	brofrickcheaters	6
162	Spenduh	6
168	SteveCraftBlocks	5
168	SuperPooch06	5
168	Hyp3rion_	5
168	ApophisNova	5
168	RobotMinion101	5
168	Maenara	5
168	NomadicRobin_	5
168	EcksD	5
168	MyNamaSheff	5
177	Menthas	4
177	Silenttieg	4
177	T045RTY	4
177	2Stout	4
177	HoltGrim	4
177	Will_Bee	4
177	zielkairos	4
177	SingedBread	4
177	sp00ky_ghost977	4
177	obzii	4
177	erkada	4
177	OfficerAnvil	4
177	CattSoup	4
177	jnp_gaming	4
177	TechnoNinja64	4
192	JohnnyFyes	3
192	teslawolf38	3
192	Dedalus36	3
192	ShedJr_	3
192	Cryptacity	3
192	Ecplosive	3
192	Bucscw24	3
192	Icyyyyy	3
192	Sqwishy	3
192	Soap_Bender	3
192	Blaiku	3
192	MovingFish7	3
192	YungMaki	3
192	PortlyPete69	3
192	monolu	3
192	MilleGrug	3
192	Skippeh	3
192	imaginek1d	3
210	Hpdinosaur	2
210	Loveablerose12	2
210	Myszoaz	2
210	ATrojansLegend	2
210	YungJakobo	2
210	shyshyannne	2
210	4774	2
210	emrekn	2
210	r123moore	2
210	killmeiamtraitor	2
210	SokaOtaku	2
210	DeeDeeThonk	2
210	Jimi7hits	2
210	rotten_mango	2
210	El_Jalapeno	2
210	Nycteus_	2
210	cytotoxaint	2
210	stahouo	2
210	Nekomin0	2
210	Kiki_Majiki	2
230	Gary_	1
230	rats_life	1
230	Groovy_MoonBird	1
230	PhantomsGhost_	1
230	Apples5009	1
230	420joe	1
230	Healthing	1
230	Yatitay	1
230	DepressedCubic	1
230	ExtraDumb	1
230	hm947	1
230	_Razar	1
230	livingdaydreams	1
230	hurnter	1
230	WarHammer3	1
230	awesomeoneme	1
230	PhantomBionic	1
230	IWorkAtIkea	1
230	Cartoonmaniac	1
230	Euclidoris	1
230	jushykins	1
230	jacxhadow	1
230	Over_Spirit	1
230	ThePoliteG	1
230	Ardennes	1
230	TheThomas69	1
230	wiqor	1
230	Demiurging	1
230	Awyrlas	1
230	KGTV	1
230	ROY4LE	1
230	VanJosh	1
230	BarrettPrivateer	1
230	XboxPanda	1
230	Winklepicker279	1
230	Solar_Power	1
230	nut_e	1
230	JonahTheMans	1
230	CaptainDeadBread	1
230	Mattesco	1
230	FishyBoy3811	1
230	ADEXTV	1
230	FreddyFart	1
230	wobn	1
230	the_russell1611	1
230	The_slideV3	1
230	jaxlmfao	1
230	ewpunk	1
230	Freak_Genius	1
230	VilsSwag	1
230	Nagasaki_Riku	1
230	Danielbe	1
230	Segotep999	1
230	GlitchyPlate810	1
230	krutas2000	1
230	AcidicHD	1
230	Kubeusz2010	1
230	laron58	1
230	_KuruKuru	1
230	HesDemonPants	1
230	Zoeyfortnite	1
230	h2p_emrld	1
