rank	username	minecraft:used/minecraft:twisting_vines
1	thewindmillman	323
2	Smoke____	230
3	Fullut	146
4	Winklepicker279	138
5	TheSecondLord	127
6	lizardfightclub	102
7	EveryonesUncle	96
8	Mahoose	92
9	masskedman	68
10	Luigipunch989	66
11	BlancoFlaco	65
12	Spacewardharpy7	52
12	djancak	52
14	_Dean_123	50
15	ZeroKraken	45
16	PlasticOtari	43
17	PigDab	38
18	MyNameIsDakar	36
19	MineMaster0012	33
20	pintsizedrogue	31
21	diggydog67	27
22	Blackberry1310	26
23	CliffEmAll	24
24	Kowcio_	23
25	pumpfonzo	21
26	NomadicRobin_	20
27	Enigma0251	19
28	Arceus1975	16
28	Kubeusz2010	16
30	Dusk_95	15
30	Soplight	15
30	trexgb	15
33	Tommhh	14
33	PhantomBionic	14
35	Kubelz	11
35	CarltheCuck	11
35	YungMaki	11
38	Chromary	10
39	SuperPooch06	9
39	BasedEphex	9
39	monky_irl	9
42	Di_infiri	8
42	SammiWolfGirl	8
44	_NieToksikpl_	7
44	lordpipe	7
44	Eraxa	7
44	TheEnderman548	7
44	MeetTheWollo	7
49	CoffeeNoir	6
49	Vorlice	6
49	Enderslayerxz3	6
52	Paint	5
52	YungJakobo	5
54	Nesquiczek	4
54	Rasplinn	4
54	Historical_Sand	4
57	MrAdamant209	3
57	rarrq	3
57	kekhon	3
57	sammidk	3
57	Lutres_Torane	3
62	ShedJr_	2
62	beeperbeeper5	2
62	Awyrlas	2
62	gabriels543	2
62	YoshikageBites	2
67	RatatJuice	1
67	eitanzaki	1
67	titanlax	1
67	r123moore	1
67	Hyp3rion_	1
67	cwartzo	1
67	DarlaMeow	1
67	HellsSponge	1
67	obzii	1
67	Ezekson	1
67	jnp_gaming	1
67	2blox	1
67	TechnoNinja64	1
67	FishisTTV	1
