rank	username	minecraft:used/minecraft:waxed_copper_block
1	Mattesco	7217
2	PlasticOtari	1766
3	hanaryheatwave	1264
4	Jimb0nat0r	802
5	12Magner05	773
6	Lez_	709
7	TheSecondLord	434
8	Spaghettatron	367
9	Mr_Byzantine	321
10	craaaash	261
11	DrowsyOracle	257
12	Kowcio_	229
13	Manaateee	204
14	bl1ss0	194
15	MattieHD	181
16	Jackattack53	155
17	thewindmillman	138
18	j5ylim	127
19	milltesco	113
20	Touched_Bread	86
21	cutelilreno	60
22	RoskobiOne	53
23	beeperbeeper5	50
24	ScootOfBoot	41
25	Soplight	39
26	Nicserso	31
27	Pumpkin_P_Patch	26
28	CoffeeNoir	21
29	Enderxz3	20
30	Krowuss	18
31	Legendosh	16
32	oscminus	11
32	Eczbek	11
34	pintsizedrogue	10
35	Huwulling	8
35	TheKingK_	8
37	Buuck_	7
38	net_flex	6
38	TheWickedBird	6
40	Reneedium	3
41	Hyp3rion_	2
41	Spacewardharpy7	2
43	Merv__	1
43	Secret_Canary	1
43	500am	1
43	_witch_craft_	1
43	NameGenerat0r	1
43	Steelynan	1
