rank	username	minecraft:used/minecraft:green_concrete
1	AdmiralSmoke	2416
2	Snowflowe	2128
3	beeperbeeper5	2084
4	Nicserso	1455
5	joethahobo	1195
6	Alteriity	1086
7	lordpipe	704
8	Kakolbus	643
9	TheShyPig	544
10	Mr_Byzantine	498
11	noam464	443
12	TheSecondLord	407
13	thewindmillman	291
14	Mattesco	282
15	Optiprimus	277
16	Shogunite	268
17	Steelynan	239
18	AlexxO_o	224
19	Koffeeinz	205
20	YungMaki	176
21	teslawolf38	173
22	Soplight	145
23	Spacewardharpy7	144
24	stellarjay	128
25	okCrypto	123
26	SolicitedPuma101	121
27	Deathkob	115
28	underscore_2	73
29	ROY4LE	65
30	pintsizedrogue	62
31	MakeHistory157	60
32	LeonelSalamanca	58
32	jnp_gaming	58
34	burbankbuilder28	43
35	Hiryu27	42
35	Skylord_Luke	42
35	epiksk8erduck	42
38	PlasticOtari	41
39	Kowcio_	37
40	luseis	35
41	mobunni	33
42	Groovy_MoonBird	32
42	iSammael	32
42	WyngGoy	32
45	The_slideV3	29
46	EMC_	28
46	UCP_TheKingK	28
48	HellsSponge	27
49	TheBiggestFeller	25
50	Lez_	23
50	Euclidoris	23
50	Lord_Jord	23
53	500am	20
53	TruestTurnip	20
55	obzii	17
56	SvenskaHugo	16
57	Manaateee	14
57	VentiHilton	14
59	LexMakesHistory	13
59	Sral7	13
61	6king6colt6	12
61	Vegvisir	12
63	mwrty	11
63	Ezekson	11
65	SuperPooch06	9
65	The_SlideV5	9
67	ColeSnyder	8
67	Blaiku	8
69	WET_WET_WET	6
70	Rumpletaezer	4
70	Arceus1975	4
70	starbits140	4
73	Mahoose	2
73	Prismyst	2
73	Secret_Canary	2
73	Spenduh	2
73	KingMatthew506	2
73	Legendosh	2
73	Jimb0nat0r	2
73	Umbreon900	2
81	Merv__	1
81	Notta	1
81	ProfessorBee	1
81	gcaisawesome	1
81	Jackattack53	1
81	Chromary	1
81	Inbefour	1
81	xzvu	1
81	CalebDHawk	1
