rank	username	minecraft:used/minecraft:purple_terracotta
1	YungMaki	13942
2	Rumpletaezer	4025
3	Awyrlas	4006
4	Werbe	1401
5	Huwulling	1151
6	kekhon	1074
7	joethahobo	780
8	TheSecondLord	754
9	sxc_	710
10	thewindmillman	640
11	bigstankyy	604
12	Legendosh	574
13	Inbefour	532
14	PortlyPete69	512
15	Mr_Byzantine	467
16	oscminus	213
17	Alteriity	169
18	AuroraValkyrie	159
19	nocturne78	154
20	EcksD	152
21	MightyWertu	149
22	RatatJuice	128
23	AlexxO_o	111
24	Enderxz3	104
25	pintsizedrogue	101
26	Sral7	68
27	Crowman1	62
28	rarrq	61
29	Lez_	54
30	EMC_	52
30	pixelviolin	52
32	ConnorDanky_	47
33	luseis	45
34	Kowcio_	44
35	Steelynan	42
36	NameGenerat0r	41
37	Jimb0nat0r	40
38	Manaateee	38
39	lordpipe	37
40	shineh10	28
41	ZoomieZoomie	26
42	PlasticOtari	22
43	Lord_Jord	19
44	Jiminbub	18
45	ZigzagLily43042	15
45	_HoneySlime_	15
47	Bandito_Roamer	12
47	beeperbeeper5	12
49	Hyp3rion_	10
49	Shogunite	10
49	Eraxa	10
52	The_SlideV5	9
52	AdmiralSmoke	9
54	eitanzaki	5
54	Krowuss	5
54	duqboy	5
54	MineMaster0012	5
58	Spacewardharpy7	3
59	elicobnoah	2
59	noam464	2
59	DarlaMeow	2
62	Mahoose	1
62	500am	1
62	Inchef	1
62	ROY4LE	1
62	gcaisawesome	1
62	TheShyPig	1
62	jake314810	1
62	FreakGenius	1
62	__Auspicious	1
62	ItsDeltaMC	1
62	xzvu	1
62	EngagedGrub41	1
