rank	username	minecraft:used/minecraft:poisonous_potato
1	TechnoNinja64	278
2	youhjjhhhjj	50
3	Euclidoris	27
4	ProfessorBee	10
5	Incinere	7
6	legal_tax_evader	5
7	Blackberry1310	4
7	bloodbiter	4
7	Tiktola01	4
7	Quaintster	4
7	MustaLoordi	4
7	RadarHz	4
7	Jimb0nat0r	4
7	skrongus	4
15	Merv__	3
15	ooga47	3
15	HellsSponge	3
15	Dreamdbr14	3
15	Hermanni__	3
15	Ezekson	3
21	SKYPEX_	2
21	ITDV	2
21	rarrq	2
21	kekhon	2
21	zorin123	2
21	SHAOBADMAN	2
21	AnnieBathory	2
21	oscminus	2
21	claivin	2
21	Blu3beast	2
21	lcvezra	2
21	SpacesickPrism	2
21	jnp_gaming	2
34	pintsizedrogue	1
34	k_ce	1
34	Mr_Byzantine	1
34	CLG_Kata	1
34	dabloons	1
34	Sleek_Storm_721	1
34	Lukeee33	1
34	Bad_At_Names_Guy	1
34	Mahoose	1
34	beeperbeeper5	1
34	TastyPorkchop	1
34	FirsTimeGamingTV	1
34	Prodiginus	1
34	Malorn_Aetherius	1
34	DarkDescent2392	1
34	corvidpartyfor6	1
34	Fullut	1
34	excelsionprime	1
34	UncreativeArtist	1
34	mwrty	1
34	NikoTheM3ssiah	1
34	ROY4LE	1
34	noam464	1
34	XboxPanda	1
34	jandrs	1
34	shadowthemonkey	1
34	SuperPooch06	1
34	Chromary	1
34	thewindmillman	1
34	PigDab	1
34	TheShyPig	1
34	natajimi	1
34	TheSeismicDuck	1
34	Katsuragi0243218	1
34	DTwenty	1
34	Manaateee	1
34	silverpopcorn	1
34	Spacewardharpy7	1
34	Eraxa	1
34	pixelviolin	1
34	Kowcio_	1
34	BioKing99	1
34	SammiWolfGirl	1
34	alderban107	1
34	Kubeusz2010	1
34	cichy096	1
34	FelixPSY375	1
34	Enderxz3	1
34	Powowowow	1
34	Zoeyfortnite	1
34	calamariclam_I	1
34	AdmiralSmoke	1
