rank	username	minecraft:used/minecraft:honey_bottle
1	Hyp3rion_	548
2	PortlyPete69	288
3	Nicserso	216
4	Jackattack53	212
5	Krowuss	110
6	h2p_emrld	106
7	thewindmillman	104
8	hanaryheatwave	98
8	NameGenerat0r	98
10	Fullut	94
11	ImpavidArcher	76
11	okCrypto	76
13	TheWickedBird	66
14	Frozil20	56
14	I_Am_Mushkin	56
16	Ze_BaronKrigler	48
17	annebolyn	46
18	noam464	44
18	Razzgriz	44
20	Merv__	42
21	FreakGenius	36
22	Zxhir	34
22	YungMaki	34
24	EMC_	32
24	Werbe	32
24	Eraxa	32
27	crashomon	30
27	RebytreGT	30
27	jnp_gaming	30
30	rarrq	28
31	Mahoose	26
31	Blackberry1310	26
31	EcksD	26
34	Jovaphobic	24
34	PhantomsGhost_	24
34	T045RTY	24
37	Huwulling	22
37	Yamdalorian	22
39	Di_infiri	20
40	Froste131	18
40	luseis	18
40	Soplight	18
43	Groovy_MoonBird	16
43	CalebDHawk	16
45	_stets	14
45	Vizzoid	14
45	fr_ser	14
45	masskedman	14
45	Zoeyfortnite	14
50	eitanzaki	12
50	Arceus1975	12
50	StinkyDiplomat	12
50	stavgod	12
50	Enderxz3	12
50	Legendosh	12
56	pintsizedrogue	10
56	ShedJr_	10
56	beeperbeeper5	10
56	fluddd	10
56	Spenduh	10
61	TheDankPlatypus	8
61	Chromary	8
61	oscminus	8
61	EveryonesUncle	8
61	AspenLightVT	8
61	Blaiku	8
61	Druid95	8
61	sp00ky_ghost977	8
61	elliebelle107	8
70	powercas_gamer	6
70	hm947	6
70	Alteriity	6
70	Lez_	6
70	Crowman1	6
70	jacxhadow	6
70	bloodbiter	6
70	xxPipperDipperxx	6
70	M_Patata	6
70	Marbz_	6
70	ooga47	6
70	Spacewardharpy7	6
70	StarCookiees_	6
70	FadedSpade82	6
84	k_ce	4
84	Apollo_993	4
84	bigstankyy	4
84	nattybears	4
84	lorywithay	4
84	cyuar	4
84	kekhon	4
84	mwrty	4
84	Winklepicker279	4
84	Skylord_Luke	4
84	ese_wn_po	4
84	DarlaMeow	4
84	blackeemperor	4
84	pretty_pink_reno	4
84	lordpipe	4
84	SexcMf	4
84	Kowcio_	4
84	djancak	4
84	SammiWolfGirl	4
84	skitzxo	4
104	j5ylim	2
104	Mowelan	2
104	ECstardust	2
104	6king6colt6	2
104	Sleek_Storm_721	2
104	RatatJuice	2
104	Leyraxos	2
104	Simplicity9	2
104	Myszoaz	2
104	MSK__	2
104	IgnoredBee	2
104	Shadoko_	2
104	12Magner05	2
104	_Dean_123	2
104	excelsionprime	2
104	set67	2
104	orxngejuice	2
104	Inchef	2
104	LeauVox4921	2
104	ROY4LE	2
104	Covalents	2
104	shadowthemonkey	2
104	yheece	2
104	MyNameIsJobo	2
104	U_Mos_	2
104	Boipl	2
104	Kouridragon	2
104	Onennon	2
104	F_Uhre	2
104	Luminad3	2
104	groofles	2
104	Akoot_	2
104	EdGalbraith	2
104	NomadicRobin_	2
104	Fuhrer_Teemo	2
104	Deathkob	2
104	emreknugrlu	2
104	LexMakesHistory	2
104	Manaateee	2
104	claivin	2
104	censorsheep	2
104	lunkuku	2
104	pixelviolin	2
104	Pumpkin_P_Patch	2
104	xzvu	2
104	_Yonk_	2
104	Sheldor097	2
104	Dreamdbr14	2
104	KingMatthew506	2
104	Steelynan	2
104	hermmm_	2
104	RealBuddy	2
104	Ezekson	2
104	FelixPSY375	2
104	Jimb0nat0r	2
104	PlasticOtari	2
104	Sral7	2
104	Zcolt69	2
