rank	username	minecraft:used/minecraft:pufferfish
1	kekhon	74
2	stahouo	67
3	Zoeyfortnite	38
4	rarrq	32
5	TechnoNinja64	29
6	Kyrum2169	24
7	__tomato	19
8	Fullut	16
9	Blackberry1310	15
9	ProfessorBee	15
9	Smoke____	15
12	NameGenerat0r	14
13	MustaLoordi	13
13	Blu3beast	13
13	h2p_emrld	13
16	bloodbiter	12
17	mimbo1211	11
17	HellsSponge	11
19	Onennon	10
20	Soplight	9
20	_TCARREIRA_	9
20	CalebDHawk	9
23	chipklip	8
23	YungMaki	8
25	MovingFish7	7
26	ImpavidArcher	5
26	Mahoose	5
26	Euclidoris	5
26	Nicky_H225	5
26	noam464	5
26	Skippeh	5
32	eitanzaki	4
32	beeperbeeper5	4
32	m_be9	4
32	SuperPooch06	4
32	claivin	4
37	T045RTY	3
37	thewindmillman	3
37	Akoot_	3
37	Leithz6	3
37	BlankityMcBlank	3
37	jcool7	3
43	bigstankyy	2
43	H72l9w	2
43	mwrty	2
43	ROY4LE	2
43	Hyp3rion_	2
43	The11thDoctor	2
43	BRRRN179	2
43	fxiryglitch	2
43	TheSeismicDuck	2
43	majlin16	2
43	Quaintster	2
43	Frozil12	2
43	GravitySaint	2
43	Eraxa	2
43	Moetis	2
43	Wolverine4302	2
43	MelodyGaysharks	2
43	Faart	2
61	_Virify_	1
61	dudcreeper	1
61	ItsColin11	1
61	pZygh0st	1
61	Merv__	1
61	Sleek_Storm_721	1
61	TheBlackDeth	1
61	_Razar	1
61	ShedJr_	1
61	Myszoaz	1
61	MSK__	1
61	Historical_Sand	1
61	tramizu	1
61	FirsTimeGamingTV	1
61	heckface	1
61	Shadoko_	1
61	TheSecondLord	1
61	Ardennes	1
61	MattieHD	1
61	boog4loo	1
61	thescout7	1
61	IforgotCS_Source	1
61	xxPipperDipperxx	1
61	NLKBuilder	1
61	Arsinic7	1
61	CarltheCuck	1
61	mick407	1
61	Chromary	1
61	Zythose	1
61	_Boipl_	1
61	Tetzel55	1
61	Hiryu27	1
61	Werbe	1
61	ooga47	1
61	epiksk8erduck	1
61	PigDab	1
61	NomadicRobin_	1
61	EveryonesUncle	1
61	lillips	1
61	DarlaMeow	1
61	E775	1
61	Travka100	1
61	AssEatrAndLicker	1
61	fluddd	1
61	__Auspicious	1
61	Spacewardharpy7	1
61	lordpipe	1
61	geekbird	1
61	WyngGoy	1
61	33sudo	1
61	pixelviolin	1
61	lcvezra	1
61	sebastiensaborio	1
61	Nargotah	1
61	KingMatthew506	1
61	Hermanni__	1
61	alderban107	1
61	Vellu21	1
61	Ezekson	1
61	oxfordschool	1
61	EcksD	1
61	FelixPSY375	1
61	Enderslayerxz3	1
61	HesDemonPants	1
61	Liardove_21	1
61	jnp_gaming	1
61	MeetTheWollo	1
61	2blox	1
61	YoshikageBites	1
