rank	username	minecraft:used/minecraft:dispenser
1	beeperbeeper5	3593
2	Hyp3rion_	2445
3	thewindmillman	1607
4	noam464	1507
5	Mr_Byzantine	1166
6	Jackattack53	1139
7	HellsSponge	1040
8	Di_infiri	616
9	Spacewardharpy7	596
10	eitanzaki	574
11	thescout7	542
12	Alteriity	347
13	El_Jalapeno	312
14	EcksD	302
15	Crowman1	287
16	craaaash	283
17	Yamdalorian	271
18	EMC_	245
19	lpinfinity	238
20	Jimb0nat0r	217
21	PigDab	168
22	Manaateee	164
23	Snowflowe	161
24	CattSoup	153
25	Blaiku	145
26	Mahoose	140
27	pintsizedrogue	138
28	catandmoose	135
28	Fullut	135
28	Lord_Jord	135
31	ConnorDanky_	128
32	Krowuss	124
33	Inbefour	120
34	mariominejedi	119
35	Kakolbus	116
35	Kowcio_	116
37	Arceus1975	115
38	FishisTTV	109
39	FreakGenius	107
40	Apollo_993	105
41	Warlord324	103
42	fffMike	101
43	PhantomsGhost_	100
43	StinkyDiplomat	100
45	T045RTY	99
46	hanaryheatwave	97
47	_witch_craft_	92
47	oscminus	92
47	ApophisNova	92
47	MightyWertu	92
47	MyNamaSheff	92
52	Lez_	90
53	Werbe	89
53	PlasticOtari	89
55	Ezekson	87
56	mihimihimihi	86
57	non089	83
58	Blackberry1310	82
59	joethahobo	81
60	RebelAndroid	78
60	MattieHD	78
60	xxPipperDipperxx	78
60	pixelviolin	78
64	500am	75
65	Hiryu27	74
65	Deathkob	74
67	Rumpletaezer	71
68	sp00ky_ghost977	70
69	doublemaki	68
70	Rebytre	67
70	Fuad_R	67
72	CLG_Kata	66
73	AstreaTSS	65
73	Steelynan	65
75	Eczbek	60
75	jnp_gaming	60
77	bl1ss0	59
78	ImpavidArcher	58
79	Quincannon	57
79	Blu3beast	57
79	TwinTowerV2	57
82	Frozil20	56
82	LuvLuvLove	56
84	12Magner05	55
84	Awyrlas	55
86	TheDankPlatypus	53
87	wx4z	52
88	SpacesickPrism	51
89	Prismyst	50
89	yheece	50
91	Gus2005	48
92	Groundler	47
92	_Mythic____	47
94	Skylord_Luke	45
94	Mattesco	45
94	AlexxO_o	45
94	EveryonesUncle	45
94	TheKingK_	45
99	Smashic	43
100	_Virify_	42
100	Marbz_	42
100	Bumpy419	42
