rank	username	minecraft:used/minecraft:gray_glazed_terracotta
1	Mahoose	507
2	Onennon	441
3	titanlax	282
4	eitanzaki	175
5	Spacewardharpy7	160
6	thescout7	157
7	rarrq	140
8	Hiryu27	139
9	Tommhh	108
10	Frozil12	88
11	500am	78
12	Steelynan	76
13	Hermanni__	73
14	lillips	71
15	kekhon	66
16	noam464	62
17	Soplight	52
18	Merv__	49
19	Dan_Scha	48
20	Shogunite	47
21	Ezekson	37
22	ImpavidArcher	33
23	YungMaki	31
24	Akoot_	25
25	TheShyPig	23
26	_Virify_	18
27	Inbefour	16
27	Smoke____	16
29	ooga47	14
30	ApophisNova	11
30	MyNamaSheff	11
32	oxfordschool	7
33	PhantomsGhost_	6
34	Lutres_Torane	4
35	HellsSponge	3
35	pixelviolin	3
37	Blackberry1310	2
37	sp00ky_ghost977	2
39	joethahobo	1
