rank	username	minecraft:used/minecraft:white_wool
1	joethahobo	70759
2	YungMaki	44557
3	thewindmillman	39072
4	EcksD	32054
5	AlexxO_o	32036
6	HellsSponge	30553
7	eitanzaki	28345
8	Hermanni__	22537
9	PlasticOtari	19913
10	fffMike	19306
11	Alteriity	17861
12	xxPipperDipperxx	16432
13	Werbe	14170
14	teslawolf38	13350
15	Blaiku	11767
16	Spacewardharpy7	10470
17	EcksDofficial	8758
18	CalebDHawk	7284
19	oxfordschool	6974
20	Sral7	5038
21	Shogunite	4323
22	Lord_Jord	4321
22	Legendosh	4321
24	Skylord_Luke	3847
25	Awyrlas	3843
26	Nach0Bear	3311
27	m_be9	3102
28	_Dean_123	3012
29	MakeHistory157	2990
30	Hyp3rion_	2847
31	Smoke____	2567
32	PlzNoBM	2557
33	El_Jalapeno	2504
34	Arceus1975	2383
35	TheShyPig	2250
36	lcvezra	2248
37	NameGenerat0r	1742
38	noam464	1623
39	kekhon	1581
40	Merv__	1521
41	DarlaMeow	1433
42	Zythose	1419
43	heckface	1376
44	beeperbeeper5	1288
45	Ezekson	1240
46	500am	1227
47	TechnoNinja64	1158
48	Freak_Genius	1137
49	mwrty	1115
50	Kowcio_	1002
51	pintsizedrogue	977
52	TheSecondLord	902
53	Fildyr	884
54	Frozil12	848
55	tsitrawhy	837
56	Barlycorn	829
57	Wooptey	828
58	jacxhadow	824
59	NomadicRobin_	796
60	thescout7	767
61	PigDab	730
62	burbankbuilder28	683
63	fluddd	670
64	Mahoose	664
65	The_slideV3	628
66	TheTommyGun63	607
67	AngalexikCZ	513
68	Kiki_Majiki	507
69	CoffeeNoir	500
70	Rumpletaezer	472
71	Soplight	456
72	PeteO1995	440
73	Smashic	431
74	LilyNova	407
75	ewpunk	405
76	lordpipe	370
77	Blackberry1310	354
78	bigstankyy	351
79	Septemb3r	341
80	Quaintster	338
81	Enderslayerxz3	328
82	stahouo	326
83	jnp_gaming	323
84	dopplexd	322
85	Deathkob	308
86	Eraxa	291
87	Fuhrer_Teemo	285
88	ImpavidArcher	281
89	LexMakesHistory	273
90	titanlax	271
90	mariominejedi	271
92	Di_infiri	263
93	DolphinLaugh	259
94	jspwn	257
95	The_SlideV5	256
96	EveryonesUncle	255
97	RebelAndroid	249
98	stavgod	236
99	claivin	225
100	LeGold	221
101	PortlyPete69	217
102	youhjjhhhjj	212
102	DAD_1996	212
104	Bumpy419	206
105	Tobinator_007	192
106	Aangezet	186
107	Xclax101	174
108	Dusk_95	172
109	K_a__a_n	170
110	Tolhart	169
110	HAIRYCLOUD626	169
112	theonlymagikarp	162
113	Onennon	158
114	MattieHD	154
115	TheGameArchitect	153
116	Lil_Breadboy	149
117	h2p_emrld	148
118	Ozixar	147
118	proxivitoid	147
120	hollowww	144
121	Fullut	143
122	KingMatthew506	135
123	Blu3beast	128
124	Th6masss	127
125	Nicky19	126
126	Lez_	123
127	ShedJr_	121
128	IWorkAtIkea	120
128	Hoid_the_Roamer	120
130	r123moore	116
130	Zaridey	116
132	301851	114
133	__tomato	112
134	nataliecool	109
134	_Karmaa	109
136	WyngGoy	108
137	UCP_TheKingK	105
138	DinoDoctor_	103
139	rarrq	98
140	Snowflowe	97
141	Jiminie	86
141	brofrickcheaters	86
143	Akoot_	83
144	33sudo	82
145	Joestra	81
146	Maenara	77
147	jcool7	72
147	Njensen7	72
149	yulgur1	70
149	Dooinfe	70
151	Invisie	68
151	kinas45y5	68
153	ooga47	67
