rank	username	minecraft:used/minecraft:brown_mushroom
1	mihimihimihi	12976
2	Hyp3rion_	3455
3	EngagedGrub41	1050
4	Smoke____	191
5	Enderxz3	171
6	Lez_	164
7	calamariclam_I	155
8	noam464	102
8	lordpipe	102
10	Jimb0nat0r	92
11	pintsizedrogue	90
12	thewindmillman	85
13	Mahoose	77
14	ProfessorBee	66
15	Di_infiri	64
16	HellsSponge	58
16	Legendosh	58
18	Crowman1	55
19	lcvezra	50
20	eitanzaki	48
21	500am	47
22	Ssor69	45
23	hanaryheatwave	42
24	Kubelz	41
25	Blackberry1310	40
25	xxPipperDipperxx	40
27	Kakolbus	38
28	FreakGenius	36
29	Soplight	35
30	Jovaphobic	32
31	bloodbiter	31
31	Kowcio_	31
31	Zoeyfortnite	31
34	ratglock	30
34	Werbe	30
36	ApophisNova	29
36	Xclax101	29
36	MyNamaSheff	29
39	Eraxa	25
39	EtherealEspresso	25
39	PlasticOtari	25
42	EMC_	24
42	joethahobo	24
44	nattybears	23
44	Hoid_the_Roamer	23
46	luseis	22
47	DinoDoctor_	20
47	IamCL4SSY	20
47	djancak	20
47	Ezekson	20
51	Fullut	18
51	Inchef	18
51	Lord_Jord	18
51	Powowowow	18
55	jessewegottacook	16
55	Luigipunch989	16
57	masskedman	15
57	XxCookiequeenxX	15
57	EveryonesUncle	15
57	Deathkob	15
57	Winston_Ingram	15
62	Guillemet	14
62	MyNameIsJobo	14
62	Arceus1975	14
65	ImpavidArcher	13
65	burbankbuilder28	13
65	TheShyPig	13
65	Wolverine4302	13
69	Onennon	12
69	anbbang	12
71	SaltineDream	11
71	Bandito_Roamer	11
71	corpsecity	11
71	sp00ky_ghost977	11
71	TechnoNinja64	11
76	PhantomsGhost_	10
76	MattieHD	10
76	lilsay	10
76	__Fanda__	10
76	SammiWolfGirl	10
76	Hermanni__	10
82	Hpdinosaur	9
82	CoffeeNoir	9
82	beeperbeeper5	9
82	SingedBread	9
82	Steelynan	9
87	Zippyzam	8
87	KomputerDude	8
87	lorpus	8
87	Elastiq	8
87	annoyingenderman	8
87	Rainaldus	8
87	The_SlideV5	8
94	k_ce	7
94	diamondgolem35	7
94	Historical_Sand	7
94	excelsionprime	7
94	thescout7	7
94	CarryLine	7
94	GravitySaint	7
94	Decaying_Lotus	7
102	Tolhart	6
102	mwrty	6
102	Dirtamaster	6
102	thebaddruid	6
102	El_Jalapeno	6
102	jnp_gaming	6
108	NatalieTW	5
108	Merv__	5
108	Malorn_Aetherius	5
108	Jakobo1337	5
108	PegLegPete93	5
108	AnnieBathory	5
108	Shiirazu	5
108	Tiktola01	5
108	godipose	5
108	MakeHistory157	5
108	YungMaki	5
108	diggydog67	5
120	ITDV	4
120	FirsTimeGamingTV	4
120	ciemacigans	4
120	owlcrush	4
120	fw3xywashere	4
120	Lutres_Torane	4
120	LordSpeed37	4
120	xzvu	4
120	alderban107	4
129	ThiccExotic	3
129	SquadMonster	3
129	heckface	3
129	titanlax	3
129	gilesmcriles	3
129	crying_wolf_13	3
129	NotMeanttoChange	3
129	shadowthemonkey	3
129	Jackattack53	3
129	Snowflowe	3
129	_Boipl_	3
129	ooga47	3
129	PigDab	3
129	ILoveCarrot	3
129	NomadicRobin_	3
129	gustarlep	3
129	The_slideV3	3
129	ReflexCode	3
129	Hisiste	3
129	pixelviolin	3
129	MineMaster0012	3
129	NATE_the_HALO	3
129	Slapface522	3
129	tartanboy	3
129	smogfrog	3
129	xolstoi	3
129	zmpeg	3
156	duelcard	2
156	Cowison	2
156	AuroraValkyrie	2
156	ECstardust	2
156	Incinere	2
156	livingdaydreams	2
156	Pofen	2
156	emrekn	2
156	eviltunix	2
156	JitteryJared2	2
156	MangoTheFish	2
156	ItsMrRamen	2
156	icehorse	2
156	DJenthousiast	2
156	cedric72	2
156	SaintJosie	2
156	Maenara	2
156	Akoot_	2
156	Leeeegend	2
156	carpet4_69	2
156	RealGroot	2
156	Eczbek	2
156	Skippeh	2
156	bieeee	2
156	WYFYoyo	2
181	Paint	1
181	dabloons	1
181	Jackywho	1
181	Frozil20	1
181	xXTheWolfmanXx	1
181	ColeSnyder	1
181	Lukeee33	1
181	TooManyDuck	1
181	Franco093	1
181	ewsophie	1
181	R0cketmanstan	1
181	Myrlewen	1
181	TheFlfthHorseman	1
181	rarrq	1
181	Ardennes	1
181	SteveCraftBlocks	1
181	himak1	1
181	Xalithia	1
181	ROY4LE	1
181	r123moore	1
181	ItzYaBoiPicard	1
181	ARandomHedge	1
181	juuustpeachy	1
181	Ristebraaten	1
181	legal_tax_evader	1
181	AJplaysMC_	1
181	Chromary	1
181	Nope______	1
181	Zythose	1
181	kars0n	1
181	Donutt	1
181	seramalen	1
181	Mattesco	1
181	Shavrin	1
181	Inkax	1
181	wezzzi	1
181	Meepcraft	1
181	_Bguette_	1
181	PartyPhoenix	1
181	RoofTyler	1
181	_Karmaa	1
181	claivin	1
181	Spacewardharpy7	1
181	Airem_Core	1
181	WyngGoy	1
181	NebulousBadger	1
181	quindariousG	1
181	CLUBN2	1
181	__tomato	1
181	ediballbearings	1
181	fffMike	1
181	Kubeusz2010	1
181	Apicomplexa	1
181	RadarHz	1
