rank	username	minecraft:used/minecraft:diorite_slab
1	HellsSponge	18814
2	YungMaki	7365
3	Huwulling	3286
4	Xalithia	3002
5	DanTheBuilderino	1137
6	Enderxz3	922
7	MrExplorer	884
8	Legendosh	694
9	trexgb	670
10	Mahoose	609
11	Cryptacity	552
12	Mr_Byzantine	492
13	TheSecondLord	433
14	FreakGenius	388
15	purpolepickle	288
16	ThiccExotic	284
17	EMC_	219
18	EngagedGrub41	204
19	rarrq	136
20	EcksD	105
21	diggydog67	99
22	luseis	97
23	Crowman1	79
24	QuiCreans	74
24	Zythose	74
26	MyNameIsDakar	70
27	PegLegPete93	61
28	NotMeanttoChange	60
28	Werbe	60
30	KarlKaek	54
31	Bumpy419	51
32	oreee	49
33	Stiar	46
34	spellmre	45
34	Inbefour	45
36	Kowcio_	43
37	TheShyPig	42
38	Snowflowe	38
39	RoofTyler	36
40	GLLogan2	32
41	binman420	27
42	ediballbearings	26
43	joethahobo	21
43	himak1	21
45	Arceus1975	19
45	xolstoi	19
47	Meatlaugh	18
48	GlitchyPlate810	16
49	benediktine1	14
50	Barlycorn	12
50	Njensen7	12
50	anbbang	12
53	CarsonDoesMine	10
54	Blu3beast	9
54	tartanboy	9
56	DemTechAlpha	7
56	Racengan	7
56	MilleGrug	7
56	Smoke____	7
60	ImpavidArcher	6
60	NameGenerat0r	6
60	WYFYoyo	6
63	IWorkAtIkea	5
63	noam464	5
63	Shogunite	5
66	Chromary	4
67	ApophisNova	3
67	AlexChristian	3
67	Leeeegend	3
67	MyNamaSheff	3
71	Prodiginus	2
71	jaimshae	2
73	PhantomsGhost_	1
73	Comma__	1
73	MattieHD	1
73	Di_infiri	1
73	LilyNova	1
73	Akoot_	1
73	Spacewardharpy7	1
73	Smiguli_	1
73	gusstationwerker	1
73	Jimb0nat0r	1
