rank	username	minecraft:used/minecraft:leather_leggings
1	skitzxo	70
2	Kowcio_	30
3	Mattesco	23
4	crashomon	13
5	TheSecondLord	12
5	MattieHD	12
7	pretty_pink_reno	10
8	Pumpkin_P_Patch	9
9	beeperbeeper5	6
10	myaccountwasgone	5
10	Blackberry1310	5
10	fragrantmonke444	5
13	Huwulling	4
13	Hyp3rion_	4
15	k_ce	3
15	ECstardust	3
15	Hydro___________	3
15	luseis	3
15	Soplight	3
15	Yamdalorian	3
21	Mahoose	2
21	Kkanot	2
21	lorpus	2
21	bl1ss0	2
21	Jackattack53	2
21	hanaryheatwave	2
21	robonya_	2
21	Enderxz3	2
21	Jimb0nat0r	2
30	Riick_Astley	1
30	Mr_Byzantine	1
30	CLG_Kata	1
30	Merv__	1
30	Nucket	1
30	powercas_gamer	1
30	diamondgolem35	1
30	CyL0_	1
30	Saucepeh	1
30	RCLucky	1
30	Lumien_	1
30	rebichuu	1
30	SteveCraftBlocks	1
30	falcon244	1
30	orxngejuice	1
30	pvpGODfrfr	1
30	Touched_Bread	1
30	U_Mos_	1
30	Boipl	1
30	Krowuss	1
30	RebytreGT	1
30	SpaggeDR	1
30	Kreuvix	1
30	Akoot_	1
30	MankMaestro	1
30	GigaSl	1
30	Manaateee	1
30	fluddd	1
30	SingedBread	1
30	Buuck_	1
30	lunkuku	1
30	THEKINGLyric10	1
30	SvenskaHugo	1
30	truonggojo777	1
30	_i_ERROR_i_	1
30	NatePlayzSmth	1
30	PlsUpdateGeyser	1
30	EcksD	1
30	PlasticOtari	1
30	TheWickedBird	1
30	00000000-0000-0000-0009-01f073f37a91	1
