rank	username	minecraft:used/minecraft:fox_spawn_egg
1	kekhon	230
2	Akoot_	19
3	HellsSponge	4
4	ImpavidArcher	1
4	Blackberry1310	1
4	Blu3beast	1
4	TechnoNinja64	1
