rank	username	minecraft:used/minecraft:cherry_stairs
1	Lez_	2054
2	StarCookiees_	629
3	LuvLuvLove	458
4	Mattesco	259
5	Mr_Byzantine	181
6	Apollo_993	155
7	cuddlyMonster	142
8	Cache3	141
9	Werbe	129
10	OreTheBear	125
11	Lazy_geniusig	104
12	Napoleonpancake	79
13	Reneedium	75
14	11Brewer	74
15	RatatJuice	58
15	Yamdalorian	58
17	Kowcio_	52
18	FiguraDei	50
19	TheSecondLord	46
20	KarlKaek	40
20	bl1ss0	40
22	Alteriity	38
23	mymayowasgone	36
24	XxCookiequeenxX	33
24	pizzarel_	33
26	k_ce	32
27	TheWickedBird	29
28	pintsizedrogue	28
29	oscminus	26
30	Moofyman	24
31	Archsam	20
31	Steelynan	20
33	_Huge_Male_	19
33	steppe_nomad	19
33	Enderxz3	19
36	MattieHD	16
36	Krowuss	16
38	MisfitsMike	15
39	milltesco	14
40	shineh10	13
41	Tersea_	12
42	robonya_	9
43	Merv__	8
44	PazinGaming	4
44	craaaash	4
46	Huwulling	2
46	luseis	2
46	emreknugrlu	2
46	Jimb0nat0r	2
46	00000000-0000-0000-0009-01fe065167f0	2
51	beeperbeeper5	1
51	SteveCraftBlocks	1
51	noam464	1
51	Jackattack53	1
51	GooseWithin	1
