rank	username	minecraft:used/minecraft:splash_potion
1	MattieHD	926
2	EcksD	911
3	noam464	651
4	eitanzaki	281
5	Di_infiri	268
6	joethahobo	211
7	Hyp3rion_	191
8	Smoke____	186
9	Blackberry1310	183
10	HellsSponge	136
11	Historical_Sand	130
12	Soplight	121
13	YungMaki	113
14	beeperbeeper5	107
14	Eraxa	107
16	TheSecondLord	102
17	Inchef	91
18	gcaisawesome	81
19	pintsizedrogue	80
20	Racengan	79
21	thewindmillman	78
22	Mahoose	74
23	kekhon	73
24	Blaiku	70
25	chipklip	55
26	TechnoNinja64	49
27	claivin	44
28	Lord_Jord	43
28	Shogunite	43
30	Freak_Genius	42
31	Hiryu27	41
32	DarlaMeow	38
33	youhjjhhhjj	37
33	Hisiste	37
35	Kakolbus	36
35	pixelviolin	36
35	Spenduh	36
38	thescout7	34
39	Arceus1975	33
39	Werbe	33
39	AssEatrAndLicker	33
39	KG1999	33
43	jnp_gaming	29
44	_Virify_	28
44	Zythose	28
46	Drlzyy	27
46	egglapras	27
46	Skippeh	27
49	SuperPooch06	26
50	RebelAndroid	25
51	PigDab	24
52	500am	23
52	DAD_1996	23
52	fred870d	23
55	PhantomsGhost_	22
55	Fullut	22
55	mwrty	22
55	wezzzi	22
59	Chromary	21
60	Sky_light_KING	20
61	ProfessorBee	19
61	sp00ky_ghost977	19
63	m_be9	18
63	Snowflowe	18
63	DanTheBuilderino	18
63	Hermanni__	18
67	livingdaydreams	17
67	rarrq	17
69	CoffeeNoir	16
69	FirsTimeGamingTV	16
69	OtariCharlie	16
69	NomadicRobin_	16
69	The_slideV3	16
74	teslawolf38	15
75	Comma__	14
75	NotMeanttoChange	14
75	JESS_THE_RERE	14
78	TheShyPig	13
79	T045RTY	12
79	EfficientC52	12
79	oxfordschool	12
82	Kkanot	11
82	ROY4LE	11
82	mariominejedi	11
82	Luigipunch989	11
82	MilleGrug	11
87	Merv__	10
87	diamondgolem35	10
87	Tolhart	10
87	set67	10
87	UncreativeArtist	10
87	PegLegPete93	10
87	Akoot_	10
87	EveryonesUncle	10
87	djancak	10
87	Lowjinx	10
97	emrekn	9
97	M_Patata	9
97	masskedman	9
97	lillips	9
97	GlitchMixed	9
97	Frozil12	9
97	Enderslayerxz3	9
97	JayToe	9
105	Jackattack53	8
105	Xclax101	8
105	SammiWolfGirl	8
108	Sleek_Storm_721	7
108	error10101	7
108	RodSerlingCringe	7
108	NameGenerat0r	7
108	MasterNueve	7
108	stahouo	7
108	PortlyPete69	7
108	Vellu21	7
108	EcksDofficial	7
117	dudcreeper	6
117	12Magner05	6
117	slkiey	6
117	xxPipperDipperxx	6
117	Rumpletaezer	6
117	Inbefour	6
117	MustaLoordi	6
117	Fizznut909	6
117	Powowowow	6
117	h2p_emrld	6
117	diggydog67	6
128	Jovaphobic	5
128	ShedJr_	5
128	titanlax	5
128	bloodbiter	5
128	_naturell	5
128	FishyBoy3811	5
128	Wowful	5
128	DeGodz4life	5
128	lcvezra	5
128	HesDemonPants	5
138	JEWISHBadenBeele	4
138	TooManyDuck	4
138	Kamflame10	4
138	himak1	4
138	SlayerCrypto	4
138	whoaluv	4
138	xo_Marren_xo	4
138	Leyna3	4
138	LexMakesHistory	4
138	MyNameIsDakar	4
138	censorsheep	4
138	MakeHistory157	4
138	Kowcio_	4
138	Winston_Ingram	4
138	kinas45y5	4
138	The_SlideV5	4
138	WYFYoyo	4
138	FishisTTV	4
156	SlowMoNinja1994	3
156	q_wq	3
156	KingFaenor	3
156	Ironmine12	3
156	H72l9w	3
156	chlorinex	3
156	LoboTheLobster	3
156	Stynxy	3
156	TheWeeknd14	3
156	Auseawesome	3
156	Nicky_H225	3
156	_Dean_123	3
156	XboxPanda	3
156	loveseeker	3
156	gabriels543	3
156	Onennon	3
156	ClemenPine	3
156	Maenara	3
156	FreddyFart	3
156	Jiminie	3
156	MightyWertu	3
156	Groundler	3
156	monky_irl	3
156	MineMaster0012	3
156	__tomato	3
156	Juh1s	3
156	obzii	3
156	Dogcorn69420	3
156	sebastiensaborio	3
156	Kubeusz2010	3
156	laron58	3
156	Ezekson	3
156	Quotary	3
156	_AAZAR	3
156	2blox	3
156	Zoeyfortnite	3
156	Jordan_R	3
156	Faart	3
194	MunkaKris	2
194	Groovy_MoonBird	2
194	FujiBS	2
194	KarlKaek	2
194	ImpavidArcher	2
194	openatheclose	2
194	Rasplinn	2
194	zorin123	2
194	Awyrlas	2
194	Motsaro	2
194	ibarker21	2
194	GUBBENZ	2
194	RobotMinion101	2
194	ooga47	2
194	Russiancat1	2
194	_Karmaa	2
194	FlashMigma	2
194	Warlord324	2
194	lordpipe	2
194	Optiprimus	2
194	stavgod	2
194	Kyrum2169	2
194	starbits140	2
194	_Yonk_	2
194	ProbsNotNova	2
194	CalebDHawk	2
194	Sheldor097	2
194	LeeMcGee30	2
194	TheOuterCore	2
194	MissCeleste7	2
194	tartanboy	2
194	BreadBacon	2
194	Nicserso	2
227	SaltineDream	1
227	Tommhh	1
227	Incinere	1
227	hurnter	1
227	Freebolt	1
227	TheMaster972	1
227	Swalt	1
227	tramizu	1
227	Vizzoid	1
227	Euclidoris	1
227	Shadoko_	1
227	Malorn_Aetherius	1
227	jushykins	1
227	SwiftyPlayz__	1
227	BilboBaggins23	1
227	xXxSebastianLxXx	1
227	ayqq	1
227	xBaltaci	1
227	CharlieButt	1
227	mimbo1211	1
227	IronyMan69	1
227	Winklepicker279	1
227	CollinMH06	1
227	WET_WET_WET	1
227	burbankbuilder28	1
227	_8man	1
227	AnnieBathory	1
227	andy_rex	1
227	ApophisNova	1
227	The11thDoctor	1
227	CruncyIsTaken	1
227	iElijah	1
227	jewbacaman	1
227	Myhym	1
227	Kim_Jong_eel	1
227	TheTrueClipse	1
227	stuy9	1
227	Blamphe	1
227	McLovin003	1
227	gustarbite	1
227	DTwenty	1
227	NoChumpChange	1
227	misomon	1
227	YungWali	1
227	Soap_Bender	1
227	jacobsoy	1
227	Blu3beast	1
227	Nycteus_	1
227	fluddd	1
227	SingedBread	1
227	ComplexSquirrel	1
227	TheTommyGun63	1
227	xyfrs	1
227	Razzgriz	1
227	33sudo	1
227	IvarEXE	1
227	Shin69	1
227	Zetsey	1
227	ItsJunoIGuess	1
227	fffMike	1
227	ZeroKraken	1
227	alderban107	1
227	Erased_Identity	1
227	Miko_Fullbuster	1
227	RadarHz	1
227	Mr_Teddiursa_K	1
227	smogfrog	1
227	MyNamaSheff	1
227	Sral7	1
