rank	username	minecraft:used/minecraft:oak_leaves
1	Legendosh	12650
2	eitanzaki	8922
3	Marbz_	8872
4	EveryonesUncle	8205
5	rarrq	7887
6	Merv__	6830
7	Mahoose	6273
8	beeperbeeper5	5878
9	Di_infiri	4710
10	noam464	4660
11	CoffeeNoir	4550
12	Steelynan	4262
13	PlasticOtari	4082
14	Skylord_Luke	2999
15	CarltheCuck	2958
16	Arceus1975	2921
17	Shogunite	2688
18	vandmanden	2538
19	_Dean_123	2352
20	Eraxa	2190
21	kyouma777	2101
22	pintsizedrogue	2087
23	thescout7	2064
24	gcaisawesome	2033
25	PigDab	1945
26	Freak_Genius	1940
27	Smoke____	1864
28	Frozil12	1754
29	kekhon	1721
30	NameGenerat0r	1719
31	Nycteus_	1717
32	XxCookiequeenxX	1611
33	Fullut	1597
34	Blackberry1310	1507
35	500am	1445
36	Cryptacity	1413
37	HellsSponge	1348
38	Onennon	1313
39	YungMaki	1300
40	Luigipunch989	1237
41	TheDankPlatypus	1205
42	TheShyPig	1184
43	Jiminie	1170
44	Quaintster	1161
45	wwwwinnebagoooo	1158
46	titanlax	1149
47	Ezekson	1068
48	Maenara	1030
49	hcb238	1029
50	master9067	1017
51	Kouridragon	984
52	egglapras	983
53	TheSecondLord	966
54	Wooptey	925
55	joethahobo	918
56	_Bguette_	897
57	r123moore	887
58	TechnoNinja64	792
59	Blu3beast	790
60	Historical_Sand	785
61	GLLogan2	770
62	Optiprimus	753
63	Deguns123	738
64	Werbe	735
65	Xclax101	726
66	MattieHD	720
67	ImpavidArcher	696
68	tsitrawhy	684
69	Soplight	667
70	Oxygen16	658
71	Sheldor097	636
72	Dusk_95	609
73	Enderslayerxz3	565
74	M_Patata	558
74	MasterNueve	558
76	ShedJr_	557
77	fkGrim	548
78	burbankbuilder28	543
79	__tomato	536
80	PortlyPete69	531
81	Inbefour	522
82	Inchef	506
83	Blaiku	504
84	EcksDofficial	484
85	07shiny	477
86	Kowcio_	472
87	claivin	470
88	Ssor69	460
89	CSG_Haru	459
90	Lord_Jord	454
91	ApophisNova	452
91	MyNamaSheff	452
93	Hyp3rion_	449
94	ROY4LE	440
95	SoftSix	436
96	platinumzero	435
97	toj__	423
98	CollinMH06	417
98	RodSerlingCringe	417
100	crying_wolf_13	415
101	MixerDixer	406
102	wezzzi	405
103	_Karmaa	391
104	SuperPooch06	390
105	El_Jalapeno	384
106	Segotep999	383
107	EcksD	380
108	mwrty	377
109	Stiar	362
110	NomadicRobin_	356
111	MightyWertu	353
112	xo_Marren_xo	349
113	oxfordschool	348
114	MelodyGaysharks	347
115	PuFY	343
116	rpmm	339
117	Smashic	336
118	Groovy_MoonBird	322
119	Rebytre	315
119	stahouo	315
121	wobn	311
122	awesomeoneme	305
122	lcvezra	305
124	thewindmillman	301
125	Akoot_	298
126	Soap_Bender	297
127	djancak	277
128	Yahrto	276
129	EMC_	272
130	epiksk8erduck	270
131	HesDemonPants	264
132	cog	262
133	Nicky_H225	261
134	Rumpletaezer	257
135	2blox	243
136	SSytex_X	240
137	groofles	231
138	__hinterland__	229
139	Ailmast	227
140	ssleepless	216
141	RyuNeko932000	209
142	ColeSnyder	206
142	PegLegPete93	206
144	CookTheChef3	200
145	DarlaMeow	199
146	Megarboh	183
147	Fildyr	182
147	coobert42	182
149	KartivGal	180
150	IWorkAtIkea	178
150	00000000-0000-0000-0009-01f898304150	178
152	fr0stss	176
153	Jackattack53	175
154	himak1	171
154	kinas45y5	171
156	BRRRN179	170
157	Kakolbus	166
158	Sleek_Storm_721	161
159	Winklepicker279	160
160	TableTim	155
161	Hermanni__	154
162	MyNameIsDakar	153
162	The_slideV3	153
164	xxPipperDipperxx	151
165	ayqq	149
166	MSK__	148
167	MonitorLizards	144
168	Bandito_Roamer	143
169	Swexti	142
169	KG1999	142
169	Sral7	142
172	Mimiir345	139
172	Racengan	139
174	VentiHilton	137
175	anbbang	136
176	MangoSalad316	135
176	KingMatthew506	135
178	EllaBellaChu	134
179	Russiancat1	132
180	I_Am_Mushkin	131
181	Kubeusz2010	130
182	EtherealEspresso	128
182	jnp_gaming	128
184	Yatitay	126
185	_stets	124
186	Natty	123
186	Negriuke	123
188	TheSeismicDuck	118
189	Gamergirl420628	115
190	Meatlaugh	110
191	MyNameIsJobo	102
192	BronkerBrum	98
193	T045RTY	97
194	Quotary	96
195	seramalen	95
195	iHuntWeeaboos	95
197	featherflyy	94
198	oreee	91
199	Malorn_Aetherius	89
200	sp00ky_ghost977	88
201	Hisiste	87
202	smogfrog	86
203	Warlord324	84
204	TheMaster972	83
205	DemTechAlpha	82
205	Cpietr0	82
205	00000000-0000-0000-0009-01f7965f8059	82
208	Syropatathe	81
209	UCP_TheKingK	80
210	TheFlfthHorseman	79
210	set67	79
210	lordpipe	79
213	TheDiamondCG	77
213	surfinggiraffejp	77
215	gabriels543	76
216	The11thDoctor	74
216	MovingFish7	74
216	jaimshae	74
219	GoofyBread	72
220	Ecplosive	70
220	CarryLine	70
220	blimpeey	70
223	12Magner05	69
223	Factoroni	69
225	ivorico	68
226	Blamphe	67
226	Jij0	67
228	Skippeh	66
228	Nicserso	66
230	chrolus	65
230	fluddd	65
230	_3Stump_	65
233	soundad	64
233	ItsDeltaMC	64
233	WYFYoyo	64
236	LordAurum	62
237	2Stout	61
237	NotKaden_	61
239	Kubelz	60
239	nitram49b	60
241	SaltineDream	59
241	Ryker	59
243	_Boipl_	58
244	SvenskaHugo	57
245	G1ldor	56
245	MineMaster0012	56
247	comjosh64	55
248	CaptainSteve345	54
248	RedcatVII	54
248	ProfessorDiaper	54
251	Stynxy	53
251	AdvertisingMerc	53
251	Drewen24	53
254	chipklip	52
255	Toiton	51
255	proxivitoid	51
255	SkateboardR6	51
258	YungJakobo	50
258	MindyDooWho	50
260	Tommhh	49
260	Myszoaz	49
260	LotusProject	49
260	obzii	49
260	YoshikageBites	49
265	FGamerJ	48
266	Auseawesome	46
267	microcrisp	45
267	al626win52	45
269	Rich_Kat	42
269	ItzYaBoiPicard	42
269	wrinkledpiglet	42
272	LeGold	40
273	Shiirazuku	39
273	MakeHistory157	39
275	Spacewardharpy7	37
276	BlueZabu	36
276	Donutt	36
276	Corbsman	36
279	bloodbiter	35
279	NNikitas	35
281	jimintyy	34
281	Dogcorn69420	34
283	nocturne78	33
283	SammiWolfGirl	33
285	Da_Boss_Rani	32
285	Bazongoman	32
287	bigstankyy	30
287	Hiryu27	30
289	WET_WET_WET	29
290	Mowelan	28
290	Ao_Ken	28
290	Ozixar	28
290	TinMaster	28
290	Ravenbie	28
290	Deerfoot	28
296	SaucyDark	27
296	elleparo	27
298	loveseeker	26
298	whoaluv	26
298	Chromary	26
