rank	username	minecraft:used/minecraft:polished_blackstone_bricks
1	noam464	22904
2	12Magner05	18059
3	RebelAndroid	14755
4	Fullut	13622
5	TheSecondLord	10576
6	Zythose	7810
7	beeperbeeper5	7348
8	Blaiku	7319
9	Legendosh	6999
10	PigDab	6785
11	Deathkob	6660
12	Winklepicker279	6493
13	kekhon	5904
14	Spacewardharpy7	5804
15	Awyrlas	5638
16	YungMaki	5552
17	Di_infiri	4539
18	rarrq	4168
19	burbankbuilder28	4102
20	Freak_Genius	3517
21	Dusk_95	3504
22	ogoa	3324
23	Billious	2689
24	himak1	2228
25	egglapras	2197
26	nataliecool	2161
27	ApophisNova	1974
27	MyNamaSheff	1974
29	PlasticOtari	1699
30	lizardfightclub	1675
31	Smoke____	1515
32	eitanzaki	1425
33	KeruNatsema	1396
34	r123moore	1390
35	Snowflowe	1342
36	Shogunite	1277
37	Cowison	1068
38	Werbe	1031
38	AssEatrAndLicker	1031
40	set67	1019
41	EveryonesUncle	944
42	_Boipl_	913
43	FishyBoy3811	908
44	TheShyPig	859
45	EcksD	729
46	Enderslayerxz3	700
47	pintsizedrogue	676
48	Lord_Jord	674
49	Eraxa	662
50	ShedJr_	652
51	HellsSponge	646
52	SkateboardR6	636
53	CliffEmAll	616
54	gustarbite	519
55	sebastiensaborio	502
56	_Razar	495
57	CalebDHawk	453
58	ROY4LE	435
58	MAns_44	435
60	Frozil12	386
61	Decaying_Lotus	370
62	HolyVenom	368
63	Mahoose	362
64	thewindmillman	331
65	500am	321
66	Kakolbus	307
67	DarkS0L	305
68	IvarEXE	293
69	Paint	265
70	Kubeusz2010	251
71	Spenduh	228
72	ImpavidArcher	212
73	T045RTY	181
74	joethahobo	178
75	Hermanni__	176
76	6king6colt6	164
77	King_Pancake1	160
78	mwrty	154
79	DarlaMeow	144
80	MyNameIsDakar	134
81	HAIRYCLOUD626	131
82	jacxhadow	129
82	BobDeBouwer1337	129
82	Vorlice	129
85	fanofbands101	128
86	Kokeech	101
87	YungJakobo	98
88	DanTheBuilderino	94
89	Blackberry1310	90
90	Hyp3rion_	88
91	07shiny	85
92	oxfordschool	80
93	diggydog67	77
94	EcksDofficial	69
95	Optiprimus	68
96	Yatitay	67
97	Quinasin	65
98	Marbz_	64
99	Myszoaz	62
100	LotusProject	59
100	PortlyPete69	59
102	Kowcio_	56
103	ooga47	53
104	Soplight	49
105	fred870d	48
106	TheOuterCore	45
107	MinttyFressh	43
108	ExtraDumb	41
108	Luigipunch989	41
110	Akoot_	40
111	SingedBread	37
112	m_be9	36
112	benediktine1	36
114	fluddd	35
115	brofrickcheaters	34
116	JingleLizi	32
117	MSK__	31
118	Ezekson	30
119	TheTommyGun63	27
120	livingdaydreams	25
120	RadarHz	25
122	Nycteus_	24
123	NameGenerat0r	23
123	KG1999	23
125	pixelviolin	22
125	cichy096	22
127	Klerick	21
128	RodSerlingCringe	18
129	Hpdinosaur	14
129	TheFlfthHorseman	14
131	TinyTheMelon	12
132	Historical_Sand	11
133	_Virify_	9
133	tartanboy	9
133	Quotary	9
133	WYFYoyo	9
137	yulgur1	8
137	Eon_57	8
139	error10101	7
139	eclipseboi	7
139	breadbowlgamer	7
142	Inchef	6
142	LittleIan365	6
142	alderban107	6
145	Groovy_MoonBird	4
145	Merv__	4
145	AuroraValkyrie	4
145	jimbo61101jr	4
145	titanlax	4
145	tortillatitan	4
145	UncreativeArtist	4
145	XboxPanda	4
145	NomadicRobin_	4
145	jaimshae	4
145	mobunni	4
156	PhantomBionic	3
156	Nicky_H225	3
156	The_Fulgurator	3
156	KartivGal	3
156	Racengan	3
156	jcool7	3
162	SteveCraftBlocks	2
162	NotTrixi	2
162	Syropatathe	2
162	jake314810	2
162	bluefragmentt	2
162	sp00ky_ghost977	2
162	MineMaster0012	2
162	anbbang	2
162	jnp_gaming	2
162	kinas45y5	2
172	KarlKaek	1
172	Nesquiczek	1
172	Flores991	1
172	Incinere	1
172	Whiterooster001	1
172	0nly_sn1per	1
172	Jackattack53	1
172	YahooScreen9000	1
172	bpmm	1
172	lillips	1
172	pipejob	1
172	GlitchyPlate810	1
172	Eczbek	1
172	trexgb	1
