rank	username	minecraft:used/minecraft:crimson_roots
1	beeperbeeper5	196
2	gustarbite	123
3	diggydog67	66
4	TheSecondLord	46
5	Fullut	41
6	YungMaki	30
7	Kowcio_	22
8	CoffeeNoir	20
9	thewindmillman	18
9	Kubeusz2010	18
11	r123moore	15
12	Hyp3rion_	14
13	Enderslayerxz3	12
14	_Dean_123	11
15	NomadicRobin_	10
16	Historical_Sand	9
16	Ezekson	9
16	RadarHz	9
19	lizardfightclub	8
20	RatatJuice	7
20	lordpipe	7
22	Blackberry1310	5
22	noam464	5
22	Freak_Genius	5
22	Eraxa	5
22	Smoke____	5
27	Inchef	4
27	Lutres_Torane	4
27	anbbang	4
27	Legendosh	4
31	pintsizedrogue	3
31	CliffEmAll	3
31	bloodbiter	3
31	whoaluv	3
31	Chromary	3
31	501g	3
31	SingedBread	3
31	Eon_57	3
39	Cowison	2
39	eitanzaki	2
39	Master_Kol	2
39	Snowflowe	2
39	ApophisNova	2
39	HolyVenom	2
39	Gryglu583	2
39	EveryonesUncle	2
39	Dusk_95	2
39	Soplight	2
39	GlitchyPlate810	2
39	Kferno	2
39	oxfordschool	2
39	MyNamaSheff	2
39	TechnoNinja64	2
39	trexgb	2
39	FishisTTV	2
56	_NieToksikpl_	1
56	RebelAndroid	1
56	T045RTY	1
56	_AceOfSpace_	1
56	Mahoose	1
56	MSK__	1
56	Swexti	1
56	titanlax	1
56	UncreativeArtist	1
56	Kubelz	1
56	trixterrx	1
56	CarltheCuck	1
56	Arceus1975	1
56	GreedyFern8581	1
56	Bongo_Drums_	1
56	Deathkob	1
56	MyNameIsDakar	1
56	bluefragmentt	1
56	IvarEXE	1
56	Luigipunch989	1
56	UltraZombie	1
56	Hermanni__	1
56	MissCeleste7	1
56	cichy096	1
56	jnp_gaming	1
56	EcksDofficial	1
56	00000000-0000-0000-0009-01f898304150	1
