rank	username	minecraft:used/minecraft:chiseled_tuff_bricks
1	thewindmillman	40
2	Spaghettatron	15
3	Eczbek	14
4	net_flex	4
5	oscminus	2
5	Buuck_	2
7	MattieHD	1
7	TheKingK_	1
