rank	username	minecraft:used/minecraft:warped_fence
1	rarrq	597
2	thewindmillman	572
3	Apollo_993	390
4	Lutres_	349
5	Hoid_the_Roamer	170
6	catandmoose	153
7	Fullut	141
8	teslawolf38	131
9	beeperbeeper5	129
10	PazinGaming	123
11	YungMaki	110
12	Mattesco	107
13	TheSecondLord	101
14	Jackattack53	98
15	Lez_	90
16	pintsizedrogue	86
17	Manaateee	84
18	Mr_Byzantine	70
19	Eraxa	61
20	Moofyman	59
21	PortlyPete69	53
22	PegLegPete93	52
23	Arceus1975	51
24	Mahoose	47
24	Hyp3rion_	47
26	SpacesickPrism	35
27	Kowcio_	34
28	12Magner05	30
29	Dakar_	26
30	_Huge_Male_	24
30	FreakGenius	24
32	CalebDHawk	17
33	Ezekson	11
33	AdmiralSmoke	11
35	BobDeBouwer1337	8
35	Lord_Jord	8
35	Legendosh	8
35	00000000-0000-0000-0009-01ff0c3e5e4f	8
39	KarlKaek	6
39	CoffeeNoir	6
39	WET_WET_WET	6
39	HolyVenom	6
39	Luigipunch989	6
44	Awyrlas	5
45	ECstardust	4
45	jessewegottacook	4
45	Spacewardharpy7	4
48	_Razaria	3
48	Alteriity	3
48	Tiberonus	3
48	noam464	3
48	0Vyp_	3
48	FishisTTV	3
54	ShedJr_	2
54	CliffEmAll	2
54	Smashic	2
54	gcaisawesome	2
54	AlexxO_o	2
54	StarCookiees_	2
54	Steelynan	2
54	skrongus	2
62	Marbz_	1
62	hanaryheatwave	1
62	djancak	1
62	EcksD	1
