rank	username	minecraft:used/minecraft:mossy_cobblestone_stairs
1	layabout100	194
2	500am	162
3	RefluxRatio	129
4	impossibleteapot	127
5	Frozil12	116
6	Toiton	110
7	EMC_	106
8	wezzzi	94
9	Jiminie	85
10	MattieHD	75
11	pintsizedrogue	73
12	Maenara	66
13	killmeiamtraitor	59
14	godipose	40
15	Enderslayerxz3	39
16	Smoke____	36
17	Eraxa	33
18	Notta	29
18	SammiWolfGirl	29
20	Malorn_Aetherius	27
21	Merv__	25
22	SaltineDream	23
22	Skylord_Luke	23
22	Sral7	23
25	Shogunite	22
26	Lutres_Torane	21
27	beeperbeeper5	20
28	PegLegPete93	18
28	ese_wn_po	18
30	soundad	17
31	Kubelz	16
31	Legendosh	16
33	BlancoFlaco	15
33	thescout7	15
33	MyNameIsJobo	15
33	Freak_Genius	15
37	Blackberry1310	14
37	whoaluv	14
39	thewindmillman	12
40	rachcl	11
40	Cryptacity	11
40	Jeteight	11
43	Onennon	10
44	Fullut	9
44	ogoa	9
44	Steelynan	9
44	kinas45y5	9
48	groofles	8
49	Prismyst	5
49	PuFY	5
51	ShedJr_	4
51	CarbonatedCola	4
51	xxPipperDipperxx	4
51	Roikdean	4
55	burbankbuilder28	3
56	UCP_TheKingK	2
57	Di_infiri	1
57	Sky_light_KING	1
57	Spacewardharpy7	1
57	Kowcio_	1
57	EcksDofficial	1
