rank	username	minecraft:used/minecraft:acacia_sapling
1	Spacewardharpy7	7471
2	AdmiralSmoke	3053
3	beeperbeeper5	2475
4	thewindmillman	988
5	gcaisawesome	723
6	Blackberry1310	701
7	eitanzaki	408
8	KarlKaek	397
9	ApophisNova	385
9	MyNamaSheff	385
11	TheShyPig	376
12	eiC_	329
13	Winklepicker279	267
14	luseis	256
15	r123moore	245
16	Meatlaugh	233
17	MyNameIsJobo	231
18	KingMatthew506	196
19	Zedducius	164
20	Snowflowe	161
21	AnnieBathory	158
22	El_Jalapeno	151
23	EcksD	134
24	Mr_Byzantine	133
25	lordpipe	129
26	YungMaki	121
27	jushykins	118
28	ImpavidArcher	117
29	Di_infiri	112
30	Soul_Atreus	104
31	m_be9	101
32	Werbe	100
33	mariominejedi	94
34	RebelAndroid	87
35	Bandito_Roamer	83
36	Steelynan	81
37	Hyp3rion_	77
38	Zythose	76
39	Moofyman	72
40	himak1	69
41	Shogunite	68
42	Hoid_the_Roamer	67
43	DemTechAlpha	59
44	Frozil20	55
44	youhjjhhhjj	55
44	excelsionprime	55
44	FreakGenius	55
48	Ecplosive	54
49	xolstoi	52
50	JESS_THE_RERE	51
50	stellarjay	51
52	smogfrog	48
53	12Magner05	46
53	mawileite	46
55	pixelviolin	43
56	Myrosia	42
56	EveryonesUncle	42
56	ReflexCode	42
56	starbits140	42
60	Mahoose	41
61	Hanselhoof	39
62	Mowelan	37
63	Malorn_Aetherius	36
63	Soplight	36
63	DennyKai	36
66	TastyPorkchop	35
66	2Stout	35
66	sp00ky_ghost977	35
66	_3Stump_	35
70	Hiryu27	34
71	Lutres_	33
71	LeeMcGee30	33
71	Vellu21	33
74	thescout7	32
74	Ezekson	32
76	Kamflame10	31
77	PlasticOtari	30
78	pintsizedrogue	29
78	legal_tax_evader	29
78	Moetis	29
81	Onennon	28
82	Fractured_	27
82	TheSeismicDuck	27
82	Manaateee	27
82	tartanboy	27
82	JayToe	27
87	ProfessorBee	26
87	Zaridey	26
89	Alexanderjac	25
89	kekhon	25
91	TheSecondLord	24
91	Sheellky	24
91	FreddyFart	24
94	Tommhh	23
94	Barlycorn	23
94	TechnoNinja64	23
97	FujiBS	22
97	peach0s	22
97	corvidpartyfor6	22
100	ThePoliteG	21
101	Hpdinosaur	20
101	ooga47	20
101	PigDab	20
101	NomadicRobin_	20
101	ori0le	20
101	FelixPSY375	20
101	Enderxz3	20
108	AuroraValkyrie	19
108	Malware_Mara	19
108	anbbang	19
111	Franco093	18
111	_Karmaa	18
113	DarlaMeow	17
114	andy_rex	16
115	funeralhome	15
115	Cowison	15
115	Merv__	15
115	BlancoFlaco	15
115	titanlax	15
115	Nicserso	15
121	_stets	14
121	xzvu	14
121	Drawgirl	14
121	Slapface522	14
121	mountaingirl311	14
126	Rich_Kat	13
126	eviltunix	13
126	Groundler	13
126	xX_Stalin69_Xx	13
130	Groovy_MoonBird	12
130	Lord_Jord	12
130	fkGrim	12
130	PortlyPete69	12
134	slkiey	11
134	jewbacaman	11
134	Seindi	11
137	Healthing	10
137	SPUDonSTEROIDS	10
137	BlueZabu	10
137	ChillenChiggen	10
137	SuperPooch06	10
137	Invisie	10
137	marumochis	10
137	MakeHistory157	10
137	Legendosh	10
146	Touched_Bread	9
146	DirtyBoar	9
146	SirPiccardo	9
146	cedric72	9
146	Toowny	9
146	_Meow_Mix	9
146	IdeallyGrey	9
146	bitsplease	9
146	CattSoup	9
155	SaucyDark	8
155	spaece	8
155	CEOofSHINS	8
155	firesgal3116	8
155	_Nuf	8
155	AJplaysMC_	8
155	Donutt	8
155	Bumpy419	8
155	DAD_1996	8
155	Ajax6	8
155	SammiWolfGirl	8
155	Schlitzman	8
167	CueMix	7
167	RatatJuice	7
167	Historical_Sand	7
167	cheerytomato	7
167	Arceus1975	7
167	MustardDrinker	7
167	RedcatVII	7
167	mihimihimihi	7
167	_Mythic____	7
167	potatocan	7
167	ConnorDanky_	7
167	00000000-0000-0000-0009-01fc3bb26159	7
179	Creativebuilder2	6
179	Lukeee33	6
179	Fullut	6
179	M_Patata	6
179	pappaberg	6
179	DeeDeeThonk	6
179	LilLizardWizard	6
179	StinkyDiplomat	6
179	MasterNueve	6
179	IAmTheWalrus910	6
179	Quotary	6
190	dudcreeper	5
190	Mocha_Mug	5
190	MoistMicrowave	5
190	rarrq	5
190	MeowMeowMcmuffin	5
190	DSYisDizzy	5
190	Doom_melon	5
190	KillerNekoRain	5
190	Kynigito	5
190	thgrocks	5
190	Kim_Jong_eel	5
190	Leyna3	5
190	OffWithTheirHead	5
203	TheThomas69	4
203	shadowthemonkey	4
203	Windo_licker	4
203	ItsAki_	4
203	Fuhrer_Teemo	4
203	Tobias0113	4
203	halfbakedlasagna	4
203	ripddann	4
203	07shiny	4
203	Kubeusz2010	4
203	Powowowow	4
203	Goat_Man512	4
215	PhantomsGhost_	3
215	ImNotYuqii	3
215	Wooptey	3
215	Jackster03	3
215	buss081	3
215	Lez_	3
215	jacxhadow	3
215	keksandra	3
215	TylerDupree	3
215	ibarker21	3
215	yulgur1	3
215	Zetsey	3
215	OfficerAnvil	3
215	MelodyGaysharks	3
229	Jovaphobic	2
229	CLG_Kata	2
229	Harotio	2
229	jimintyy	2
229	Batman922	2
229	ShedJr_	2
229	Pofen	2
229	Vizzoid	2
229	TinMaster	2
229	dopplexd	2
229	Notta	2
229	Ravenbie	2
229	set67	2
229	Kubelz	2
229	hanaryheatwave	2
229	WET_WET_WET	2
229	Krowuss	2
229	oscminus	2
229	Felenov	2
229	SullivanNephew	2
229	Maenara	2
229	AlphaWolfPlaysMC	2
229	duqboy	2
229	claivin	2
229	Blu3beast	2
229	560cool	2
229	tlustyCZARNY	2
229	Blaiku	2
229	Eraxa	2
229	ItsJunoIGuess	2
229	RadarHz	2
260	Apollo_993	1
260	abramgray	1
260	ECstardust	1
260	KingFaenor	1
260	FlackoJonah	1
260	Swexti	1
260	tortillatitan	1
260	Tiberonus	1
260	Master_Kol	1
260	insanepace	1
260	marul1002	1
260	Irko	1
260	ROY4LE	1
260	SellyZ	1
260	theonlymagikarp	1
260	Resner	1
260	lia1337owo	1
260	mimbo1211	1
260	Karetoko	1
260	CaptainSteve345	1
260	TheDeathPepper	1
260	AzBzCzDz	1
260	JonahTheMans	1
260	Shiirazu	1
260	epiksk8erduck	1
260	theofiel	1
260	Elastiq	1
260	LeonelSalamanca	1
260	Inbefour	1
260	Thomez_	1
260	Jiminbub	1
260	Quaintster	1
260	censorsheep	1
260	Hisiste	1
260	Druid95	1
260	geekbird	1
260	NiveauSubmarine	1
260	yatsuta	1
260	cum_chalice	1
260	underscore_2	1
260	Juh1s	1
