rank	username	minecraft:used/minecraft:polished_basalt
1	beeperbeeper5	18837
2	rarrq	11188
3	Skylord_Luke	8301
4	Legendosh	5762
5	Blaiku	5094
6	thewindmillman	4404
7	luseis	4217
8	Kakolbus	3938
9	12Magner05	3772
10	PigDab	3471
11	TheSecondLord	3022
12	jacxhadow	2699
13	YungMaki	2535
14	weabis	2242
15	AdmiralSmoke	2205
16	lizardfightclub	1925
17	Hermanni__	1720
18	Optiprimus	1632
19	4774	1469
20	ZoomieZoomie	1430
21	EveryonesUncle	1342
22	eitanzaki	1331
23	Werbe	1152
24	Mahoose	1116
25	noam464	1062
26	r123moore	1036
27	pintsizedrogue	1009
28	Cowison	979
29	Mattesco	975
30	ogoa	939
31	Lord_Jord	934
32	mihimihimihi	894
33	Shogunite	873
34	m_be9	869
35	CalebDHawk	779
36	Biites	775
37	Eraxa	702
38	joethahobo	666
39	Akoot_	656
40	Paint	601
41	Mr_Byzantine	497
42	00000000-0000-0000-0009-01ff0c3e5e4f	436
43	Deathkob	435
44	Enderxz3	417
45	Merv__	399
46	PlasticOtari	380
47	Elastiq	379
48	Jimb0nat0r	349
49	Ze_BaronKrigler	344
50	Nicserso	340
51	Fullut	328
52	IvarEXE	303
53	Maenara	296
54	TheShyPig	295
55	kekhon	288
56	ShedJr_	282
57	ImpavidArcher	279
58	ProfessorDiaper	269
59	catandmoose	264
60	FreakGenius	263
60	Sheldor097	263
62	PortlyPete69	248
63	Hyp3rion_	234
63	XxCookiequeenxX	234
65	iSammael	231
66	Kamflame10	218
67	Jonafrog99	213
68	MissCeleste7	209
69	Manaateee	201
70	CoffeeNoir	199
70	set67	199
72	King_Pancake1	190
73	ConnorDanky_	177
74	lordpipe	166
75	himak1	158
76	sp00ky_ghost977	153
77	LoboTheLobster	152
78	LeauVox4921	147
78	DanTheBuilderino	147
80	Jindong	146
81	Winklepicker279	143
82	drunkeeez	139
83	MinttyFressh	133
84	KliBeast21	127
85	6king6colt6	123
86	Tiberonus	119
87	XboxPanda	110
88	Arceus1975	104
89	djancak	102
90	xolstoi	101
91	SvenskaHugo	100
92	PaperCanvas	93
93	KarlKaek	91
93	PegLegPete93	91
93	Kowcio_	91
96	Lez_	90
97	Trixididntdie	89
97	Luigipunch989	89
99	hanaryheatwave	82
100	EMC_	80
100	StinkyDiplomat	80
102	Blackberry1310	78
103	CarltheCuck	77
103	ScootOfBoot	77
103	Spacewardharpy7	77
103	Kubeusz2010	77
107	anbbang	69
108	AuroraValkyrie	65
109	F_Uhre	62
110	Groovy_MoonBird	58
111	NatalieTW	56
111	Jakobo1337	56
111	Snowflowe	56
114	Krowuss	55
115	MineMaster0012	54
116	Soplight	51
117	Chromary	50
118	SkinnyBois	49
119	_i_ERROR_i_	47
120	Hpdinosaur	42
121	ITDV	40
121	jessewegottacook	40
123	ECstardust	38
124	Chuvacevedo	34
124	UCP_TheKingK	34
126	PazinGaming	33
127	dragonsleger	27
128	titanlax	24
129	Crowman1	22
130	shadowthemonkey	21
131	excelsionprime	18
132	gustarlep	17
133	obzii	16
134	Steelynan	15
135	lillips	11
135	pixelviolin	11
137	shrimp_flips	10
138	teslawolf38	9
138	MrExplorer	9
138	Racengan	9
138	Spenduh	9
142	chipklip	8
142	Historical_Sand	8
142	JETrotter	8
142	CuzIm2Kev	8
146	k_ce	7
147	q_wq	6
147	Di_infiri	6
147	JitteryJared2	6
150	ExtraDumb	5
150	livingdaydreams	5
150	Huwulling	5
150	eclipseboi	5
150	TheWildMateo	5
155	diamondgolem35	4
155	mimbo1211	4
155	Fuad_R	4
155	Decaying_Lotus	4
159	RebelAndroid	3
159	monky_irl	3
159	KingMatthew506	3
162	T045RTY	2
162	Swexti	2
162	burbankbuilder28	2
162	masskedman	2
162	NameGenerat0r	2
162	Njensen7	2
162	2blox_	2
169	AgressiveEggdog	1
169	Frozil20	1
169	DinoDoctor_	1
169	SyntheticSurgeon	1
169	Myrlewen	1
169	Secret_Canary	1
169	Awyrlas	1
169	Mookle96	1
169	breadbowlgamer	1
169	eli_tschki	1
169	Jackattack53	1
169	whoaluv	1
169	ApophisNova	1
169	Moofyman	1
169	LeonelSalamanca	1
169	NomadicRobin_	1
169	Cordicus	1
169	Druid95	1
169	_Yonk_	1
169	Eczbek	1
169	Skippeh	1
169	MyNamaSheff	1
169	jnp_gaming	1
169	trexgb	1
