rank	username	minecraft:used/minecraft:raw_gold_block
1	lordpipe	186
2	_Huge_Male_	161
3	_i_ERROR_i_	135
4	Jimb0nat0r	96
5	Mahoose	86
6	PazinGaming	85
7	Spacewardharpy7	78
8	Rocco_Lane	66
9	Rebytre	23
10	Steelynan	21
11	YungMaki	18
12	AltnumberF4	17
13	Crowman1	15
14	12Magner05	10
15	Kakolbus	9
16	RatatJuice	8
17	thewindmillman	6
18	luseis	3
18	ItsDeltaMC	3
18	Kowcio_	3
18	brofrickcheaters	3
18	Legendosh	3
23	pintsizedrogue	2
23	500am	2
23	shadowthemonkey	2
23	PaperCanvas	2
23	AdmiralSmoke	2
28	joethahobo	1
28	Gorilladam	1
28	oscminus	1
28	TJawesome09	1
28	starbits140	1
28	TheBananaKat	1
28	PlasticOtari	1
28	skrongus	1
