rank	username	minecraft:used/minecraft:firework_rocket
265	SammiWolfGirl	790
266	TheOuterCore	782
267	calamariclam_I	774
268	Creativebuilder2	762
269	mimbo1211	760
269	thebaddruid	760
269	Yahir091	760
272	soundad	759
273	FreakGenius	758
274	DolphinLaugh	748
275	_Nat666	742
276	jnp_gaming	741
277	Groundler	693
278	ActualPatbaf	682
279	KeterComet	676
280	thescout7	674
281	claivin	668
282	BronkerBrum	665
283	Yatitay	664
284	Kekoo	655
285	SvenskaSara	654
286	_Karmaa	641
287	Nicky_H225	627
288	Quotary	613
289	DarlaMeow	604
290	Prismyst	601
291	kyouma777	599
292	Sheldor097	594
293	Kubelz	588
294	Zxhir	587
295	Reneedium	576
296	ARandomHedge	565
297	PortlyPete69	556
298	bigstankyy	552
299	benediktine1	544
300	trexgb	540
