rank	username	minecraft:used/minecraft:red_concrete
1	Shogunite	6605
2	Spacewardharpy7	5548
3	Frozil12	3173
4	lordpipe	2056
5	oxfordschool	1833
6	joethahobo	1747
7	Onennon	1740
8	beeperbeeper5	1594
9	Nicky_H225	1519
10	Warlord324	1363
11	SSytex_X	1292
12	TheSecondLord	1278
13	Smoke____	1063
14	Ezekson	1057
15	emrekn	920
16	Enderslayerxz3	825
17	YungMaki	813
18	Sky_light_KING	704
19	Arceus1975	701
20	LetsDoItLive	690
21	NoChumpChange	677
22	FirsTimeGamingTV	540
23	noodlepack	516
24	thewindmillman	480
25	MyNameIsDakar	478
26	TheWildMateo	473
27	Jovaphobic	470
28	Skylord_Luke	469
29	fluddd	440
30	Merv__	435
31	jnp_gaming	383
32	h2p_emrld	367
33	Optiprimus	350
34	AuroraValkyrie	348
35	EveryonesUncle	322
36	Blackberry1310	317
37	GoofyBread	292
38	chipklip	288
39	Deathkob	284
40	lillips	263
41	Freak_Genius	262
42	Omar_Alone	255
43	bloodbiter	235
44	ImpavidArcher	232
45	DAD_1996	206
46	master9067	197
47	Notta	196
48	iHuntWeeaboos	190
49	EMC_	170
49	TheTommyGun63	170
51	rarrq	165
52	Xovalt_	160
53	TheDankPlatypus	147
54	PortlyPete69	132
55	PlasticOtari	124
56	IAmTheWalrus910	123
57	lcvezra	121
58	Chromary	107
59	500am	102
60	bigstankyy	95
61	ElKaySVK	92
62	Soplight	90
63	PlzNoBM	87
64	__tomato	84
65	susbakaimpostor	83
66	Mattesco	82
67	ROY4LE	67
68	CruncyIsTaken	66
69	Queen_Jalapeno	57
69	pixelviolin	57
69	kinas45y5	57
72	12Magner05	55
73	eitanzaki	42
74	Fullut	40
74	SammiWolfGirl	40
76	StanceTB	36
76	HellsSponge	36
78	Inchef	35
79	ShedJr_	31
79	EcksDofficial	31
81	Steelynan	30
82	Werbe	28
83	Xalithia	26
83	TechnoNinja64	26
85	ReverendSmith	23
86	moist_jellyfish	21
87	WET_WET_WET	20
88	Kowcio_	19
88	BiggieDawg	19
90	Akoot_	18
90	MissCeleste7	18
92	ABUSNA1996	17
92	burbankbuilder28	17
94	Mahoose	15
95	6king6colt6	14
96	kekhon	13
96	thescout7	13
98	pintsizedrogue	12
99	Sheldor097	11
99	EcksD	11
101	Fuad_R	9
102	ColeSnyder	7
102	CollinMH06	7
102	LexMakesHistory	7
102	MightyWertu	7
106	Paleshield	6
106	Blaiku	6
106	diggydog67	6
109	obzii	5
110	epiksk8erduck	4
110	Soap_Bender	4
110	Poppy235	4
113	mwrty	3
113	noam464	3
113	Di_infiri	3
116	Digcove	2
116	MattieHD	2
116	bbquakes	2
116	himak1	2
116	pappaberg	2
116	wordboy107	2
116	TheShyPig	2
116	MakeHistory157	2
116	Eraxa	2
116	Dogcorn69420	2
116	Sral7	2
127	Groovy_MoonBird	1
127	ProbablyNick	1
127	SquadMonster	1
127	wiqor	1
127	_Bruhtastic_	1
127	a24680	1
127	gcaisawesome	1
127	Jackattack53	1
127	vampgey	1
127	Hyp3rion_	1
127	LAVA129	1
127	HolyVenom	1
127	shrimp_flips	1
127	NameGenerat0r	1
127	claivin	1
127	Spenduh	1
127	stahouo	1
127	MilleGrug	1
127	Miko_Fullbuster	1
127	Legendosh	1
