rank	username	minecraft:used/minecraft:yellow_candle
1	Jimb0nat0r	42
2	_Huge_Male_	31
3	CLG_Kata	8
4	shadowthemonkey	4
5	Huwulling	3
5	Lez_	3
7	Crowman1	2
7	Myntsys	2
7	Kowcio_	2
7	Legendosh	2
11	olliebollie48	1
11	PaperCanvas	1
