rank	username	minecraft:used/minecraft:dark_oak_slab
1	burbankbuilder28	13943
2	rarrq	10473
3	CharlieButt	10296
4	500am	9946
5	jacxhadow	8107
6	Frozil12	6904
7	Eraxa	6817
8	TheShyPig	6580
9	Shogunite	6273
10	SammiWolfGirl	5477
11	kekhon	5143
12	MyNameIsJobo	4021
13	EveryonesUncle	3521
14	Ssor69	3497
15	Merv__	3465
16	pintsizedrogue	2683
17	Onennon	2578
18	beeperbeeper5	2550
19	intropass	2527
20	Zythose	2524
21	AlphaWolfPlaysMC	2475
22	fluddd	2386
23	SaucyDark	2365
24	EcksDofficial	2331
25	Mahoose	2288
26	Wowful	2215
27	Dusk_95	2102
28	pixelviolin	1823
29	Freak_Genius	1736
30	TheSecondLord	1663
31	Blackberry1310	1644
32	Chromary	1607
33	oxfordschool	1590
34	Ezekson	1577
35	Airem_Core	1560
36	Winklepicker279	1559
37	PortlyPete69	1482
38	Skippeh	1434
39	Groovy_MoonBird	1367
40	_Razar	1360
41	Inbefour	1357
42	Jiminie	1316
43	tobinwilliams	1273
44	ProbablyNick	1271
45	Sral7	1248
46	_Karmaa	1247
47	PlasticOtari	1226
48	Eczbek	1129
49	MrExplorer	1123
50	Bumpy419	1116
51	CalebDHawk	1085
52	_Dean_123	1080
53	HellsSponge	1078
54	Rich_Kat	1070
55	Cowison	1068
56	m_be9	1052
57	Tobinator_007	1051
58	M_Patata	1045
59	MasterNueve	1043
60	Russiancat1	1005
61	eitanzaki	1004
62	Inchef	1000
63	Rumpletaezer	983
64	anbbang	960
65	EMC_	947
66	Fullut	933
67	teslawolf38	895
68	XxCookiequeenxX	893
69	Spacewardharpy7	888
69	lcvezra	888
71	Smoke____	876
72	joethahobo	874
73	theofiel	867
74	Cortexia	848
75	gcaisawesome	846
76	r123moore	827
77	djancak	805
78	NomadicRobin_	794
79	purpolepickle	779
80	2Stout	763
81	Barlycorn	749
82	Jij0	741
83	Lord_Jord	732
84	jnp_gaming	727
85	ATrojansLegend	672
86	Natty	651
87	gabriels543	627
88	Kakolbus	616
89	ImpavidArcher	612
90	Karetoko	608
91	Sky_light_KING	581
91	SvenskaHugo	581
93	RatatJuice	575
94	AnnieBathory	571
95	Bandito_Roamer	556
96	YungJakobo	543
97	cichy096	538
98	Meatlaugh	531
99	ProfessorBee	513
100	YoshikageBites	512
101	El_Jalapeno	511
102	Soplight	503
103	Enderslayerxz3	501
104	dongli	497
105	h2p_emrld	495
106	RobotMinion101	474
107	CoffeeNoir	470
108	AngalexikCZ	465
109	Hiryu27	464
110	Di_infiri	461
111	SDMNAEK	448
111	Deathkob	448
113	brycepants	445
114	KarlKaek	431
115	xxPipperDipperxx	429
116	Legendosh	426
117	BlancoFlaco	425
118	Incinere	418
119	titanlax	409
120	Leyna3	401
121	Motsaro	400
122	420BreadLizard	395
123	NameGenerat0r	394
124	sebastiensaborio	381
125	Mr_Byzantine	375
126	ZaneABrain	357
127	Nicserso	355
128	Smiguli_	348
129	RoskobiOne	342
130	NoxxxxiS	341
130	CheifJumbo	341
132	2blox	340
133	emrekn	336
134	thescout7	333
135	NormanFetus	330
136	smogfrog	329
137	fffMike	322
138	KlausVonStiglitz	317
139	Historical_Sand	309
140	Hermanni__	303
141	SuperPooch06	301
141	lordpipe	301
143	Prodiginus	299
143	Megarboh	299
145	MonitorLizards	291
146	The_slideV3	290
147	The_Fulgurator	272
148	Ardennes	261
149	selectrix	253
150	Xclax101	250
151	Deguns123	249
152	diamondgolem35	243
152	dopplexd	243
154	KeruNatsema	241
155	Yahir091	237
155	laron58	237
157	fkGrim	225
158	MindyDooWho	224
159	_Dri_	219
160	PegLegPete93	217
161	sp00ky_ghost977	216
162	JasmineGK	213
163	set67	206
164	stahouo	204
165	Xovalt_	203
166	Sleek_Storm_721	202
167	cringenaynaybaby	199
168	_stets	194
169	Typadopoulos	193
170	mwrty	189
171	BlossomOwO	187
172	6king6colt6	186
172	KingMatthew506	186
174	Euclidoris	184
175	CollinMH06	181
176	Ecplosive	177
177	__tomato	175
178	12Magner05	174
178	benediktine1	174
178	claivin	174
181	ROY4LE	173
182	bigstankyy	171
183	Kkanot	170
184	Akoot_	168
185	avalan64	167
185	TechnoNinja64	167
187	RebelAndroid	165
188	monky_irl	163
189	Blaiku	162
190	CruncyIsTaken	156
191	YungMaki	154
192	Notta	153
193	_NieToksikpl_	151
194	paranoid_plant	150
195	LeeMcGee30	149
196	Skomo	148
197	Kijiki	147
198	Base_Tempest	145
198	Nekomin0	145
198	EcksD	145
201	SpaceGrenadier	144
201	Lutres_Torane	144
203	JayToe	143
204	diggydog67	142
205	MightyWertu	140
206	MattieHD	138
207	Dedalus36	137
208	MyNameIsDakar	134
209	0nly_sn1per	133
210	SellyZ	128
211	Rebytre	127
212	heckface	126
212	Kowcio_	126
214	shyshyannne	124
215	orxngejuice	116
215	thgrocks	116
217	Skylord_Luke	112
217	lillips	112
219	DarkS0L	111
220	tsitrawhy	110
221	BlankityMcBlank	106
222	Stiar	105
223	Awyrlas	104
223	Optiprimus	104
223	The_SlideV5	104
226	Ze_BaronKrigler	103
227	audiocracked	101
227	DemTechAlpha	101
229	Lumien_	100
230	fr_ser	99
231	T045RTY	98
232	mediumBev	97
233	DebbieBrunswick	96
234	GingerNeutron	95
234	XboxPanda	95
236	LittleBug562	94
237	Paint	89
238	07shiny	88
238	starbits140	88
240	annoyingenderman	87
241	rachcl	85
241	Kynigito	85
243	silverpopcorn	84
244	MSK__	83
245	Nicky_H225	82
246	SquadMonster	81
247	G1ldor	79
247	Dreamdbr14	79
249	Purplehere	78
249	Werbe	78
249	dezxalo	78
249	MineMaster0012	78
253	Pickel_Lord	77
254	CookTheChef3	75
255	WYFYoyo	74
256	MangoSalad316	72
257	Hyugo	69
257	livingdaydreams	69
257	ApophisNova	69
257	MyNamaSheff	69
261	Invisie	68
262	noam464	67
263	Windo_licker	66
264	Cartoonmaniac	65
265	Snowflowe	63
266	MangoTheFish	62
266	ItsJunoIGuess	62
268	SteveCraftBlocks	61
269	MakeHistory157	59
270	CrateOfBoxes	58
271	Kyrum2169	57
272	ratglock	56
273	Blu3beast	54
273	LordSpeed37	54
275	MinttyFressh	53
276	PigDab	52
277	Nach0Bear	49
277	Smaldo	49
279	wirelesstree	48
280	Toriankel	47
281	ColeSnyder	45
281	Hail_the_wombat	45
283	dudcreeper	44
284	OfficerAnvil	43
285	RosaDoesMC	41
286	Jovaphobic	40
287	actuallysadie	39
287	LotusProject	39
287	moonman169	39
290	Drlzyy	37
291	youhjjhhhjj	36
291	Felenov	36
291	Lord_Zacler	36
294	Winston_Ingram	35
295	Jackattack53	34
295	EtherealEspresso	34
297	felincaus	33
298	Avermu	32
298	censorsheep	32
300	Soap_Bender	31
