rank	username	minecraft:used/minecraft:stripped_crimson_stem
1	SpacesickPrism	537
2	Lutres_	363
3	Legendosh	286
4	Snowflowe	152
5	Vetomo8000	128
6	pintsizedrogue	117
7	Rebytre	99
8	GooseWithin	80
9	Yamdalorian	44
10	SolarKar	41
11	00000000-0000-0000-0009-01ff0c3e5e4f	39
12	mihimihimihi	35
13	shadowthemonkey	34
14	Steelynan	30
15	doublemaki	25
16	Mattesco	20
17	kekhon	18
18	TheSecondLord	15
18	MattieHD	15
20	PlasticOtari	12
21	Mahoose	11
22	Eon_57	8
23	Mr_Byzantine	7
23	_Razaria	7
23	weabis	7
26	KarlKaek	6
27	TheWildMateo	5
27	Nicserso	5
27	Enderxz3	5
30	mymayowasgone	4
30	LuvLuvLove	4
32	livingdaydreams	3
32	Marbz_	3
32	robonya_	3
35	Merv__	2
35	Alteriity	2
35	joethahobo	2
35	set67	2
35	pixelviolin	2
35	Luigipunch989	2
41	AuroraValkyrie	1
41	ECstardust	1
41	lorpus	1
41	Awyrlas	1
41	himak1	1
41	noam464	1
41	Lord_Jord	1
41	EveryonesUncle	1
41	Manaateee	1
41	cuddlyMonster	1
41	Blaiku	1
41	Druid95	1
41	Kowcio_	1
41	ConnorDanky_	1
