rank	username	minecraft:used/minecraft:glowstone
1	joethahobo	22054
2	Werbe	3967
3	HellsSponge	3352
4	Frozil12	2762
5	beeperbeeper5	2705
6	pintsizedrogue	2120
7	thewindmillman	2021
8	Franco093	1988
9	noam464	1778
10	Blackberry1310	1419
11	Spacewardharpy7	1370
12	YungMaki	1238
13	lordpipe	1154
14	eitanzaki	1100
15	Shogunite	952
16	m_be9	770
17	EtherealSilveon	768
18	Mahoose	761
19	Skylord_Luke	715
20	Nycteus_	684
21	Di_infiri	645
22	TheShyPig	618
23	Legendosh	610
24	Hyp3rion_	609
25	SuperPooch06	594
26	TheSecondLord	561
27	ROY4LE	522
28	500am	491
29	kekhon	465
30	oxfordschool	442
31	PigDab	433
32	Incinere	403
33	gcaisawesome	402
33	Rumpletaezer	402
35	Sral7	401
36	Typadopoulos	390
36	MilleGrug	390
38	diggydog67	375
39	DAD_1996	352
39	Soplight	352
41	vandmanden	335
42	Wolverine4302	315
43	Onennon	310
44	Maenara	306
45	titanlax	305
46	Dedalus36	299
47	El_Jalapeno	286
48	TechnoNinja64	271
49	MSK__	268
50	PlasticOtari	266
51	Ssor69	252
52	wezzzi	243
53	Freak_Genius	236
54	Hisiste	233
55	Groovy_MoonBird	231
56	Inchef	220
57	Zoeyfortnite	218
58	Groundler	217
59	diamondgolem35	216
60	RyuNeko932000	213
61	Merv__	210
62	Fullut	207
63	Inbefour	201
64	jcool7	200
65	Xclax101	195
66	Ezekson	191
67	Akoot_	188
68	Blaiku	186
69	Bumpy419	181
70	Winklepicker279	176
71	Historical_Sand	172
71	MustardDrinker	172
73	KarlKaek	168
74	lcvezra	167
75	eviltunix	166
76	Skippeh	158
77	RebelAndroid	155
78	ShedJr_	154
79	Racengan	153
80	JESS_THE_RERE	151
81	Cortexia	149
82	pappaberg	145
83	claivin	143
84	Jovaphobic	142
85	_Karmaa	141
86	_Dean_123	135
87	bloodbiter	133
87	WET_WET_WET	133
89	Zaridey	131
90	Eraxa	130
90	AltnumberF4	130
92	Smoke____	128
93	MakeHistory157	126
94	H72l9w	124
95	jewbacaman	121
96	KingMatthew506	115
97	King_Pancake1	112
97	Enderslayerxz3	112
99	GlitchyPlate810	111
100	The_slideV3	109
101	h2p_emrld	108
102	Ajax6	105
103	bigstankyy	104
103	1442	104
105	Donutt	103
106	ProbsNotNova	102
107	cwartzo	99
107	Strangemonkey71	99
109	Mewar	98
110	Parcc	91
111	Corbsman	90
112	Darkgon	89
113	PortlyPete69	88
114	Froste131	86
115	heysushii	85
115	fluddd	85
117	EveryonesUncle	84
118	Vorlice	81
