rank	username	minecraft:used/minecraft:dark_oak_sign
1	beeperbeeper5	1427
2	Snowflowe	917
3	500am	906
4	Merv__	690
5	Soplight	465
6	Fullut	446
7	pintsizedrogue	428
8	Hyp3rion_	357
9	TheSecondLord	295
10	Quincannon	276
11	CattSoup	267
12	thescout7	262
13	Blackberry1310	257
14	Ssor69	249
15	ImpavidArcher	237
16	jnp_gaming	226
17	Maenara	223
17	HellsSponge	223
19	Jiminie	221
20	rarrq	216
21	Smashic	212
22	Werbe	203
23	Spacewardharpy7	201
24	TheShyPig	192
25	lordpipe	187
26	eitanzaki	186
26	Sky_light_KING	186
28	Eraxa	181
29	6king6colt6	156
30	NameGenerat0r	153
31	Hiryu27	149
32	Mahoose	147
33	kekhon	141
33	Freak_Genius	141
35	Lez_	128
36	Lord_Jord	123
37	EcksDofficial	122
38	CalebDHawk	118
39	Steelynan	109
40	TheDankPlatypus	108
41	thewindmillman	107
42	The_slideV3	102
43	joethahobo	101
44	Enderslayerxz3	99
45	burbankbuilder28	98
46	BlankityMcBlank	97
47	Ezekson	94
48	FishyBoy3811	92
48	fluddd	92
50	pappaberg	91
51	titanlax	89
51	EveryonesUncle	89
53	Groovy_MoonBird	87
54	Onennon	86
55	r123moore	85
56	Segotep999	84
57	Di_infiri	81
57	YungMaki	81
59	stahouo	78
60	UCP_TheKingK	77
61	Rumpletaezer	76
61	Kyrum2169	76
61	PlasticOtari	76
64	SingedBread	74
65	xxPipperDipperxx	72
66	ProfessorBee	67
66	Legendosh	67
68	Powowowow	66
69	fr_ser	64
69	Dusk_95	64
71	gcaisawesome	63
72	Awyrlas	61
73	Racengan	58
74	Euclidoris	57
75	Prismyst	56
75	IdeallyGrey	56
77	YungJakobo	55
77	12Magner05	55
77	noam464	55
80	lillips	53
81	Nicky_H225	52
81	Skippeh	52
83	teslawolf38	50
84	Leyna3	49
85	LotusProject	48
85	Akoot_	48
87	Tjhodskins19	47
88	SuperPooch06	46
88	Barlycorn	46
90	YoshikageBites	45
91	Paintz	44
91	Dreamdbr14	44
93	CliffEmAll	42
93	groofles	42
93	Blaiku	42
96	ROY4LE	40
96	Rebytre	40
98	sp00ky_ghost977	39
99	__tomato	38
100	Jovaphobic	37
100	LeauVox4921	37
100	Avrelion	37
100	Winklepicker279	37
100	Jackattack53	37
100	Zythose	37
100	Mattesco	37
100	Blu3beast	37
108	MSK__	36
108	oxfordschool	36
110	SaucyDark	35
110	DarlaMeow	35
110	Smoke____	35
113	Felenov	34
114	Karbl	33
115	Noah_Bez	32
116	2Stout	31
116	Inbefour	31
118	m_be9	30
118	dartwaffle	30
118	audiocracked	30
118	tsitrawhy	30
118	Vellu21	30
123	NomadicRobin_	29
123	Hermanni__	29
125	Huwulling	28
125	KingMatthew506	28
127	RebelAndroid	26
127	NieToksikpl	26
127	set67	26
127	Chromary	26
127	Toriankel	26
132	PegLegPete93	25
132	anbbang	25
132	EcksD	25
135	seramalen	24
136	Kakolbus	23
136	PortlyPete69	23
138	BobDeBouwer1337	22
138	SammiWolfGirl	22
140	claivin	21
141	ShedJr_	20
141	Vizzoid	20
141	MyNameIsJobo	20
141	RobotMinion101	20
141	dezxalo	20
141	Nicky19	20
147	dudcreeper	19
147	emrekn	19
147	parodypatient	19
147	Shogunite	19
147	SkateboardR6	19
147	ZoomieZoomie	19
153	Bandito_Roamer	18
153	Ardennes	18
153	SteveCraftBlocks	18
153	Touched_Bread	18
153	benediktine1	18
153	Deathkob	18
153	_TCARREIRA_	18
153	Sheldor097	18
161	Frozil20	17
161	heckface	17
161	Kkanot	17
161	XboxPanda	17
161	censorsheep	17
161	KG1999	17
161	h2p_emrld	17
168	Ailmast	16
168	prizm_	16
168	wezzzi	16
168	Hisiste	16
168	brofrickcheaters	16
173	Rich_Kat	15
173	eviltunix	15
173	CruncyIsTaken	15
173	Moofyman	15
173	Spenduh	15
173	TrollerYT	15
179	PigDab	14
179	_Bguette_	14
179	TechnoNinja64	14
179	CrazyPotater	14
183	ergoalias	13
183	Myszoaz	13
183	bloodbiter	13
183	_3Stump_	13
187	_stets	12
187	Incinere	12
187	SyntheticSurgeon	12
187	Comma__	12
187	MattieHD	12
187	TheDiamondCG	12
187	paranoid_plant	12
187	CranialBlowout	12
187	NoChumpChange	12
187	Lord_Doob	12
187	Nicserso	12
198	I_Am_Mushkin	11
198	Hpdinosaur	11
198	Khelvoryk	11
198	Scathra	11
198	Stiar	11
198	KeruNatsema	11
198	Jimi7hits	11
198	Kowcio_	11
198	Nekomin0	11
198	jcool7	11
198	Sral7	11
209	Mr_Byzantine	10
209	Killercatty78	10
209	gabriels543	10
209	selectrix	10
209	Kynigito	10
209	AlphaWolfPlaysMC	10
209	ayamefag	10
209	WYFYoyo	10
217	LittleBug562	9
217	_Razar	9
217	T045RTY	9
217	Zlatovlas	9
217	peach0s	9
217	tramizu	9
217	orxngejuice	9
217	Purplehere	9
217	AnnieBathory	9
217	theofiel	9
217	yulgur1	9
217	chipklip	9
217	Nagasaki_Riku	9
217	obzii	9
217	2blox	9
232	Swexti	8
232	Shadoko_	8
232	jushykins	8
232	mwrty	8
232	Skylord_Luke	8
232	_Cloverbelle_	8
232	RodSerlingCringe	8
232	fffMike	8
232	Kubeusz2010	8
232	Quotary	8
232	The_SlideV5	8
232	trexgb	8
232	JayToe	8
245	bigstankyy	7
245	H72l9w	7
245	Historical_Sand	7
245	Auseawesome	7
245	ApophisNova	7
245	Joestra	7
245	MyNameIsDakar	7
245	Zetsey	7
245	lcvezra	7
245	TheGameArchitect	7
245	MyNamaSheff	7
256	PhantomsGhost_	6
256	Sleek_Storm_721	6
256	KarlKaek	6
256	Da_Boss_Rani	6
256	jacxhadow	6
256	AngalexikCZ	6
256	SellyZ	6
256	mimbo1211	6
256	Katthaj	6
256	MustaLoordi	6
256	Groundler	6
256	Matorz	6
268	Astronicky	5
268	Jalvajar	5
268	CompAir	5
268	CoffeeNoir	5
268	InfernalMound	5
268	Notta	5
268	aluminumhelmet	5
268	jiggywraps	5
268	zorin123	5
268	_HoneySlime_	5
268	shyshyannne	5
268	redikul	5
268	Inchef	5
268	Covalents	5
268	fallingemma	5
268	Karetoko	5
268	Ecplosive	5
268	Avermu	5
268	BronkerBrum	5
268	_Karmaa	5
268	carpet4_69	5
289	RosaDoesMC	4
289	Menthas	4
289	NUK3	4
289	JohnnyFyes	4
289	ewsophie	4
289	TAKrules	4
289	Atroxes	4
289	Crowman1	4
289	M_Patata	4
289	Doom_melon	4
289	AJplaysMC_	4
289	Nyxiom_	4
