rank	username	minecraft:used/minecraft:honeycomb
1	beeperbeeper5	1185
2	AdmiralSmoke	830
3	Mr_Byzantine	779
4	Steelynan	661
5	Marbz_	583
6	hanaryheatwave	532
7	500am	501
8	Mattesco	406
9	EMC_	236
10	j5ylim	168
11	Lord_Jord	163
12	ScootOfBoot	157
13	Lez_	156
14	PlasticOtari	137
15	Soplight	124
16	luseis	109
17	TheSecondLord	106
18	CoffeeNoir	86
19	pintsizedrogue	78
19	joethahobo	78
21	12Magner05	64
22	Merv__	62
23	thewindmillman	56
24	Enderxz3	47
25	ItsGrayWolf	40
26	Nicserso	33
27	Apollo_993	31
28	jessewegottacook	30
29	Groovy_MoonBird	22
29	pixelviolin	22
31	Jimb0nat0r	21
32	_Huge_Male_	20
33	SvenskaHugo	12
34	MineMaster0012	8
35	Kowcio_	7
36	Mahoose	6
36	FreakGenius	6
38	ITDV	5
38	lordpipe	5
40	Touched_Bread	4
40	SpacesickPrism	4
42	MinttyFressh	3
43	noam464	2
43	Hyp3rion_	2
43	JETrotter	2
43	oscminus	2
47	k_ce	1
47	ECstardust	1
47	nattybears	1
47	SteveCraftBlocks	1
47	excelsionprime	1
47	shadowthemonkey	1
47	Jackattack53	1
47	Reneedium	1
47	HolyVenom	1
47	EveryonesUncle	1
47	Manaateee	1
47	NameGenerat0r	1
47	Spacewardharpy7	1
47	Eraxa	1
47	YungMaki	1
47	EcksD	1
