rank	username	minecraft:used/minecraft:polished_andesite_stairs
1	beeperbeeper5	2360
2	Inchef	2273
3	VentiHilton	2176
4	PlasticOtari	2100
5	Fuad_R	1862
6	Frozil20	1626
7	El_Jalapeno	1402
8	500am	1297
9	joethahobo	1272
10	Ezekson	1229
11	Shogunite	1209
12	EveryonesUncle	1073
13	ATrojansLegend	781
14	DemTechAlpha	712
15	Xclax101	653
16	Lord_Jord	642
17	the_fireminer	639
18	lcvezra	582
19	Spacewardharpy7	581
20	burbankbuilder28	572
21	Cowison	561
22	Smoke____	540
23	rarrq	501
24	mawileite	493
25	thewindmillman	470
26	RoofTyler	421
27	weabis	414
28	himak1	375
29	pixelviolin	366
30	layabout100	329
31	noam464	287
32	eitanzaki	273
33	ROY4LE	263
34	m_be9	249
35	CalebDHawk	243
36	Maenara	234
37	Mahoose	215
38	AlphaWolfPlaysMC	209
39	Sleek_Storm_721	203
40	luseis	201
41	jimintyy	200
42	TheShyPig	197
42	Quotary	197
44	Mattesco	195
45	Legendosh	194
46	DarkS0L	191
47	MattieHD	189
48	kekhon	185
49	Fuhrer_Teemo	176
50	SquadMonster	173
51	Skippeh	172
52	Arceus1975	153
53	calamariclam_I	147
54	RoskobiOne	146
55	Mr_Byzantine	144
55	sp00ky_ghost977	144
57	Motsaro	142
58	Kowcio_	137
59	eviltunix	134
60	The_slideV3	128
61	seramalen	127
62	Huwulling	122
63	Ardennes	119
64	Jamstroxian	118
65	CheckOutMyPVault	116
66	TheSecondLord	112
67	xxPipperDipperxx	111
68	diamondgolem35	109
69	Gooberkid223	103
70	Jakobo1337	97
71	platinumzero	94
72	cog	90
73	Onennon	81
74	Lukeee33	80
75	Merv__	78
76	Megarboh	75
77	_Dri_	74
78	Chaotic1s	73
79	Steelynan	72
80	07shiny	71
81	Groovy_MoonBird	69
82	CharlieButt	66
82	impossibleteapot	66
82	handsome_strong	66
85	Lez_	64
86	Historical_Sand	63
87	Tommhh	62
87	4774	62
89	brycepants	61
89	ReflexCode	61
89	jnp_gaming	61
92	SteveCraftBlocks	58
92	_Karmaa	58
94	Meatlaugh	57
95	_Boipl_	56
95	EcksD	56
97	ooga47	55
98	pintsizedrogue	53
98	LetsDoItLive	53
100	Otto_chan	52
101	Soap_Bender	51
102	lordpipe	50
103	TheWildMateo	47
104	Jackattack53	44
104	Deathkob	44
106	Esme_1	42
106	XboxPanda	42
106	Princesse_Louise	42
109	yulgur1	40
109	Warlord324	40
111	AlazelTheReal	39
112	Eraza	38
112	MyNameIsJobo	38
112	dedgt	38
115	SyK7	37
115	valkam13	37
117	Ajax6	36
118	Comma__	35
119	Alteriity	34
120	bitsplease	33
121	youhjjhhhjj	32
122	UncreativeArtist	31
123	H0UNDFRMH3LL	30
123	dendydoom	30
123	Matorz	30
126	Ailmast	28
126	ItsAki_	28
128	PegLegPete93	27
128	olliebollie48	27
128	StinkyDiplomat	27
128	PortlyPete69	27
132	Soplight	26
133	6king6colt6	24
133	NarwhalTaco	24
135	titanlax	23
135	SexcMf	23
135	Eraxa	23
138	ryan521	22
139	TheThomas69	21
139	fkndweeb	21
141	MyNameIsDakar	20
141	TechnoNinja64	20
143	kyouma777	19
144	PazinGaming	17
144	Smashic	17
144	Inbefour	17
147	ThiccExotic	16
147	NotMeanttoChange	16
147	MakeHistory157	16
150	Winklepicker279	14
150	alderban107	14
152	Blackberry1310	13
152	Cryptacity	13
152	SuperPooch06	13
152	Felenov	13
152	xolstoi	13
157	teslawolf38	12
158	Akoot_	11
158	Enderxz3	11
160	Jeteight	10
161	Myszoaz	9
161	MineMaster0012	9
163	soundad	8
163	Cartoonmaniac	8
163	SUSUGAM	8
163	Snowflowe	8
163	Soul_Atreus	8
168	ganyuganyu	7
168	bearlystraight	7
168	Racengan	7
171	Dreamdbr14	6
172	IWorkAtIkea	5
172	hanaryheatwave	5
172	Hyp3rion_	5
172	Hisiste	5
176	Drewen24	4
176	FreakGenius	4
176	xX_Stalin69_Xx	4
176	ConnorDanky_	4
180	Incinere	3
180	_Dean_123	3
180	Awyrlas	3
180	Mariopreeet	3
180	NoxxxxiS	3
180	PigDab	3
180	LexMakesHistory	3
180	Lutres_Torane	3
180	HellsSponge	3
180	Groundler	3
190	dawerty	2
190	MrExplorer	2
190	leaf26	2
190	LeauVox4921	2
190	Di_infiri	2
190	Zythose	2
190	Truckoss	2
190	fluddd	2
190	MovingFish7	2
190	Luigipunch989	2
190	jcool7	2
190	KingMatthew506	2
190	Nicserso	2
190	The_SlideV5	2
190	Zoeyfortnite	2
205	seanitoo	1
205	_Huge_Male_	1
205	q_wq	1
205	Houstonion	1
205	ImpavidArcher	1
205	Prodiginus	1
205	lorpus	1
205	The11thDoctor	1
205	HyperCave	1
205	binman420	1
205	XxCookiequeenxX	1
205	NameGenerat0r	1
205	claivin	1
205	C0oOK13M0N5T3R	1
