rank	username	minecraft:used/minecraft:light_blue_concrete
1	Enderxz3	4017
2	lordpipe	3398
3	RoboTramp7865	2123
4	beeperbeeper5	2056
5	TheSecondLord	1684
6	500am	1547
7	Merv__	1501
8	Groovy_MoonBird	1467
9	Frozil20	889
10	pintsizedrogue	670
11	Onennon	645
12	lcvezra	625
13	Spacewardharpy7	517
14	Hoid_the_Roamer	516
15	Legendosh	492
16	ssleepless	457
17	Kowcio_	326
18	noam464	319
19	EMC_	303
20	YungMaki	296
21	NieToksikpl	279
22	Di_infiri	260
23	6king6colt6	221
24	ConnorDanky_	213
25	Blackberry1310	201
26	MakeHistory157	194
27	Akoot_	191
28	fluddd	187
29	thewindmillman	182
30	TheShyPig	181
31	MightyWertu	175
32	Winston_Ingram	169
33	kekhon	145
34	Notta	130
35	ImpavidArcher	123
36	Dusk_95	117
37	Iagoku	94
38	Mahoose	88
39	joethahobo	84
40	AuroraValkyrie	81
41	Nicserso	80
42	Maenara	74
43	SammiWolfGirl	72
44	diamondgolem35	67
44	fkGrim	67
46	eitanzaki	58
47	Rumpletaezer	51
48	TheBiggestFeller	48
49	Deathkob	34
50	Steelynan	28
51	LexMakesHistory	25
51	Smoke____	25
53	PlasticOtari	23
54	Ezekson	22
55	Soplight	20
56	ColeSnyder	18
57	WyngGoy	16
58	jnp_gaming	15
58	TechnoNinja64	15
60	HellsSponge	14
61	Blaiku	13
62	ROY4LE	9
62	Smussa	9
62	xzvu	9
65	RobotMinion101	8
65	BlankityMcBlank	8
67	Fullut	5
67	Rebytre	5
69	MinttyFressh	4
69	Scathra	4
69	LeauVox4921	4
69	Skylord_Luke	4
69	_Bguette_	4
69	Groundler	4
69	sp00ky_ghost977	4
76	WarHammer3	3
76	mwrty	3
76	aidanwest	3
76	Eraxa	3
80	Sabby65	2
80	youhjjhhhjj	2
80	Hiimdeath	2
80	Goldiethebear03	2
84	PhantomsGhost_	1
84	ShedJr_	1
84	xxPipperDipperxx	1
84	gcaisawesome	1
84	Jimi7hits	1
84	wwwwinnebagoooo	1
84	gusstationwerker	1
