rank	username	minecraft:used/minecraft:podzol
1	mihimihimihi	4322
2	thewindmillman	3249
3	surfinggiraffejp	2959
4	500am	2686
5	ApophisNova	2225
5	MyNamaSheff	2225
7	MyNameIsJobo	2179
8	Enderxz3	1578
9	EMC_	1058
10	Onennon	908
11	Eraxa	746
12	lordpipe	737
13	m_be9	704
14	FreakGenius	611
15	Kowcio_	579
16	Chromary	518
17	Ezekson	517
18	Werbe	516
19	PlasticOtari	474
20	TheShyPig	448
21	fragrantmonke444	446
22	Yamdalorian	423
23	Manaateee	393
24	El_Jalapeno	361
25	pintsizedrogue	345
26	beeperbeeper5	324
27	Lez_	316
28	Merv__	313
29	__Fanda__	295
30	Cowison	261
31	PazinGaming	251
32	Di_infiri	224
33	luseis	214
34	Blackberry1310	201
35	Mr_Byzantine	187
36	Saucepeh	184
37	Mattesco	160
38	burbankbuilder28	158
39	diggydog67	149
40	HellsSponge	141
41	SammiWolfGirl	138
42	TheWickedBird	136
43	Hahaa_0	133
44	MAns_44	130
45	stellarjay	120
46	Soplight	113
47	NameGenerat0r	112
48	Xclax101	106
49	XxCookiequeenxX	97
50	KarlKaek	95
51	Legendosh	94
52	SpacesickPrism	93
53	Shogunite	88
54	Groundler	85
55	Bumpy419	77
55	Elastiq	77
57	HesDemonPants	73
58	BlancoFlaco	72
58	CornOnTheCobalt	72
60	Zythose	70
61	ProfessorBee	65
62	Shiirazu	64
63	Jackattack53	62
64	Dakar_	58
65	Fullut	57
65	fkGrim	57
65	Druid95	57
68	crashomon	56
68	skitzxo	56
70	SquadMonster	53
71	Frozil20	52
71	Cryptacity	52
73	wezzzi	46
74	miramyu	42
75	SyntheticSurgeon	40
75	noam464	40
77	TachibanaAkira	39
77	groofles	39
77	IamCL4SSY	39
80	RobotMinion101	38
81	ImpavidArcher	37
82	kekhon	34
82	Arceus1975	34
82	Maenara	34
82	The_slideV3	34
86	Inchef	33
86	MovingFish7	33
88	Racengan	32
88	TechnoNinja64	32
90	k_ce	31
91	Bandito_Roamer	28
92	obzii	26
93	EngagedGrub41	25
94	CoffeeNoir	24
95	Mahoose	22
95	PegLegPete93	22
95	yheece	22
98	Steelynan	21
99	Reneedium	20
99	DAD_1996	20
101	ShedJr_	19
101	Wowful	19
103	Secret_Canary	18
103	Kakolbus	18
105	pixelviolin	17
106	Deodorante	15
107	H0UNDFRMH3LL	14
108	MattieHD	13
108	excelsionprime	13
110	Hoid_the_Roamer	12
110	_Karmaa	12
112	ECstardust	11
113	bloodbiter	10
113	Pelbo	10
113	ibarker21	10
113	Akoot_	10
113	DarlaMeow	10
113	ConnorDanky_	10
119	Historical_Sand	9
119	Deathkob	9
119	AspenLightVT	9
122	Spacewardharpy7	8
122	Luigipunch989	8
122	The_SlideV5	8
125	AnnieBathory	6
126	gilesmcriles	5
126	ROY4LE	5
126	jcool7	5
126	Skippeh	5
130	12Magner05	4
130	Stiar	4
130	Lutres_	4
130	CalebDHawk	4
130	Sheldor097	4
135	Rumpletaezer	3
135	corpsecity	3
135	Nyxiom_	3
135	NomadicRobin_	3
135	EveryonesUncle	3
135	YungMaki	3
135	Segotep999	3
135	Jimb0nat0r	3
143	chrolus	2
143	TooManyDuck	2
143	eitanzaki	2
143	Huwulling	2
143	joethahobo	2
143	Euclidoris	2
143	Papudron	2
143	titanlax	2
143	Comma__	2
143	RebytreGT	2
143	oscminus	2
143	fw3xy74	2
143	EdGalbraith	2
143	DemTechAlpha	2
143	ItsDeltaMC	2
143	annebolyn	2
159	SaltineDream	1
159	Tommhh	1
159	Iagoku	1
159	DinoDoctor_	1
159	Hpdinosaur	1
159	MoistMicrowave	1
159	Da_Boss_Rani	1
159	rarrq	1
159	Valoth	1
159	xxPipperDipperxx	1
159	hanaryheatwave	1
159	AlexxO_o	1
159	CarryLine	1
159	zToasty69z	1
159	claivin	1
159	Blu3beast	1
159	Cavetorch	1
159	Blaiku	1
159	Typadopoulos	1
159	Mistruth	1
159	WyngGoy	1
159	Burge_r	1
159	07shiny	1
159	starbits140	1
159	brofrickcheaters	1
159	CattSoup	1
159	jnp_gaming	1
159	2blox_	1
