rank	username	minecraft:used/minecraft:acacia_fence_gate
1	beeperbeeper5	135
2	Sral7	92
3	HellsSponge	77
4	ApophisNova	69
4	MyNamaSheff	69
6	Smoke____	64
7	Di_infiri	56
8	ImpavidArcher	34
9	500am	27
10	Bandito_Roamer	21
11	Mowelan	20
12	noam464	17
12	mariominejedi	17
14	Enderslayerxz3	15
15	xXTheWolfmanXx	14
16	dopplexd	11
16	ItsAki_	11
16	Steelynan	11
19	claivin	10
20	youhjjhhhjj	9
20	victorLIE	9
20	SpookyDraggin	9
20	Spacewardharpy7	9
20	mountaingirl311	9
25	Jackattack53	7
25	Kynigito	7
25	ProfessorDiaper	7
28	loveseeker	6
29	peach0s	5
29	2Stout	5
29	Hoid_the_Roamer	5
29	Onennon	5
29	561cool	5
34	Meatlaugh	4
34	_Karmaa	4
34	IAmTheWalrus910	4
34	mawileite	4
34	Lowjinx	4
34	YoshikageBites	4
34	EcksDofficial	4
41	Ilinca_Io	3
41	Mahoose	3
41	Snowflowe	3
41	FreddyFart	3
41	chipklip	3
41	DennyKai	3
41	tartanboy	3
48	pintsizedrogue	2
48	BakersBanchOf	2
48	joethahobo	2
48	firesgal3116	2
48	Moofyman	2
48	jewbacaman	2
48	Lord_Jord	2
48	csendeslol	2
48	starbits140	2
48	__tomato	2
48	stellarjay	2
48	Drawgirll	2
48	oxfordschool	2
48	smogfrog	2
48	RoboTramp7865	2
63	KarlKaek	1
63	ThePoliteG	1
63	set67	1
63	SellyZ	1
63	xxPipperDipperxx	1
63	MustardDrinker	1
63	Werbe	1
63	TheShyPig	1
63	Kim_Jong_eel	1
63	SwooshBoi	1
63	_beep_boop	1
63	Ze_BaronKrigler	1
63	YungMaki	1
63	Kyrum2169	1
63	underscore_2	1
63	Seindi	1
63	TheALV	1
