rank	username	minecraft:used/minecraft:stone_bricks
265	Lord_Zacler	1218
266	MovingFish7	1206
267	NormanFetus	1196
268	Masssonnn	1174
268	pk1297	1174
270	Menthas	1159
271	mariominejedi	1134
272	Jordan_R	1119
273	ewsophie	1109
274	1442	1108
275	egglapras	1098
276	FlashMigma	1097
277	THExMuffinx	1094
278	Kferno	1088
279	BodaciousCake	1082
280	SellyZ	1063
281	JEWISHBadenBeele	1057
282	LilyNova	1028
283	slkiey	1025
284	madderfall	1024
285	CrookedKaptain	1010
286	epiksk8erduck	1003
287	Soffbord	1000
288	audiocracked	985
289	_Boipl_	978
290	Motsaro	971
291	Crowvens	969
292	The11thDoctor	965
293	theonlymagikarp	963
294	Russiancat1	961
295	LetsDoItLive	958
296	_naturell	948
297	ImpavidArcher	939
298	Myszoaz	908
299	Nargotah	891
300	ProfessorBee	888
