rank	username	minecraft:used/minecraft:black_concrete_powder
1	Hyp3rion_	69255
2	beeperbeeper5	23372
3	noam464	20334
4	joethahobo	15044
5	YungMaki	14456
6	PigDab	12984
7	mihimihimihi	12798
8	EveryonesUncle	9690
9	Werbe	9194
10	teslawolf38	8633
11	lillips	8176
12	EcksD	7193
13	12Magner05	6825
14	Di_infiri	5792
15	LordSpeed37	5017
16	Iamthejo	4937
17	thescout7	4902
18	thewindmillman	4642
19	TheSecondLord	4448
20	jnp_gaming	4401
21	Mattesco	4118
22	Mahoose	3932
23	The_SlideV5	3929
24	lordpipe	2475
25	AdmiralSmoke	2349
26	TheBiggestFeller	2118
27	_Karmaa	1939
28	Manaateee	1913
29	Tolhart	1714
30	Rumpletaezer	1664
31	ConnorDanky_	1644
32	emrekn	1492
33	pixelviolin	1488
34	Spacewardharpy7	1351
35	xxPipperDipperxx	1337
36	SSytex_X	1161
37	TheShyPig	1154
38	Onennon	1093
39	Swexti	1048
40	r123moore	1022
41	Trixididntdie	1014
42	MilleGrug	1004
43	SkateboardR6	961
44	1442	956
45	MineMaster0012	944
46	Blaiku	858
47	NameGenerat0r	832
48	Powowowow	829
49	HellsSponge	812
50	k_ce	785
51	Nicserso	770
52	Eraxa	724
53	iSammael	706
54	Deathkob	698
55	Blackberry1310	673
56	jessewegottacook	657
57	Frozil20	640
58	TheEnderMan548	558
59	epiksk8erduck	545
60	ROY4LE	516
61	ogoa	514
62	Franco093	512
62	Dan_Scha	512
64	diamondgolem35	509
65	h2p_emrld	501
66	Kamflame10	456
67	ooga47	455
68	Merv__	444
69	CollinMH06	422
70	ssleepless	413
71	kekhon	411
72	Ssor69	408
72	burbankbuilder28	408
74	Inchef	393
75	Iagoku	386
76	I_Am_Mushkin	384
76	NieToksikpl	384
76	Winklepicker279	384
79	seramalen	365
80	500am	359
81	titanlax	342
82	audiocracked	324
83	himak1	320
83	LexMakesHistory	320
85	oscminus	292
85	claivin	292
87	Tobinator_007	282
88	Elastiq	281
89	Hiryu27	259
90	m_be9	256
91	SvenskaHugo	236
92	Fullut	232
93	The_slideV3	227
94	PlasticOtari	219
95	anbbang	216
96	Akoot_	212
97	Ze_BaronKrigler	200
98	fluddd	198
99	bearlystraight	197
100	Arceus1975	193
101	Covalents	170
101	AJplaysMC_	170
103	Tyrannosplart	164
104	WyngGoy	163
105	Segotep999	155
106	pintsizedrogue	154
106	Snowflowe	154
108	Lez_	150
109	Leyna3	145
110	M_Patata	139
110	MasterNueve	139
112	CoffeeNoir	137
113	BlancoFlaco	133
114	Jackattack53	130
115	Hoid_the_Roamer	128
115	TeenMomTom	128
115	sp00ky_ghost977	128
118	PlzNoBM	118
119	Incinere	116
120	rarrq	114
121	eitanzaki	113
122	LeonelSalamanca	112
122	FreakGenius	112
122	starbits140	112
122	Soplight	112
126	luseis	99
127	Motsaro	98
128	El_Jalapeno	85
129	TheDankPlatypus	81
130	Sral7	80
131	Elprone266	77
132	RoskobiOne	68
133	bigstankyy	65
133	MattieHD	65
133	Kynigito	65
136	Rich_Kat	64
136	ibarker21	64
136	AssFullaCum	64
136	stellarjay	64
136	Winston_Ingram	64
141	Napoleonpancake	56
141	EMC_	56
141	_Bguette_	56
141	SingedBread	56
145	AnnieBathory	55
146	RedcatVII	52
147	SuperPooch06	49
148	PortlyPete69	46
149	Jokerman369	43
150	Kowcio_	41
151	SyK7	40
151	Xalithia	40
151	ReflexCode	40
154	Truckoss	39
155	ItsAki_	37
156	chipklip	32
156	SmashingPump	32
156	Smashic	32
156	Kim_Jong_eel	32
160	Jimb0nat0r	31
161	Steelynan	30
162	valkam13	26
163	BobDeBouwer1337	25
163	xolstoi	25
165	NatalieTW	24
166	lorpus	23
167	ECstardust	20
168	_Huge_Male_	18
169	Rebytre	17
170	corvidpartyfor6	16
170	Enderxz3	16
172	ShedJr_	14
173	fr_ser	12
174	Alteriity	9
174	lcvezra	9
176	jimintyy	8
176	JayToe	8
178	Racengan	6
179	The11thDoctor	4
180	Absova	2
180	Da_Boss_Rani	2
180	cedric72	2
180	ese_wn_po	2
180	Shogunite	2
180	Skippeh	2
180	TechnoNinja64	2
187	xXTheWolfmanXx	1
187	Huwulling	1
187	Crowman1	1
187	Comma__	1
187	gcaisawesome	1
187	Chrisdeadeye	1
187	KartivGal	1
187	GoofyBread	1
187	Nycteus_	1
187	__tomato	1
187	Spenduh	1
187	Njensen7	1
187	Legendosh	1
