rank	username	minecraft:used/minecraft:prismarine_brick_stairs
1	beeperbeeper5	11865
2	SpookyDraggin	745
3	Smoke____	606
4	ImpavidArcher	355
5	joethahobo	320
6	Enderslayerxz3	298
7	Bumpy419	275
8	Merv__	272
9	Hyp3rion_	267
10	Ezekson	263
11	Blaiku	250
12	Barlycorn	198
13	Legendosh	140
14	Vellu21	131
15	HellsSponge	130
15	sebastiensaborio	130
17	TheShyPig	122
17	Vorlice	122
19	Arceus1975	103
20	Frozil12	101
21	CliffEmAll	85
22	Comma__	80
23	diamondgolem35	71
24	Kakolbus	69
25	PortlyPete69	63
26	MattieHD	62
26	stahouo	62
28	lordpipe	55
29	Notta	53
30	Jackattack53	49
31	Maenara	48
32	The_slideV3	46
32	Groundler	46
34	Hiryu27	42
35	Fullut	40
36	_Karmaa	39
36	diggydog67	39
38	Powowowow	37
39	Jiminie	34
40	Incinere	32
41	ooga47	29
42	rarrq	27
43	Paintz	25
44	MightyWertu	22
45	Skippeh	21
46	ZoharGoldMine	19
47	elicobnoah	17
47	YungMaki	17
47	TechnoNinja64	17
50	pintsizedrogue	14
51	noam464	12
52	Hisiste	11
53	Blu3beast	10
54	LetsDoItLive	8
55	Eraxa	7
56	himak1	6
56	Onennon	6
56	lizardfightclub	6
59	shyshyannne	5
60	eitanzaki	4
60	oxfordschool	4
62	LittleBug562	3
62	ShedJr_	3
62	aluminumhelmet	3
65	NotTrixi	2
65	M_Patata	2
65	Di_infiri	2
65	MasterNueve	2
65	alkrie	2
65	SammiWolfGirl	2
71	Mahoose	1
71	TheSecondLord	1
71	TheEnderman548	1
71	UltraZombie	1
