rank	username	minecraft:used/minecraft:waxed_chiseled_copper
1	CLG_Kata	12
1	thewindmillman	12
3	Secret_Canary	8
4	Enderxz3	6
5	pixelviolin	5
5	Spaghettatron	5
7	beeperbeeper5	2
7	00000000-0000-0000-0009-01fe065167f0	2
