rank	username	minecraft:used/minecraft:jungle_log
281	SmashingPump	3
281	Dblikstad	3
281	FirsTimeGamingTV	3
281	jacxhadow	3
281	olliebollie48	3
281	KlausVonStiglitz	3
281	LexMakesHistory	3
281	Druid95	3
281	MakeHistory157	3
281	Jimb0nat0r	3
292	Mowelan	2
292	q_wq	2
292	Lukeee33	2
292	Hpdinosaur	2
292	QuakerOatsGriff	2
292	catandmoose	2
292	DSYisDizzy	2
292	GOOBERGABE04	2
292	nitram49b	2
