rank	username	minecraft:used/minecraft:horn_coral_fan
1	Hyp3rion_	267
2	12Magner05	118
3	pintsizedrogue	80
4	_Dean_123	72
5	Di_infiri	62
6	ImpavidArcher	59
7	Spacewardharpy7	55
8	noam464	51
9	Legendosh	42
10	TheShyPig	40
11	500am	38
12	ApophisNova	37
12	MyNamaSheff	37
14	lordpipe	36
15	thewindmillman	34
16	Mahoose	32
16	Blackberry1310	32
18	SammiWolfGirl	30
19	_Bguette_	29
20	Xalithia	28
21	FreddyFart	23
22	Merv__	22
22	luseis	22
22	Xclax101	22
25	AuroraValkyrie	20
25	Ssor69	20
25	Onennon	20
28	MattieHD	18
28	non089	18
30	SaucyDark	17
31	ConnorDanky_	16
32	Marbz_	14
32	Rebytre	14
34	Fullut	12
34	Rumpletaezer	12
34	Powowowow	12
37	Bandito_Roamer	11
37	TheDankPlatypus	11
37	Jackattack53	11
37	Inbefour	11
37	XxCookiequeenxX	11
37	MilleGrug	11
43	Frozil20	10
43	RoofTyler	10
43	Fuad_R	10
43	Steelynan	10
47	eitanzaki	9
47	r123moore	9
47	Kakolbus	9
47	HellsSponge	9
47	SpacesickPrism	9
47	Sral7	9
47	diggydog67	9
54	titanlax	8
54	TheSecondLord	8
54	YungMaki	8
57	joethahobo	7
57	aec9	7
57	KeruNatsema	7
57	_Karmaa	7
57	NameGenerat0r	7
57	PlasticOtari	7
63	2Stout	6
63	Covalents	6
63	Dusk_95	6
63	KingMatthew506	6
67	Incinere	5
67	kekhon	5
67	xxPipperDipperxx	5
67	burbankbuilder28	5
67	Voxin2K	5
67	PigDab	5
67	Factoroni	5
67	lcvezra	5
75	SmashingPump	4
75	tuckerdoodle	4
75	BodaciousCake	4
75	T045RTY	4
75	bloodbiter	4
75	Maenara	4
75	El_Jalapeno	4
75	HesDemonPants	4
83	jessewegottacook	3
83	xPixelRainx	3
83	emrekn	3
83	benediktine1	3
83	RyuNeko932000	3
83	RobotMinion101	3
83	Smussa	3
83	F_Uhre	3
83	ZA07	3
83	FreakGenius	3
83	Blaiku	3
83	Typadopoulos	3
83	iSammael	3
83	NATE_the_HALO	3
83	Skippeh	3
83	Smoke____	3
99	CoffeeNoir	2
99	beeperbeeper5	2
99	Inchef	2
99	Arceus1975	2
99	audiocracked	2
99	WyngGoy	2
99	stellarjay	2
99	FishisTTV	2
107	abramgray	1
107	Huwulling	1
107	ShedJr_	1
107	Lez_	1
107	IWorkAtIkea	1
107	heckface	1
107	UncreativeArtist	1
107	RIPB0ZO	1
107	Winklepicker279	1
107	legal_tax_evader	1
107	Bumpy419	1
107	_Cloverbelle_	1
107	groofles	1
107	Jiminbub	1
107	StinkyDiplomat	1
107	Blu3beast	1
107	GoofySilly	1
107	IAmTheWalrus910	1
107	LordSpeed37	1
107	RealGroot	1
107	Fizznut909	1
107	Luigipunch989	1
107	EcksD	1
107	TechnoNinja64	1
107	Biites	1
