rank	username	minecraft:used/minecraft:tube_coral
1	Di_infiri	54
2	12Magner05	50
3	_Dean_123	29
4	Merv__	25
5	Hyp3rion_	24
6	beeperbeeper5	18
6	Fullut	18
8	Legendosh	16
9	lordpipe	14
10	ImpavidArcher	13
10	Xalithia	13
12	Blackberry1310	12
12	TheShyPig	12
14	pintsizedrogue	11
14	kekhon	11
16	Quaintster	10
17	MattieHD	9
17	500am	9
17	Kakolbus	9
20	AspenLightVT	8
21	Mahoose	7
22	Lez_	6
22	Steelynan	6
24	AuroraValkyrie	5
24	SaucyDark	5
24	Rumpletaezer	5
24	_Karmaa	5
24	YungMaki	5
24	__tomato	5
24	Jimb0nat0r	5
24	TheWickedBird	5
24	diggydog67	5
33	burbankbuilder28	4
33	Onennon	4
33	GooseWithin	4
33	Druid95	4
33	Kowcio_	4
33	miramyu	4
39	Bandito_Roamer	3
39	Ssor69	3
39	Marbz_	3
39	Hiryu27	3
39	ApophisNova	3
39	RobotMinion101	3
39	XxCookiequeenxX	3
39	luseis	3
39	The_slideV3	3
39	Xclax101	3
39	Ezekson	3
39	Quotary	3
39	MyNamaSheff	3
39	PlasticOtari	3
39	Sral7	3
54	ECstardust	2
54	bigstankyy	2
54	skroobiez	2
54	IWorkAtIkea	2
54	titanlax	2
54	eclipseboi	2
54	Covalents	2
54	TheDankPlatypus	2
54	RebytreGT	2
54	Jiminbub	2
54	Blaiku	2
54	pixelviolin	2
54	_i_ERROR_i_	2
54	h2p_emrld	2
68	Incinere	1
68	CoffeeNoir	1
68	Prismyst	1
68	ShedJr_	1
68	tsohomie	1
68	joethahobo	1
68	emrekn	1
68	Inchef	1
68	MyNameIsJobo	1
68	Jackattack53	1
68	SuperPooch06	1
68	hanaryheatwave	1
68	thewindmillman	1
68	Voxin2K	1
68	F_Uhre	1
68	AlexxO_o	1
68	aec9	1
68	Maenara	1
68	Akoot_	1
68	audiocracked	1
68	EveryonesUncle	1
68	fkGrim	1
68	Manaateee	1
68	HellsSponge	1
68	El_Jalapeno	1
68	Gus2005	1
68	iSammael	1
68	SexcMf	1
68	SpacesickPrism	1
68	Nicserso	1
68	Enderxz3	1
68	Powowowow	1
