rank	username	minecraft:used/minecraft:fire_charge
1	thewindmillman	592
2	Di_infiri	209
3	eitanzaki	160
4	noam464	132
5	YungMaki	118
6	NomadicRobin_	64
6	KG1999	64
8	DScatgirls	24
9	Mahoose	21
10	thescout7	17
11	Spacewardharpy7	16
11	stahouo	16
13	Fullut	14
14	Hyp3rion_	12
15	Frozil12	7
16	CliffEmAll	6
16	Winklepicker279	6
16	diggydog67	6
19	Blaiku	5
19	Luigipunch989	5
21	RebelAndroid	4
21	beeperbeeper5	4
21	Akoot_	4
24	nataliecool	3
24	_Razar	3
24	MakeHistory157	3
24	oxfordschool	3
28	_Virify_	2
28	T045RTY	2
28	Blackberry1310	2
28	eclipseboi	2
28	Master_Kol	2
28	trixterrx	2
28	Rebytre	2
28	ItsAki_	2
28	GlitchMixed	2
28	Nycteus_	2
28	Yahir091	2
28	pixelviolin	2
28	Ezekson	2
28	MeetTheWollo	2
42	Krasnal1337	1
42	Drlzyy	1
42	teslawolf38	1
42	Historical_Sand	1
42	slendersipl	1
42	kekhon	1
42	set67	1
42	UncreativeArtist	1
42	mwrty	1
42	emrekn	1
42	gcaisawesome	1
42	Noah_Bez	1
42	benediktine1	1
42	CharlieButt	1
42	Zythose	1
42	_Boipl_	1
42	wilgot_	1
42	RodSerlingCringe	1
42	Klerick	1
42	lillips	1
42	DarkS0L	1
42	Ze_BaronKrigler	1
42	Kowcio_	1
42	MineMaster0012	1
42	pk1297	1
42	obzii	1
42	Miko_Fullbuster	1
42	RadarHz	1
42	2blox	1
42	EcksDofficial	1
42	trexgb	1
42	FishisTTV	1
