rank	username	minecraft:used/minecraft:raw_copper_block
1	Yamdalorian	180
2	corvidpartyfor6	112
3	NutellaPenguinz	40
4	dartwaffle	37
5	thewindmillman	24
6	Enderxz3	18
7	Legendosh	14
8	500am	12
9	pintsizedrogue	11
9	EMC_	11
11	Mahoose	8
12	Tersea_	7
13	mymayowasgone	6
13	Miroryk	6
15	Mr_Byzantine	4
16	PlasticOtari	3
17	k_ce	2
17	Hyp3rion_	2
17	Samificator	2
17	Kowcio_	2
17	underscore_2	2
17	Jimb0nat0r	2
23	Saltymart	1
23	Arivana	1
23	TheSecondLord	1
23	craaaash	1
23	Silvo614	1
23	AlexxO_o	1
23	ItsDeltaMC	1
