rank	username	minecraft:used/minecraft:oak_wood
1	Marbz_	8871
2	Bumpy419	3740
3	Spacewardharpy7	1201
4	Inbefour	1030
5	Arceus1975	1026
6	rarrq	859
7	Onennon	765
8	Mahoose	658
9	Kowcio_	643
10	Smoke____	638
11	EveryonesUncle	547
12	zOnlyKroks	526
13	Merv__	501
14	Hyp3rion_	478
15	lordpipe	434
16	Crowman1	427
17	PlasticOtari	407
18	Shogunite	392
19	Jackattack53	285
20	Smashic	260
21	Rebytre	221
22	noam464	220
23	ougstur	205
24	CalebDHawk	204
25	CollinMH06	202
26	Werbe	199
27	master9067	177
28	pintsizedrogue	147
29	IWorkAtIkea	145
30	__tomato	129
31	ehunt54	118
32	epiksk8erduck	111
33	joethahobo	107
33	Ezekson	107
35	kekhon	97
36	Legendosh	96
37	EMC_	87
37	Luigipunch989	87
39	oreee	86
40	500am	84
41	PazinGaming	72
41	r123moore	72
43	Kouridragon	71
43	calamariclam_I	71
45	ProbsNotNova	70
46	Alphanzt99	69
46	NomadicRobin_	69
46	ConnorDanky_	69
49	FennYuzuna	65
50	RoofTyler	64
51	owlcrush	63
52	Soplight	60
53	GLLogan2	58
54	eclipseboi	57
55	Jimb0nat0r	55
56	jessewegottacook	45
57	DAD_1996	41
57	MightyWertu	41
59	Cryptacity	40
60	_Huge_Male_	39
61	luseis	38
62	Mythic1130	35
62	Quotary	35
64	M_Patata	33
64	MasterNueve	33
66	FirsTimeGamingTV	30
67	m_be9	26
67	Rainaldus	26
69	SvenskaSara	24
70	TheSecondLord	23
70	DemTechAlpha	23
72	Blaiku	20
73	h2p_emrld	19
74	beeperbeeper5	17
74	SpacesickPrism	17
76	Hysna	16
76	ABUSNA1996	16
76	ApophisNova	16
76	MineMaster0012	16
76	MyNamaSheff	16
81	Historical_Sand	12
81	cheerytomato	12
81	floodjon	12
81	EngagedGrub41	12
85	TheMaster972	10
85	iTurbo	10
85	Maenara	10
85	Akoot_	10
85	JollyDroopy52	10
90	Wolverine4302	9
91	Zythose	8
91	PortlyPete69	8
93	MixerDixer	7
93	T045RTY	7
93	ogoa	7
93	Heisenbberrg	7
93	bieeee	7
98	BilboBaggins23	6
98	thescout7	6
98	xxPipperDipperxx	6
98	MyNameIsJobo	6
98	thewindmillman	6
98	Parcc	6
98	GoofyBread	6
105	chipklip	5
105	Incinere	5
105	Skylord_Luke	5
105	handsome_strong	5
105	NameGenerat0r	5
105	LetsDoItLive	5
105	NinetyNick	5
105	jnp_gaming	5
113	_Razaria	4
113	Blackberry1310	4
113	Felenov	4
116	CharlieButt	3
116	Forcolp	3
116	Romeom175	3
116	LibertyMutual	3
116	DASH_X7	3
116	Groundler	3
116	YungMaki	3
123	Krimys	2
123	KarlKaek	2
123	eitanzaki	2
123	Mimiir345	2
123	DataHawk2	2
123	420BreadLizard	2
123	iSammael	2
123	carbo_bro	2
123	UCP_TheKingK	2
123	Steelynan	2
133	NieToksikpl	1
133	SteveCraftBlocks	1
133	SullyhS	1
133	TheShyPig	1
133	Leyna3	1
133	Lord_Jord	1
133	binman420	1
133	JakobDylanC	1
133	NiveauSubmarine	1
133	Western_1	1
133	OfficerAnvil	1
