rank	username	minecraft:used/minecraft:snowball
1	Di_infiri	1798
2	thewindmillman	1651
3	_Boipl_	1341
4	Ezekson	1214
5	Fullut	1188
6	rarrq	1125
7	kekhon	882
8	oscminus	726
8	claivin	726
10	Nekomin0	718
11	SuperPooch06	688
12	Mahoose	680
13	YungMaki	652
14	thescout7	606
15	El_Jalapeno	580
15	censorsheep	580
17	pintsizedrogue	557
18	PlasticOtari	531
19	beeperbeeper5	526
20	Blu3beast	525
21	xzvu	496
22	luseis	460
23	00000000-0000-0000-0009-01ff0c3e5e4f	447
24	eitanzaki	422
25	_Dean_123	408
26	MuffinManzz	407
27	Segotep999	367
28	6king6colt6	354
29	__tomato	349
30	Hyp3rion_	336
31	TheSecondLord	328
32	Mattesco	325
33	AdmiralSmoke	323
34	NoxxxxiS	315
35	MinttyFressh	306
36	joethahobo	301
36	TechnoNinja64	301
38	scarletwarrior1	291
39	ZeroAbyssTTV	273
40	xolstoi	270
41	lordpipe	263
42	fr_ser	257
43	Huwulling	238
44	teslawolf38	235
44	diamondgolem35	235
46	k_ce	231
46	Skippeh	231
48	Eraxa	230
49	Skylord_Luke	223
50	Spacewardharpy7	218
51	Enigma0251	213
52	Winklepicker279	205
53	Deathkob	204
54	Inchef	201
55	ShedJr_	196
56	Blackberry1310	190
57	MAns_44	189
58	Hisiste	185
59	skrongus	184
60	Blaiku	182
61	SnowyAvi	180
61	Guillemet	180
63	mihimihimihi	178
64	wezzzi	176
65	Arceus1975	174
66	Akoot_	169
67	noam464	168
68	500am	165
68	Leyna3	165
70	satuern	164
71	DinoDoctor_	161
72	bloodbiter	159
72	Slapface522	159
74	Kyrum2169	158
74	SSytex_X	158
74	FelixPSY375	158
77	12Magner05	153
78	Marbz_	147
78	drumine	147
80	_Razaria	145
80	Jackattack53	145
82	Septemb3r	143
83	F_Uhre	140
84	Alphanzt99	139
85	Tyrannosplart	137
86	Luigipunch989	135
87	DeeDeeThonk	134
88	slkiey	132
88	IamCL4SSY	132
90	Kura2218	129
91	Historical_Sand	128
92	NomadicRobin_	127
93	Tiberonus	125
94	pixelviolin	124
95	xxPipperDipperxx	121
96	MirielThePastor	120
97	Dragonfest	115
98	jcool7	114
99	Xclax101	111
100	Kkanot	109
101	CloroxBleach385	107
102	ConnorDanky_	106
103	ImpavidArcher	105
103	MattieHD	105
105	DarlaMeow	103
106	PhantomsGhost_	101
106	M_Patata	101
106	Solar_Power	101
109	CaptainAvenger7	99
109	JESS_THE_RERE	99
109	MasterNueve	99
112	4774	97
113	J4k__	96
114	epiksk8erduck	94
115	TheOuterCore	93
116	IforgotCS_Source	92
117	MOSS000	91
117	Rebytre	91
119	xyct	89
119	Sral7	89
121	Kowcio_	87
122	bra1nbrain	86
123	purpolepickle	85
124	Frozil20	84
124	himak1	84
124	SkateboardR6	84
127	Ze_BaronKrigler	83
128	SteveCraftBlocks	82
129	Onennon	81
130	Kamflame10	79
131	iElijah	78
131	Lord_Jord	78
131	stuy9	78
134	The_Cruncy	77
135	PortlyPete69	76
135	_i_ERROR_i_	76
137	the_russell1611	75
138	ApophisNova	74
138	MyNamaSheff	74
140	xof_on_microwave	73
141	SyntheticSurgeon	71
142	lillips	70
143	_Minnty_	68
144	Rasmanden	67
144	Optiprimus	67
146	Flapjacker687	66
146	TheShyPig	66
146	ThatMan_Dave	66
149	Mr_Byzantine	64
149	MixerDixer	64
149	Miroryk	64
152	Tobinator_007	63
152	MineMaster0012	63
152	Sorins	63
155	Matyyy15	62
156	SyK7	61
156	lunathelemon	61
156	StinkyDiplomat	61
156	EcksD	61
160	T045RTY	60
160	Cartoonmaniac	60
162	Crowvens	58
162	sammidk	58
164	Spenduh	57
164	Umbreon900	57
166	SaucyDark	56
166	Hermanni__	56
166	jnp_gaming	56
169	H0UNDFRMH3LL	55
169	hm947	55
169	Kateesaur	55
172	ratglock	54
173	_Bguette_	53
174	ItsColin11	52
174	DarkS0L	52
174	_TCARREIRA_	52
174	Legendosh	52
178	ewsophie	51
178	fallingemma	51
178	garrykasparow	51
181	Alexanderjac	50
181	ROY4LE	50
181	ciemacigans	50
181	dartwaffle	50
181	Quotary	50
186	_stets	49
186	q_wq	49
186	burbankbuilder28	49
186	ogoa	49
186	Haadrada	49
191	Merv__	48
191	Hpdinosaur	48
191	MrKrabOnCoke	48
191	IKeepDying	48
191	sandmire	48
191	floodjon	48
191	rotten_mango	48
191	Nycteus_	48
191	Deguns123	48
191	QueenOfDirt	48
201	fluddd	47
202	dabloons	45
202	CoffeeNoir	45
202	Secret_Canary	45
205	Natty	44
205	Jimb0nat0r	44
207	420BreadLizard	43
207	rejenita	43
207	_Wannabe_	43
210	lewieinnit	42
210	Creativebuilder2	42
210	Hiryu27	42
213	rats_life	41
213	ColeSnyder	41
213	BreadFruggis	41
213	Moofyman	41
213	1442	41
213	Groundler	41
213	lcvezra	41
220	SKYPEX_	39
220	CalebDHawk	39
222	CLG_Kata	38
222	hollowww	38
222	alderban107	38
222	trexgb	38
226	AlazelTheReal	37
226	Sparky_KT	37
226	lolpoottoot	37
229	TheMaster972	36
229	Ssor69	36
229	lordofthelight95	36
229	Quaintster	36
233	Saucepeh	35
233	Laykon	35
233	Motsaro	35
233	theonlymagikarp	35
237	Kek	34
237	KlausVonStiglitz	34
239	Rexorout	33
240	I_Am_Mushkin	32
240	ThatOneGuy4546	32
240	corvidpartyfor6	32
240	Moham	32
240	Fuad_R	32
240	okzetton	32
246	Xalithia	31
246	Kokeech	31
246	FishyBoy3811	31
246	zToasty69z	31
246	00000000-0000-0000-0009-01f16526f034	31
251	KarlKaek	30
251	mwrty	30
251	DermeinUser	30
251	Zepsi_Zola_	30
251	marumochis	30
251	Racengan	30
251	Njensen7	30
258	Prismyst	29
258	jedi_george	29
258	KeruNatsema	29
258	LexMakesHistory	29
258	2blox_	29
263	Groovy_MoonBird	28
263	SmashingPump	28
263	Tolhart	28
263	Incinere	28
263	CyL0_	28
263	wiqor	28
263	MEMES4_LIFE	28
263	willowcherrytree	28
271	HellsSponge	27
272	ItsAki_	26
272	Werbe	26
272	Enderxz3	26
275	eviltunix	25
275	jewbacaman	25
275	fw3xy74	25
278	Lez_	24
278	Steve897	24
280	Cambo5000	23
280	spellmre	23
280	BigCronkin	23
280	AvaRosey	23
280	Majonezzon	23
280	00000000-0000-0000-0009-01f935b0bed8	23
286	seanitoo	22
286	ItsHydroMC	22
286	gcaisawesome	22
286	CrateOfBoxes	22
286	LordSpeed37	22
286	anbbang	22
292	Gemstuff	21
292	Zlatovlas	21
292	MrExplorer	21
292	Romeom175	21
292	_Mythic____	21
297	Killercatty78	20
297	Kouridragon	20
297	Hail_the_wombat	20
297	Skwizzy_69	20
