rank	username	minecraft:used/minecraft:snow
1	SingedBread	18203
2	diamondgolem35	17606
3	SuperPooch06	14212
4	PlasticOtari	12866
5	EMC_	11564
6	beeperbeeper5	10517
7	Historical_Sand	9370
8	m_be9	7975
9	kekhon	6703
10	SSytex_X	5840
11	Cowison	5809
12	noam464	5330
13	jnp_gaming	3327
14	Drlzyy	3055
15	Mahoose	2698
16	EcksDofficial	2649
17	Blaiku	2314
18	Ezekson	2271
19	sammidk	2225
20	Kkanot	2189
21	Smiguli_	2149
22	Jiminie	1988
23	Blu3beast	1785
24	Eraxa	1733
25	MeetTheWollo	1678
26	claivin	1656
27	Chromary	1649
28	TheSecondLord	1475
29	Sky_light_KING	1107
30	FishyBoy3811	1077
31	TheShyPig	1026
32	pintsizedrogue	902
33	Blackberry1310	884
34	rarrq	862
35	TheOuterCore	782
36	jcool7	675
37	YungMaki	649
38	Smoke____	579
39	thewindmillman	564
40	500am	552
41	SteveCraftBlocks	512
42	ShedJr_	496
43	Di_infiri	465
44	PhantomsGhost_	374
45	scarletwarrior1	361
46	Frozil12	323
47	Soplight	318
48	fluddd	303
49	pixelviolin	292
50	Deathkob	280
50	SkateboardR6	280
52	Groundler	276
53	Freak_Genius	269
54	Quotary	252
55	Segotep999	232
56	EcksD	229
57	MSK__	228
58	00000000-0000-0000-0009-01ff0c3e5e4f	223
59	Akoot_	196
59	YoshikageBites	196
61	DemTechAlpha	180
62	Flapjacker687	170
63	xxPipperDipperxx	168
64	lillips	162
65	ApophisNova	150
65	MyNamaSheff	150
67	Spacewardharpy7	144
67	Cocoamallows	144
69	HellsSponge	123
70	MattieHD	117
71	Vegvisir	114
72	12Magner05	113
72	Dreamdbr14	113
74	CoffeeNoir	106
75	Dusk_95	104
76	speenduhXD	102
76	MakeHistory157	102
78	obzii	97
79	Incinere	95
80	burbankbuilder28	80
81	ImpavidArcher	76
81	Mattesco	76
83	_stets	72
84	RobotMinion101	70
84	Sorins	70
84	FelixPSY375	70
87	DarlaMeow	69
88	set67	64
88	Marbz_	64
88	KlausVonStiglitz	64
91	Enderslayerxz3	62
92	Kubeusz2010	60
93	jimintyy	58
94	NameGenerat0r	56
95	thescout7	55
96	Hermanni__	52
97	Awyrlas	51
98	ProfessorBee	46
99	Arceus1975	42
99	LexMakesHistory	42
101	Hyp3rion_	38
102	gabriels543	37
103	T045RTY	35
104	wwwwinnebagoooo	34
105	gcaisawesome	31
106	Swexti	30
107	TheTrueClipse	29
107	El_Jalapeno	29
109	HyperCave	25
110	MyNameIsJobo	24
111	Alteriity	23
112	Ssor69	22
112	Inchef	22
112	2blox	22
115	ooga47	18
116	joethahobo	17
116	fr0stss	17
116	Rebytre	17
119	Bumpy419	16
119	Nicserso	16
121	bigstankyy	15
121	TechnoNinja64	15
123	Thaumatarge	14
123	lewieinnit	14
123	G1ldor	14
123	SvenskaHugo	14
127	Jackattack53	13
127	chipklip	13
127	trexgb	13
130	H72l9w	12
130	_Dean_123	12
130	oxfordschool	12
133	The_Dark_One_00	11
134	Merv__	10
134	Solar_Power	10
136	fred870d	9
136	WyngGoy	9
136	layabout100	9
136	lcvezra	9
140	eitanzaki	7
140	jushykins	7
140	emrekn	7
140	Paintz	7
140	masskedman	7
145	Bobby808	6
145	orxngejuice	6
145	Skylord_Luke	6
145	ogoa	6
145	PortlyPete69	6
145	Skippeh	6
151	fanofbands101	5
151	TheThomas69	5
151	2Stout	5
151	lordpipe	5
151	kyouma777	5
156	Rocco_Lane	4
156	Luigipunch989	4
156	Sral7	4
159	awesomeoneme	3
159	Fullut	3
159	Winklepicker279	3
159	Avermu	3
159	HolyVenom	3
159	diggydog67	3
165	dabloons	2
165	heckface	2
165	surfinggiraffejp	2
165	ROY4LE	2
165	Werbe	2
165	PigDab	2
165	Shogunite	2
165	kinas45y5	2
173	Natty	1
173	Alphanzt99	1
173	titanlax	1
173	Notta	1
173	_Banjo_1	1
173	Xalithia	1
173	Kakolbus	1
173	Rumpletaezer	1
173	Afinnity	1
173	NomadicRobin_	1
173	EveryonesUncle	1
173	RoBe__	1
173	SammiWolfGirl	1
173	Winston_Ingram	1
