rank	username	minecraft:used/minecraft:gold_ore
1	thewindmillman	1591
2	Tyrannosplart	1523
3	Yamdalorian	1112
4	lordpipe	1022
5	YungMaki	834
6	Ezekson	728
7	TheShyPig	696
8	gcaisawesome	659
9	AssFullaCum	612
10	TheSecondLord	611
11	pintsizedrogue	555
12	Iamthejo	542
13	Kakolbus	534
14	Jackattack53	478
15	beeperbeeper5	466
16	Enderxz3	461
17	RadarHz	375
18	Spacewardharpy7	363
19	Mahoose	362
20	RebelAndroid	330
21	Gus2005	328
22	Rocco_Lane	235
23	SingedBread	234
24	Avocadogerms	213
25	Lutres_	203
26	12Magner05	197
27	diamondgolem35	193
28	500am	191
29	Racengan	183
30	hermmm_	182
31	Skippeh	175
32	Werbe	154
33	Hyp3rion_	129
34	Eczbox	124
34	Eczbek	124
36	EMC_	121
37	rarrq	116
38	Flores991	110
38	Nicserso	110
40	corvidpartyfor6	109
41	Snowflowe	106
42	joethahobo	104
43	pixelviolin	95
44	ApophisNova	81
44	MyNamaSheff	81
46	hanaryheatwave	77
47	luseis	75
47	FreakGenius	75
49	ImpavidArcher	72
50	Merv__	69
50	KartivGal	69
52	Corbsman	67
52	Steelynan	67
54	AltnumberF4	64
55	Yatitay	61
55	KingFaenor	61
55	NomadicRobin_	61
58	SaucyDark	60
59	blackeemperor	55
60	Ssor69	53
60	PlasticOtari	53
62	sp00ky_ghost977	51
62	TheBananaKat	51
64	IamCL4SSY	50
65	Kamflame	49
66	Blackberry1310	48
66	poopybh	48
68	OG_Songsee	47
68	EngagedGrub41	47
70	Kowcio_	44
71	SlayerCrypto	43
72	oscminus	39
73	peachfuzz1267	38
73	I_Am_Mushkin	38
73	Winklepicker279	38
76	TheMaster972	36
77	MSK__	35
77	excelsionprime	35
79	Meepcraft	34
80	SaltineDream	33
80	annebolyn	33
82	Megarboh	32
83	ShedJr_	31
83	kaziroki	31
83	Xclax101	31
83	WYFYoyo	31
87	xzvu	30
88	Jimb0nat0r	29
89	H0UNDFRMH3LL	28
89	MrExplorer	28
89	Z3braYTIL	28
92	eitanzaki	27
93	MattieHD	26
93	Leyna3	26
93	Segotep999	26
93	ediballbearings	26
97	fallingemma	24
97	DanTheBuilderino	24
99	Groovy_MoonBird	23
99	Mr_Byzantine	23
99	Krowuss	23
99	The11thDoctor	23
99	cedric72	23
99	claivin	23
99	WyngGoy	23
106	Killercatty78	22
106	Quaintster	22
108	Hydro___________	21
108	LeauVox4921	21
108	Onennon	21
108	_Karmaa	21
108	jcool7	21
108	EcksD	21
108	vandmanden	21
115	Ryker	20
115	Covalents	20
115	Maenara	20
115	fluddd	20
115	calamariclam_I	20
120	Deu_Stew	19
120	Huwulling	19
122	bigstankyy	18
122	RatatJuice	18
122	RebytreGT	18
122	Warlord324	18
122	SpacesickPrism	18
127	QuiCreans	17
127	hcb238	17
129	TheOuterCore	16
129	TechnoNinja64	16
129	skitzxo	16
132	yaboo88	15
132	masskedman	15
132	BlankityMcBlank	15
132	brofrickcheaters	15
132	PlzNoBM	15
132	Kferno	15
138	Frozil20	14
138	crashomon	14
138	Kouridragon	14
141	Crowman1	13
141	Fullut	13
141	groggregg42	13
141	groofles	13
141	SlinkyPinky	13
146	Travasaur	12
146	PazinGaming	12
146	Myszoaz	12
146	Historical_Sand	12
146	Di_infiri	12
146	Rumpletaezer	12
146	Luminad3	12
146	Blaiku	12
146	Cocoamallows	12
146	KingMatthew506	12
156	EveryonesUncle	11
156	handsome_strong	11
156	DarlaMeow	11
159	MixerDixer	10
159	MOSS000	10
159	M_Patata	10
159	yheece	10
159	SuperPooch06	10
159	Juh1s	10
159	trexgb	10
166	xXTheWolfmanXx	9
166	T045RTY	9
166	ProfessorBee	9
166	r123moore	9
166	fr_ser	9
166	LilyNova	9
166	BumbleBeever	9
166	monky_irl	9
166	Burge_r	9
166	TheSandwhich_	9
176	Hpdinosaur	8
176	SDMNAEK	8
176	benediktine1	8
176	Cyntrical	8
176	Leithz6	8
181	remgrandt	7
181	Myrlewen	7
181	noam464	7
181	True_Clipse	7
181	ProfessorDiaper	7
181	__tomato	7
181	SammiWolfGirl	7
181	ConnorDanky_	7
189	Bandito_Roamer	6
189	emrekn	6
189	ROY4LE	6
189	Hiryu27	6
189	GooseWithin	6
189	IslandManager	6
189	Powowowow	6
196	YinToYin	5
196	301851	5
196	m_be9	5
196	_Nuf	5
196	0nly_sn1per	5
196	Bumpy419	5
196	dartwaffle	5
196	Drewen24	5
196	Rasmanden	5
196	yulgur1	5
196	fkGrim	5
196	jewishnoselong	5
196	miramyu	5
196	MilleGrug	5
196	JayToe	5
211	_Huge_Male_	4
211	powercas_gamer	4
211	MC_Gamer_Geek	4
211	Master_Kol	4
211	Mewar	4
211	ARandomHedge	4
211	John6970	4
211	Purplehere	4
211	_Shadow66_	4
211	AlexxO_o	4
211	Cyber_Stealth05	4
211	HellsSponge	4
211	_k2x	4
211	Hisiste	4
211	33sudo	4
211	StarCookiees_	4
211	Spenduh	4
211	_Yonk_	4
211	Zoeyfortnite	4
211	h2p_emrld	4
231	j4ck811	3
231	Jovaphobic	3
231	heysushii	3
231	SmashingPump	3
231	ssleepless	3
231	Julmish	3
231	titanlax	3
231	bloodbiter	3
231	kekhon	3
231	TheThomas69	3
231	Scattman_	3
231	Skylord_Luke	3
231	Skomo	3
231	the_russell1611	3
231	JESS_THE_RERE	3
231	Manaateee	3
231	ItsDeltaMC	3
