rank	username	minecraft:used/minecraft:pink_glazed_terracotta
1	lordpipe	993
2	thewindmillman	707
3	FreakGenius	296
4	AdmiralSmoke	282
5	Biites	205
6	Jimb0nat0r	176
7	Spacewardharpy7	138
8	beeperbeeper5	78
9	noam464	62
10	Lez_	57
11	pixelviolin	39
12	eitanzaki	36
13	YungMaki	35
14	Werbe	26
15	Inbefour	21
16	PaperCanvas	18
17	Bumpy419	16
17	TheBananaKat	16
17	mobunni	16
20	SaucyDark	12
20	Hyp3rion_	12
22	Merv__	11
22	MakeHistory157	11
24	Steelynan	7
25	Arceus1975	6
26	pintsizedrogue	4
26	StinkyDiplomat	4
28	luseis	3
28	EngagedGrub41	3
30	PlasticOtari	2
31	joethahobo	1
31	Krowuss	1
31	ItsDeltaMC	1
31	Razzgriz	1
31	ConnorDanky_	1
31	MirielThePastor	1
