rank	username	minecraft:used/minecraft:scaffolding
1	joethahobo	54808
2	Smoke____	34154
3	thewindmillman	32945
4	PigDab	29156
5	PlasticOtari	25452
6	lordpipe	25147
7	burbankbuilder28	20683
8	beeperbeeper5	19529
9	Mahoose	18885
10	pintsizedrogue	18497
11	500am	17763
12	rarrq	17544
13	Ezekson	17066
14	Freak_Genius	16128
15	TheShyPig	15421
16	Merv__	14595
17	Blackberry1310	13443
18	Menthas	13108
19	Legendosh	12764
20	HellsSponge	11874
21	Fullut	10310
22	Euclidoris	10193
23	YungMaki	9527
24	m_be9	9334
25	Hyp3rion_	9320
26	Werbe	9215
27	Kakolbus	9161
28	Lord_Jord	8618
29	Spacewardharpy7	8487
30	cedric72	8331
31	kekhon	8238
32	gcaisawesome	7716
33	KarlKaek	7453
34	MyNameIsJobo	6777
35	TheSecondLord	6691
36	ImpavidArcher	6467
37	Soplight	6279
38	Frozil12	6133
39	ooga47	5986
40	Zythose	5810
41	Shogunite	5797
42	xxPipperDipperxx	5777
43	SuperPooch06	5672
44	PhantomsGhost_	5667
45	lillips	5379
46	Onennon	5051
47	Arceus1975	4452
48	Akoot_	4291
49	jacxhadow	4273
50	Miko_Fullbuster	4083
51	Xalithia	3845
52	Tommhh	3743
53	_Dean_123	3647
54	titanlax	3597
55	Dusk_95	3573
56	fkGrim	3536
57	Lutres_Torane	3372
58	Meatlaugh	3364
59	Steelynan	3288
60	TechnoNinja64	3281
61	The_slideV3	3167
62	__tomato	3130
63	Stiar	3096
64	Kowcio_	3047
65	himak1	2964
66	Malorn_Aetherius	2915
67	_Karmaa	2798
68	Luigipunch989	2772
69	lcvezra	2764
70	12Magner05	2746
71	EcksDofficial	2742
72	RodSerlingCringe	2694
73	Xclax101	2647
74	CoffeeNoir	2556
75	VentiHilton	2527
76	_stets	2473
77	DanTheBuilderino	2463
78	Darkgon	2414
79	ShedJr_	2360
80	eiC_	2215
81	Jiminie	2174
82	NotMeanttoChange	2171
83	M_Patata	2141
84	eitanzaki	2096
85	BobDeBouwer1337	2093
86	SkateboardR6	2046
87	Ryker	2044
88	PortlyPete69	2013
89	MightyWertu	2006
90	EcksD	1999
91	Smiguli_	1980
92	stahouo	1950
93	Dedalus36	1936
94	MasterNueve	1932
95	EveryonesUncle	1891
96	SammiWolfGirl	1838
97	Sky_light_KING	1832
98	anbbang	1816
99	Nicky_H225	1807
99	Hisiste	1807
101	_TCARREIRA_	1797
102	BumbleBeever	1787
103	Mr_Byzantine	1774
104	Eraxa	1716
105	Megarboh	1715
106	Enderslayerxz3	1682
107	Groovy_MoonBird	1674
108	heckface	1669
109	LAVA129	1651
110	loveseeker	1640
111	StanceTB	1633
112	claivin	1580
113	Natty	1578
114	6king6colt6	1506
115	DarlaMeow	1477
116	Blu3beast	1473
117	eviltunix	1415
118	Inchef	1395
119	Deathkob	1391
120	2Stout	1368
121	TheTrueClipse	1345
122	The_SlideV5	1344
123	Rumpletaezer	1326
124	Skippeh	1205
125	RebelAndroid	1204
126	diggydog67	1201
127	Cowison	1194
128	TooManyDuck	1193
129	Soap_Bender	1174
130	Inbefour	1173
131	T045RTY	1155
132	bigstankyy	1142
133	sp00ky_ghost977	1119
134	jushykins	1103
135	Quotary	1096
136	Mattesco	1084
137	impossibleteapot	1073
138	kinas45y5	1060
139	Di_infiri	1056
140	AuroraValkyrie	1042
141	Jackattack53	1012
142	whoaluv	1006
143	ProfessorBee	1005
144	NomadicRobin_	1000
145	Ze1ig	989
146	Hermanni__	980
147	IWorkAtIkea	959
148	Airem_Core	953
149	TheThomas69	947
150	SpouHn	935
150	LexMakesHistory	935
152	Smashic	920
152	Candad_	920
154	alderban107	916
155	Deerfoot	912
156	Bandito_Roamer	878
157	Ssor69	870
157	Cryptacity	870
159	The11thDoctor	861
160	Chromary	859
161	dopplexd	857
161	Awyrlas	857
163	Jimi7hits	855
164	stellarjay	843
165	Nicserso	841
166	XxCookiequeenxX	833
167	H72l9w	818
168	Historical_Sand	804
169	Swexti	796
170	Hpdinosaur	794
171	EMC_	779
172	Skylord_Luke	765
173	CalebDHawk	759
174	MissCeleste7	722
175	NotMeowMix	713
176	Nycteus_	706
177	thescout7	704
178	ROY4LE	689
179	Sheldor097	686
180	SexcMf	683
181	Optiprimus	678
182	livingdaydreams	677
183	ReyTheLegend	667
184	teslawolf38	664
185	fw3xywashere	656
186	KingMatthew506	619
187	SteveCraftBlocks	605
188	Covalents	604
189	_Virify_	602
190	RoboTramp7865	584
191	rotten_mango	581
192	jnp_gaming	570
193	pappaberg	565
193	HAIRYCLOUD626	565
195	DemTechAlpha	564
196	Neps1	562
197	Typadopoulos	537
198	wezzzi	536
199	r123moore	535
200	AnnieBathory	531
201	emrekn	530
202	ExtraDumb	519
203	_NieToksikpl_	518
204	Kim_Jong_eel	512
205	Eczbek	499
206	awesomeoneme	497
207	Kyrum2169	478
208	CSG_Haru	473
209	the__Reaper4999	469
210	SaucyDark	462
210	Racengan	462
212	MinttyFressh	456
212	Babushka0430	456
214	UCP_TheKingK	455
215	AuroraSkies	453
216	Notta	451
217	proxivitoid	444
217	oxfordschool	444
219	set67	441
219	ToastedGamingYT	441
221	nataliecool	436
221	2blox	436
223	GLLogan2	425
224	Bumpy419	422
225	RobotMinion101	419
226	mariominejedi	414
227	q_wq	410
228	bloodbiter	409
229	Da_Boss_Rani	408
230	intropass	407
230	Fuhrer_Teemo	407
232	thgrocks	392
233	youhjjhhhjj	389
233	ratglock	389
235	noam464	384
236	Hiryu27	376
237	AngalexikCZ	373
238	slkiey	372
239	Drewen24	369
240	FishyBoy3811	359
240	MilleGrug	359
242	MrExplorer	350
243	MangoTheFish	347
244	pixelviolin	346
245	JayToe	343
246	dongli	341
247	MakeHistory157	339
248	CollinMH06	337
249	Nach0Bear	336
250	Sral7	334
251	Louiis123	330
252	Hoid_the_Roamer	322
252	FelixPSY375	322
254	chipklip	319
255	fr0stss	317
256	FirsTimeGamingTV	315
256	WyngGoy	315
258	ColeSnyder	303
259	ElectricDragon81	299
260	Patwannabegamer	295
261	avalan64	293
262	fluddd	287
263	G1ldor	286
264	DTwenty	284
265	CheifJumbo	280
266	benediktine1	278
267	TheDankPlatypus	274
267	ewpunk	274
269	Kkanot	268
270	Comma__	263
271	Kubeusz2010	262
272	Prodiginus	260
273	Nekomin0	258
274	Cocoamallows	256
275	MAns_44	254
275	UrbanPlanner1978	254
277	Fizznut909	253
278	KliBeast21	252
279	Wowful	249
279	MovingFish7	249
281	SingedBread	247
282	tartanboy	245
283	theofiel	241
284	Thaumatarge	240
285	Ev0luti0nz	239
286	featherflyy	238
287	Groundler	234
287	WYFYoyo	234
289	KeruNatsema	222
289	Blaiku	222
289	xorompole	222
292	CACTUSLAD	219
293	DarkS0L	217
294	mennorovers	213
294	CruncyIsTaken	213
296	07shiny	208
297	Zoeyfortnite	206
298	Segotep999	202
299	Motsaro	201
300	djancak	196
