rank	username	minecraft:used/minecraft:brown_terracotta
1	YungMaki	18156
2	Rumpletaezer	14583
3	thewindmillman	9084
4	Huwulling	5017
5	EveryonesUncle	4948
6	Snowflowe	4763
7	Sral7	3162
8	joethahobo	2282
9	ApophisNova	1572
9	MyNamaSheff	1572
11	Onennon	1558
12	Mattesco	1556
13	Mahoose	1312
14	Kowcio_	1269
15	PazinGaming	1180
16	EMC_	1077
17	ConnorDanky_	1074
18	TheSecondLord	1044
19	xxPipperDipperxx	1024
20	kekhon	950
21	FreakGenius	886
22	Mr_Byzantine	858
23	Werbe	856
24	RebytreGT	790
25	EcksD	768
26	Parcc	747
27	titanlax	675
28	Stiar	583
29	oscminus	559
30	crashomon	555
31	SuperPooch06	502
32	RatatJuice	489
32	beeperbeeper5	489
32	Jimb0nat0r	489
35	emreknugrlu	482
36	Fullut	461
37	pintsizedrogue	410
38	AuroraValkyrie	384
39	Skylord_Luke	377
40	MightyWertu	367
41	hermmm_	364
42	skitzxo	358
43	the__Reaper4999	324
44	groofles	319
45	ZoomieZoomie	304
46	Comma__	256
47	gren_ben	235
47	500am	235
49	Inbefour	228
50	fkGrim	219
51	_Huge_Male_	206
52	bl1ss0	205
53	TooManyDuck	200
54	ougstur	195
55	hanaryheatwave	189
56	theonlymagikarp	170
57	the_russell1611	167
58	The11thDoctor	166
59	AspenLightVT	164
60	Yamdalorian	157
61	lordpipe	137
62	PortlyPete69	135
63	Deerfoot	129
64	fluddd	127
65	CoffeeNoir	119
66	Merv__	117
67	yheece	115
68	Manaateee	111
69	Akoot_	89
70	Hyp3rion_	86
71	StinkyDiplomat	78
72	thescout7	76
73	NomadicRobin_	74
73	jcool7	74
75	Hoid_the_Roamer	71
76	nocturne78	65
77	shineh10	61
77	CattSoup	61
79	KingMatthew506	60
80	royal_2	57
80	ROY4LE	57
80	MilleGrug	57
83	Frozil20	50
83	TheShyPig	50
85	Blaiku	49
86	Kakolbus	47
87	MattieHD	46
88	noam464	41
88	Gus2005	41
90	LexMakesHistory	35
91	Karbl	34
91	DarlaMeow	34
93	imthatpikachu	33
94	Pumpkin_P_Patch	30
95	SammiWolfGirl	28
96	Kamflame	27
97	Lez_	26
98	mariominejedi	25
99	wirelesstree	23
99	That_tech_head	23
101	diggydog67	22
102	Deathkob	21
102	PlasticOtari	21
102	TheWickedBird	21
105	bloodbiter	19
105	m_be9	19
107	Nyxiom_	17
108	SteveCraftBlocks	16
108	Nicserso	16
108	Enderxz3	16
111	PhantomsGhost_	15
111	blackeemperor	15
113	myaccountwasgone	14
114	Zaridey	13
114	The_slideV3	13
114	NameGenerat0r	13
117	ECstardust	12
118	Segotep999	11
119	mwrty	10
120	eitanzaki	9
120	__tomato	9
122	Spacewardharpy7	8
123	_HoneySlime_	7
123	Barlycorn	7
125	Blackberry1310	6
126	Bandito_Roamer	5
126	VDVKmdr_2k04	5
126	Historical_Sand	5
126	MovingFish7	5
130	Notta	4
130	masskedman	4
130	Cache3	4
133	homeofmew	3
133	bmac2718	3
133	legal_tax_evader	3
133	RobotMinion101	3
133	ooga47	3
133	yulgur1	3
133	XxCookiequeenxX	3
133	Shogunite	3
133	pretty_pink_reno	3
133	SexcMf	3
143	livingdaydreams	2
143	rarrq	2
143	Ozixar	2
143	MyNameIsJobo	2
143	natajimi	2
143	Dakar_	2
143	claivin	2
143	Blu3beast	2
143	cog	2
143	Buuck_	2
143	ItsDeltaMC	2
143	pixelviolin	2
143	Soplight	2
143	Weepingbiel	2
143	TechnoNinja64	2
158	k_ce	1
158	_Virify_	1
158	bigstankyy	1
158	SpaceGrenadier	1
158	Saucepeh	1
158	Hydro___________	1
158	Scattman_	1
158	gcaisawesome	1
158	CarltheCuck	1
158	Di_infiri	1
158	Jackattack53	1
158	iHuBlack	1
158	drompje	1
158	F_Uhre	1
158	_Karmaa	1
158	Quincannon	1
158	ReflexCode	1
158	toos1esl1de	1
158	Eraxa	1
158	07shiny	1
158	EngagedGrub41	1
158	Ezekson	1
158	Quotary	1
