rank	username	minecraft:used/minecraft:yellow_shulker_box
1	Hyp3rion_	2612
2	Legendosh	1047
3	Skylord_Luke	909
4	Spacewardharpy7	902
5	Eraxa	734
6	Frozil20	656
7	pintsizedrogue	586
8	TheSecondLord	416
9	MakeHistory157	384
10	beeperbeeper5	382
11	PlasticOtari	368
12	Snowflowe	331
13	Jovaphobic	330
14	RealGroot	322
15	Smoke____	307
16	Kakolbus	302
17	MattieHD	287
18	Fullut	279
19	luseis	263
20	thewindmillman	249
21	Historical_Sand	247
22	Dogcorn69420	239
23	joethahobo	236
24	Inbefour	234
25	MovingFish7	227
26	Lez_	212
27	Mahoose	208
28	Marbz_	205
29	BumbleBeever	193
30	Prodiginus	187
30	Rebytre	187
32	500am	185
33	YungMaki	183
34	Hoid_the_Roamer	182
35	diggydog67	181
36	kekhon	177
37	Blaiku	167
38	Awyrlas	158
39	Huwulling	155
40	12Magner05	151
41	EveryonesUncle	145
41	Fuhrer_Teemo	145
41	Njensen7	145
44	m_be9	141
45	IamCL4SSY	139
46	Steelynan	136
47	Enderxz3	135
48	Werbe	129
49	set67	127
50	Apollo_993	122
50	Jimb0nat0r	122
52	jcool7	117
53	gusstationwerker	116
54	Bumpy419	115
55	MAns_44	114
56	ImpavidArcher	113
56	claivin	113
58	HellsSponge	107
59	censorsheep	106
60	Akoot_	105
61	diamondgolem35	102
61	lillips	102
61	Ezekson	102
64	Soap_Bender	99
65	Ecplosive	97
66	LexMakesHistory	96
67	jnp_gaming	93
68	pixelviolin	92
69	_Virify_	88
70	Jackattack53	86
70	lordpipe	86
72	WyngGoy	85
72	stellarjay	85
74	Myszoaz	83
75	Alteriity	81
76	Yahir091	80
77	Kowcio_	78
78	Nycteus_	75
79	Smashic	72
79	Mattesco	72
79	NameGenerat0r	72
79	anbbang	72
83	eitanzaki	71
83	Hisiste	71
83	ConnorDanky_	71
86	Megarboh	70
87	Groovy_MoonBird	69
87	fade_emerge78823	69
89	fluddd	68
89	EngagedGrub41	68
91	Da_Boss_Rani	67
91	burbankbuilder28	67
91	SammiWolfGirl	67
91	Dreamdbr14	67
95	xzvu	64
96	xxPipperDipperxx	63
97	teslawolf38	62
97	mwrty	62
99	Blackberry1310	61
100	IdeallyGrey	58
101	Auseawesome	57
101	Zaridey	57
101	UCP_TheKingK	57
104	NomadicRobin_	56
104	_TCARREIRA_	56
106	SingedBread	55
106	Quotary	55
108	dabloons	53
109	LeEricc	52
110	MilleGrug	51
110	Sral7	51
112	titanlax	50
112	sp00ky_ghost977	50
114	Chromary	49
114	Voxin2K	49
114	MightyWertu	49
114	tonyth3tiger	49
118	prizm_	48
119	noam464	47
120	PhantomsGhost_	45
120	Iagoku	45
120	Russiancat1	45
123	ShedJr_	44
123	ITDV	44
123	Tyrannosplart	44
123	Groundler	44
127	Soplight	40
128	Eczbek	39
129	Xalithia	38
129	XboxPanda	38
131	_Dri_	37
132	PigDab	36
132	RadarHz	36
134	Di_infiri	35
135	Deathkob	34
136	tuckerdoodle	33
136	eiC_	33
136	AlexxO_o	33
136	KingMatthew506	33
140	Esme_1	32
140	gcaisawesome	32
142	rarrq	31
142	lcvezra	31
144	MixerDixer	30
144	SteveCraftBlocks	30
144	1442	30
144	El_Jalapeno	30
148	CoffeeNoir	29
148	4774	29
148	fffMike	29
151	SvenskaHugo	28
152	TooManyDuck	27
152	pappaberg	27
152	_Bguette_	27
155	Donutt	26
156	Hpdinosaur	25
156	Razzgriz	25
156	Kateesaur	25
159	Maenara	24
160	CadenSteele	23
160	TheShyPig	23
160	iSammael	23
163	SmashingPump	22
163	ThiccExotic	22
163	Inchef	22
163	SellyZ	22
163	groofles	22
168	emrekn	21
168	binman420	21
170	gabriels543	20
170	SuperPooch06	20
170	_Boipl_	20
170	ThatMan_Dave	20
170	AltnumberF4	20
175	EMC_	19
175	Sheldor097	19
175	CattSoup	19
175	vandmanden	19
175	FishisTTV	19
180	AuroraValkyrie	18
180	ProfessorBee	18
180	KartivGal	18
180	FreakGenius	18
180	ThisUserIsStump	18
180	h2p_emrld	18
186	PazinGaming	17
186	Crowman1	17
186	Rich_Kat	17
186	hanaryheatwave	17
186	F_Uhre	17
191	ProbablyNick	16
191	Leyna3	16
191	GoofySilly	16
191	Airem_Core	16
195	ImDisconnected_	15
195	MangoTheFish	15
195	Kouridragon	15
195	Luminad3	15
195	audiocracked	15
195	__tomato	15
201	Lepthymo	14
201	FazeObama69	14
201	Yatitay	14
201	fw3xywashere	14
201	OffWithTheirHead	14
201	EcksD	14
201	2bolx_	14
201	00000000-0000-0000-0009-01ff0c3e5e4f	14
209	r123moore	13
209	RoofTyler	13
209	Warlord324	13
209	Skippeh	13
209	Zoeyfortnite	13
209	JayToe	13
215	I_Am_Mushkin	12
215	TechnoNinja64	12
217	SaucyDark	11
217	TheDankPlatypus	11
217	Sheellky	11
217	wezzzi	11
221	MS_Pryxx	10
221	88Hazza88	10
223	Merv__	9
223	KGTV	9
223	Fuad_R	9
223	Blu3beast	9
223	Xclax101	9
223	MineMaster0012	9
229	SeverianTheLame	8
229	HyperCave	8
229	ese_wn_po	8
229	GlitchyPlate810	8
229	ZeroKraken	8
234	Octatrack	7
234	CyrusIsTired	7
234	thescout7	7
234	BronkerBrum	7
234	Hiryu27	7
234	bearlystraight	7
234	TheOuterCore	7
234	Nicserso	7
242	Houstonion	6
242	IWorkAtIkea	6
242	GingerNeutron	6
242	surfinggiraffejp	6
242	nitram49b	6
242	Arceus1975	6
242	MyNameIsDakar	6
242	Shogunite	6
242	TheTommyGun63	6
242	Ze_BaronKrigler	6
242	Hermanni__	6
242	Powowowow	6
254	KarlKaek	5
254	ExtraDumb	5
254	MOSS000	5
254	jessewegottacook	5
254	Euclidoris	5
254	dawerty	5
254	2Stout	5
254	Touched_Bread	5
254	Winklepicker279	5
254	Smussa	5
254	Typadopoulos	5
254	xolstoi	5
266	MuffinManzz	4
266	shineh10	4
266	Creativebuilder2	4
266	Flores991	4
266	ZaneABrain	4
266	Notta	4
266	SDMNAEK	4
266	SoftSix	4
266	Flapjacker687	4
266	lorpus	4
266	The11thDoctor	4
266	Truckoss	4
266	IAmTheWalrus910	4
266	stavgod	4
266	SpacesickPrism	4
266	alderban107	4
266	VentiHilton	4
266	little_dUki	4
284	Froste131	3
284	hm947	3
284	fr0stss	3
284	jushykins	3
284	ROY4LE	3
284	xambsam	3
284	corpsecity	3
284	p4lp	3
284	FishyBoy3811	3
284	masskedman	3
284	ProfessorDiaper	3
284	Mythic1130	3
284	Jij0	3
284	Iamthejo	3
298	pZygh0st	2
298	jessemgaming	2
298	jimbo61101jr	2
