rank	username	minecraft:used/minecraft:moss_carpet
1	thewindmillman	2868
2	EMC_	2274
3	pintsizedrogue	2221
4	Jimi7hits	1088
5	Enderslayerxz3	639
6	Jiminie	519
7	Marbz_	446
8	SammiWolfGirl	325
9	500am	319
10	Tommhh	201
11	xxPipperDipperxx	153
12	Smoke____	152
13	GlitchyPlate810	143
14	Legendosh	139
15	NomadicRobin_	137
16	Mahoose	117
17	beeperbeeper5	112
18	Kowcio_	90
19	MyNameIsDakar	73
20	WYFYoyo	71
21	SquadMonster	70
22	Nesquiczek	61
23	MineMaster0012	60
24	EtherealEspresso	58
25	_stets	57
25	orxngejuice	57
25	Lord_Doob	57
28	PigDab	56
29	SvenskaHugo	55
30	Rebytre	49
31	noam464	48
32	Inchef	46
32	_Boipl_	46
34	ShedJr_	42
35	TheSecondLord	41
36	Skylord_Luke	39
37	SuperPooch06	38
38	dartwaffle	33
39	cwartzo	31
40	CoffeeNoir	29
41	Ryker	26
42	ImpavidArcher	21
43	Merv__	20
43	Steelynan	20
45	Kekoo	19
46	Blackberry1310	17
47	EveryonesUncle	16
48	Deathkob	15
49	eitanzaki	13
49	gcaisawesome	13
49	Quotary	13
52	neurotic_a	12
52	12Magner05	12
54	Auseawesome	10
55	lordpipe	9
56	MSK__	8
56	benediktine1	8
56	Gamergirl420628	8
56	Arceus1975	8
56	Hyp3rion_	8
56	Nycteus_	8
62	soundad	7
62	Segotep999	7
64	Lord_Zacler	6
65	rachcl	5
66	_NieToksikpl_	4
66	hm947	4
66	Flores991	4
66	Jackattack53	4
66	kyouma777	4
66	YungMaki	4
66	TheALV	4
66	mobunni	4
66	Miko_Fullbuster	4
66	obtusely	4
76	SteveCraftBlocks	3
76	Klerick	3
78	egglapras	2
78	Bucscw24	2
78	Akoot_	2
78	AuroraSkies	2
78	im_very_saad	2
78	Quaintster	2
78	Human_Resource	2
78	PlasticOtari	2
78	coobert42	2
87	AgressiveEggdog	1
87	TAKrules	1
87	Myszoaz	1
87	joethahobo	1
87	MinttyFressh	1
87	ROY4LE	1
87	2Stout	1
87	eli_tschki	1
87	CruncyIsTaken	1
87	fw3xywashere	1
87	Freak_Genius	1
87	Frozil12	1
87	fluddd	1
87	Spacewardharpy7	1
87	CheifJumbo	1
87	pixelviolin	1
87	lcvezra	1
87	jcool7	1
87	kinas45y5	1
87	Fire_beast	1
