rank	username	minecraft:used/minecraft:jungle_pressure_plate
1	Werbe	66
2	_TCARREIRA_	63
3	Njensen7	28
4	jnp_gaming	26
5	rarrq	22
6	KingMatthew506	18
6	kinas45y5	18
8	SaucyDark	17
9	Freak_Genius	16
10	Prodiginus	9
10	Airem_Core	9
12	SvenskaHugo	5
13	Fullut	4
13	loveseeker	4
13	Felenov	4
13	Maenara	4
17	Mahoose	3
17	oxfordschool	3
19	Mowelan	2
19	Swexti	2
19	mwrty	2
19	Blaiku	2
19	stahouo	2
24	chrolus	1
24	Incinere	1
24	eitanzaki	1
24	eviltunix	1
24	noam464	1
24	claivin	1
24	fluddd	1
24	MightyWertu	1
24	Warlord324	1
24	Spacewardharpy7	1
