rank	username	minecraft:used/minecraft:mangrove_stairs
1	Mr_Byzantine	242
2	k_ce	202
3	Jimb0nat0r	193
4	pintsizedrogue	164
5	Touched_Bread	147
5	Enderxz3	147
7	Jackattack53	136
8	hanaryheatwave	101
9	Merv__	63
9	Mattesco	63
11	oscminus	50
12	AdmiralSmoke	37
13	Werbe	36
14	bearlystraight	35
15	luseis	28
16	Lez_	24
16	beeperbeeper5	24
16	SvenskaHugo	24
19	CarryLine	20
20	Sleepy_Time_	14
21	Nicserso	13
22	ECstardust	11
22	Legendosh	11
24	CalebDHawk	9
25	Mahoose	7
25	12Magner05	7
27	TheSecondLord	5
28	00000000-0000-0000-0009-01fc3bb26159	2
29	jessewegottacook	1
