rank	username	minecraft:used/minecraft:red_mushroom_block
1	Werbe	4075
2	12Magner05	3116
3	pintsizedrogue	697
4	diggydog67	613
5	thewindmillman	591
6	EcksD	470
7	Smoke____	411
8	Hermanni__	395
9	Awyrlas	353
10	Jiminie	340
11	ApophisNova	278
11	MyNamaSheff	278
13	MightyWertu	273
14	NameGenerat0r	263
15	Kowcio_	261
16	Di_infiri	222
17	CoffeeNoir	220
18	Xclax101	210
19	MyNameIsDakar	199
20	lordpipe	179
21	PortlyPete69	160
22	groofles	159
23	YungMaki	141
24	Drlzyy	128
25	EveryonesUncle	113
26	xxPipperDipperxx	97
27	Akoot_	93
28	set67	92
29	DinoDoctor_	87
30	XxCookiequeenxX	77
31	RobotMinion101	75
32	burbankbuilder28	70
33	fluddd	64
34	Steelynan	63
35	kekhon	61
36	LeGold	57
37	lillips	47
38	RatatJuice	46
39	Blu3beast	45
40	microcrisp	42
41	PigDab	41
41	Inbefour	41
43	ShedJr_	35
43	lcvezra	35
45	eitanzaki	34
46	Arceus1975	31
47	Frozil20	30
47	Blaiku	30
49	chipklip	29
50	Hpdinosaur	28
50	joethahobo	28
52	Killercatty78	27
53	KomputerDude	23
54	Mahoose	21
54	DC_XII	21
54	Soplight	21
57	Freak_Genius	20
58	Fullut	19
58	Chromary	19
60	__tomato	18
60	jnp_gaming	18
62	gcaisawesome	16
62	Shogunite	16
64	IAmTheWalrus910	14
64	oxfordschool	14
66	The_Dark_One_00	13
66	AuroraValkyrie	13
66	Spacewardharpy7	13
66	Segotep999	13
70	Incinere	12
70	SellyZ	12
72	beeperbeeper5	11
73	EMC_	10
73	SteveCraftBlocks	10
75	SaucyDark	9
75	Maenara	9
77	Enderslayerxz3	8
78	noam464	7
79	kinas45y5	6
80	Blackberry1310	5
80	loveseeker	5
80	Hyp3rion_	5
80	Shiirazuku	5
80	MovingFish7	5
85	Deathkob	4
85	Groundler	4
87	thescout7	3
87	BumbleBeever	3
87	h2p_emrld	3
90	WET_WET_WET	2
90	Rebytre	2
90	Hisiste	2
90	jcool7	2
94	Cowison	1
94	T045RTY	1
94	Kakolbus	1
94	gabriels543	1
94	TheShyPig	1
94	RodSerlingCringe	1
94	Meepcraft	1
94	SingedBread	1
94	MakeHistory157	1
94	UCP_TheKingK	1
94	stahouo	1
94	Kubeusz2010	1
